postal_cd,consultant_names,consultant_num,num_districts_served,num_clean_districts_served,num_dirty_districts_served,num_fiber_target_districts_served,num_potential_fiber_target_districts_served,num_not_fiber_target_districts_served,num_no_data_fiber_districts_served,num_bw_target_districts_served,num_potential_bw_target_districts_served,num_not_bw_target_districts_served,num_no_data_bw_districts_served,num_meeting_affordability_districts_served,num_not_meeting_affordability_districts_served,num_unknown_affordability_districts_served,num_fiber_or_bw_target_districts_served,num_fiber_or_bw_potential_target_districts_served,num_applications
CT,"Kellogg & Sovereign Consulting, LLC",16024809,5,5,0,1,1,3,0,1,0,4,0,5,0,0,1,1,6
DC,Funds for Learning,16024808,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
FL,CSM Consulting Inc.,16043564,2,2,0,0,0,2,0,2,0,0,0,0,2,0,2,0,2
FL,Educational Consortium for Telecom Savings,16024807,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
FL,"E-Rate 360 Solutions, LLC",16048893,21,18,3,0,6,15,0,6,3,12,0,4,14,3,6,6,25
FL,E-Rate Advantage,16060670,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
FL,Federal Program Consulting Inc,16060500,2,2,0,0,1,1,0,0,0,2,0,0,2,0,0,1,2
FL,Funds for Learning,16024808,2,2,0,0,0,2,0,1,0,1,0,1,1,0,1,0,2
FL,K12 Consultants,16043612,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FL,Morrow & Morrow Inc,16062111,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FL,New Hope Technology Foundation,16054699,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FL,TELETECH ASSOCIATES INC,16062022,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
GA,Allen & Allen Consulting LLC,16060634,9,9,0,0,1,8,0,0,0,9,0,6,3,0,0,1,16
GA,CSM Consulting Inc.,16043564,2,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2
GA,Ed Tech Consulting,16060750,9,9,0,0,0,9,0,0,0,9,0,5,4,0,0,0,9
GA,Educational Consortium for Telecom Savings,16024807,2,1,1,0,0,2,0,0,0,2,0,1,0,1,0,0,3
GA,Educational Funding Group,16043587,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,2
GA,Elert & Associates,16043588,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
GA,Epic Communications,16048924,6,6,0,0,1,5,0,0,0,6,0,4,2,0,0,1,8
GA,"E-Rate 360 Solutions, LLC",16048893,3,3,0,0,0,3,0,0,0,3,0,1,2,0,0,0,3
GA,E-Rate Central,16060891,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
GA,E-RATE ONLINE LLC,16048791,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
GA,Funding Consultants LLC,16055380,7,7,0,0,0,7,0,0,0,7,0,5,2,0,0,0,7
GA,Funds for Learning,16024808,3,3,0,0,0,3,0,0,0,3,0,1,2,0,0,0,3
GA,K12 Consultants,16043612,40,37,3,0,7,33,0,0,0,40,0,10,27,3,0,7,42
GA,"MATLOCK SERVICES, LLC",16062392,2,1,1,0,1,1,0,0,0,2,0,0,1,1,0,1,5
GA,Morrow & Morrow Inc,16062111,7,7,0,0,1,6,0,0,0,7,0,4,3,0,0,1,8
GA,Service Associates Inc,16043663,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
GA,Universal Funding Consultants Inc,16043686,25,25,0,0,1,24,0,0,0,25,0,14,11,0,0,1,25
HI,CSM Consulting Inc.,16043564,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2
IA,CRW Consulting,16024800,2,2,0,0,1,1,0,0,0,2,0,0,2,0,0,1,2
IA,"e2e Exchange, LLC",16043595,2,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,2
IA,Epic Communications,16048924,2,2,0,0,1,1,0,0,0,2,0,0,2,0,0,1,3
IA,E-Rate Complete,16043592,50,44,6,6,16,28,0,3,3,44,0,25,19,6,8,17,50
IA,"Let Me Help You With That, LLC",16066993,2,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,3
IA,Next Generation Technologies,17003232,6,4,2,0,2,4,0,0,1,5,0,2,2,2,0,3,7
IA,TEXAS EDUCATIONAL CONSULTATIVE SERVICES TECS,16061983,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
ID,BIA Erate Team,17001438,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2
ID,Brent Edwards,16063586,13,11,2,10,2,1,0,2,1,10,0,5,6,2,10,2,13
ID,Cathy Morton,16062211,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2
ID,"e2e Exchange, LLC",16043595,2,2,0,1,0,1,0,1,0,1,0,2,0,0,1,0,2
ID,Educational Consortium for Telecom Savings,16024807,5,5,0,2,1,2,0,0,0,5,0,3,2,0,2,1,5
ID,"E-Rate 360 Solutions, LLC",16048893,6,6,0,1,1,4,0,3,0,3,0,3,3,0,4,1,6
ID,E-Rate Central,16060891,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
ID,"E-Rate Elite Services, Inc.",16024803,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
ID,E-RATE ONLINE LLC,16048791,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
ID,Executive ERate Consulting,16065303,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
ID,Funds for Learning,16024808,3,3,0,1,0,2,0,2,0,1,0,2,1,0,2,0,4
ID,INTERMOUNTAIN ESD,16062054,2,2,0,0,0,2,0,1,0,1,0,1,1,0,1,0,2
ID,New Hope Technology Foundation,16054699,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
ID,Northwest Council for Computer Education (NCCE),17000414,4,4,0,0,0,4,0,1,0,3,0,3,1,0,1,0,6
IL,AdTec-Administrative & Technical Consulting,16024741,6,5,1,3,1,2,0,0,1,5,0,5,0,1,3,1,6
IL,AJD Consulting Services,16062967,52,42,10,9,8,35,0,8,5,37,2,31,11,10,15,11,56
IL,"Blue Maple Holdings, Inc",16062194,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2
IL,BTU Consultants,16049611,17,16,1,2,4,11,0,7,1,9,0,8,8,1,9,4,17
IL,ClientFirst Technology Consulting,16073083,24,20,4,0,2,22,0,5,1,18,0,9,11,4,5,3,26
IL,ConnectED Consulting Services LLC,16063207,3,3,0,0,0,3,0,0,0,3,0,2,1,0,0,0,4
IL,Dave Berg,16070996,5,3,2,2,1,2,0,1,2,2,0,3,0,2,3,2,5
IL,"e2e Exchange, LLC",16043595,16,11,5,1,4,11,0,1,3,12,0,6,5,5,2,4,19
