postal_cd,district_size,percent,n_districts_size,n_districts,n_schools,n_students
NM,Small,62.92134831,56,89,760,308593
NM Clean,Mega,1.265822785,1,79,666,274946
NM Clean,Large,12.65822785,10,79,666,274946
NM Clean,Medium,22.78481013,18,79,666,274946
NM Clean,Small,63.29113924,50,79,666,274946
NV,Mega,11.76470588,2,17,637,418102
NV,Large,17.64705882,3,17,637,418102
NV,Medium,41.17647059,7,17,637,418102
NV,Small,29.41176471,5,17,637,418102
NV Clean,Mega,12.5,2,16,628,417153
NV Clean,Large,18.75,3,16,628,417153
NV Clean,Medium,37.5,6,16,628,417153
NV Clean,Small,31.25,5,16,628,417153
NY,Mega,0.438596491,3,684,4487,2557860
NY,Large,1.169590643,8,684,4487,2557860
NY,Medium,20.76023392,142,684,4487,2557860
NY,Small,62.42690058,427,684,4487,2557860
NY,Tiny,15.20467836,104,684,4487,2557860
NY Clean,Mega,0.407331976,2,491,3498,1970230
NY Clean,Large,1.018329939,5,491,3498,1970230
NY Clean,Medium,17.71894094,87,491,3498,1970230
NY Clean,Small,64.9694501,319,491,3498,1970230
NY Clean,Tiny,15.88594705,78,491,3498,1970230
OH,Mega,0.651465798,4,614,3265,1586598
OH,Large,2.117263844,13,614,3265,1586598
OH,Medium,21.82410423,134,614,3265,1586598
OH,Small,74.75570033,459,614,3265,1586598
OH,Tiny,0.651465798,4,614,3265,1586598
OH Clean,Mega,0.590551181,3,508,2501,1228778
OH Clean,Large,1.57480315,8,508,2501,1228778
OH Clean,Medium,20.66929134,105,508,2501,1228778
OH Clean,Small,76.57480315,389,508,2501,1228778
OH Clean,Tiny,0.590551181,3,508,2501,1228778
OK,Mega,0.384615385,2,520,1754,618625
OK,Large,1.538461538,8,520,1754,618625
OK,Medium,6.730769231,35,520,1754,618625
OK,Small,72.30769231,376,520,1754,618625
OK,Tiny,19.03846154,99,520,1754,618625
OK Clean,Mega,0.420168067,2,476,1643,581581
OK Clean,Large,1.680672269,8,476,1643,581581
OK Clean,Medium,6.512605042,31,476,1643,581581
OK Clean,Small,73.94957983,352,476,1643,581581
OK Clean,Tiny,17.43697479,83,476,1643,581581
OR,Mega,1.666666667,3,180,1140,527953
OR,Large,6.111111111,11,180,1140,527953
OR,Medium,24.44444444,44,180,1140,527953
OR,Small,48.33333333,87,180,1140,527953
OR,Tiny,19.44444444,35,180,1140,527953
OR Clean,Mega,2.5,3,120,858,417490
OR Clean,Large,5.833333333,7,120,858,417490
OR Clean,Medium,27.5,33,120,858,417490
OR Clean,Small,48.33333333,58,120,858,417490
OR Clean,Tiny,15.83333333,19,120,858,417490
PA,Mega,0.400801603,2,499,2962,1606730
PA,Large,2.605210421,13,499,2962,1606730
PA,Medium,32.06412826,160,499,2962,1606730
PA,Small,64.32865731,321,499,2962,1606730
PA,Tiny,0.601202405,3,499,2962,1606730
PA Clean,Mega,0.576368876,2,347,2083,1127952
PA Clean,Large,2.593659942,9,347,2083,1127952
PA Clean,Medium,29.68299712,103,347,2083,1127952
PA Clean,Small,66.57060519,231,347,2083,1127952
PA Clean,Tiny,0.576368876,2,347,2083,1127952
RI,Large,11.11111111,4,36,280,131988
RI,Medium,47.22222222,17,36,280,131988
RI,Small,33.33333333,12,36,280,131988
RI,Tiny,8.333333333,3,36,280,131988
RI Clean,Large,11.76470588,4,34,266,125722
RI Clean,Medium,44.11764706,15,34,266,125722
RI Clean,Small,35.29411765,12,34,266,125722
RI Clean,Tiny,8.823529412,3,34,266,125722
