"nces_cd","name","locale","district_size","num_schools","num_students","frl_percent","address","city","zip","county","postal_cd","latitude","longitude","exclude_from_analysis","ia_bandwidth_per_student","meeting_2014_goal_no_oversub","meeting_2018_goal_oversub","monthly_ia_cost_per_mbps","total_ia_bw_mbps","total_ia_monthly_cost","gt_1g_wan_lines","lt_1g_fiber_wan_lines","lt_1g_nonfiber_wan_lines","meeting_2014_goal_no_oversub_fcc_25","meeting_2018_goal_oversub_fcc_25","meeting_goals_district","exclude","not_all_scalable","new_connect_type_goals","c1_discount_rate","zero_build_cost_to_district","n_schools_wan_needs","n_schools_in_wan_needs_calculation","schools_on_fiber","schools_may_need_upgrades","schools_need_upgrades"
2102130,"GALLATIN COUNTY","Rural","Small",5,1622,0.623291741,"600 MAIN ST","WARSAW",41095,"GALLATIN COUNTY","KY",38.786916,-84.890943,FALSE,154.13,"Meeting Goal","Not Meeting 2018 Goals",19.9475,249.99886,4986.85226,5,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,4,4,5,0,0
2102160,"GARRARD COUNTY","Rural","Medium",6,2457,0.593950851,"322 WEST MAPLE","LANCASTER",40444,"GARRARD COUNTY","KY",37.62171,-84.587341,FALSE,101.75,"Meeting Goal","Not Meeting 2018 Goals",21.1725,249.99975,5293.119707,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,5,5,6,0,0
2102220,"GLASGOW INDEPENDENT","Small Town","Medium",7,1905,0.58814741,"1108 CLEVELAND AVE","GLASGOW",42142,"BARREN COUNTY","KY",36.988784,-85.933934,FALSE,131.23,"Meeting Goal","Not Meeting 2018 Goals",20.3625,249.99315,5090.485517,5,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,4,5,7,0,0
2102250,"GRANT COUNTY","Rural","Medium",7,3813,0.602675059,"505 SOUTH MAIN ST","WILLIAMSTO",41097,"GRANT COUNTY","KY",38.62437,-84.568861,FALSE,131.13,"Meeting Goal","Not Meeting 2018 Goals",14.44666667,499.99869,7223.314408,6,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,6,7,7,0,0
2102280,"GRAVES COUNTY","Rural","Medium",14,4536,0.511536063,"2290 STATEROUTE 121 NORTH","MAYFIELD",42066,"GRAVES COUNTY","KY",36.762083,-88.661463,FALSE,220.46,"Meeting Goal","Not Meeting 2018 Goals",NA,1000.00656,NA,9,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,10,14,10,4,0
2102300,"GRAYSON COUNTY","Rural","Medium",7,4215,0.662162162,"909 BRANDENBURG RD","LEITCHFIELD",42754,"GRAYSON COUNTY","KY",37.491139,-86.293125,FALSE,118.62,"Meeting Goal","Not Meeting 2018 Goals",14.74166667,499.9833,7370.587148,4,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,6,7,5.83333333333333,1.16666666666667,0
2102340,"GREEN COUNTY","Rural","Small",5,1662,0.624501425,"206 WEST COURT ST","GREENSBURG",42743,"GREEN COUNTY","KY",37.261427,-85.503652,FALSE,601.68,"Meeting Goal","Not Meeting 2018 Goals",NA,999.99216,NA,4,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,4,4,5,0,0
2102400,"GREENUP COUNTY","Suburban","Medium",8,2850,0.553291012,"8000 US 23 NORTH","GREENUP",41144,"GREENUP COUNTY","KY",38.548004,-82.784497,FALSE,175.44,"Meeting Goal","Not Meeting 2018 Goals",13.74083333,500.004,6870.47163,7,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",90,1,7,7,8,0,0
2102460,"HANCOCK COUNTY","Rural","Small",4,1617,0.464497041,"83 STATEROUTE 271 NORTH","HAWESVILLE",42348,"HANCOCK COUNTY","KY",37.925612,-86.807308,FALSE,154.61,"Meeting Goal","Not Meeting 2018 Goals",19.94083333,250.00437,4985.295475,5,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",70,0,4,4,4,0,0
2102490,"HARDIN COUNTY","Suburban","Large",29,14087,0.500240864,"65 W.A. JENKINS RD","ELIZABE",42701,"HARDIN COUNTY","KY",37.757593,-85.89897,FALSE,141.97,"Meeting Goal","Not Meeting 2018 Goals",8.321666667,1999.93139,16642.76238,23,0,0,TRUE,FALSE,1,"Clean",1,"Fiber",80,1,21,28,27.84,1.16,0
2102520,"HARLAN INDEPENDENT","Small Town","Small",2,806,0.549402823,"420 EAST CENTRAL ST","HARLAN",40831,"HARLAN COUNTY","KY",36.847021,-83.319258,FALSE,124.07,"Meeting Goal","Not Meeting 2018 Goals",40.82,100.00042,4082.017144,0,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,0,0,2,0,0
2102540,"HARLAN COUNTY","Rural","Medium",11,4114,0.696264975,"251 BALL PARK RD","HARLAN",40831,"HARLAN COUNTY","KY",36.809943,-83.315115,FALSE,121.54,"Meeting Goal","Not Meeting 2018 Goals",14.6675,500.01556,7333.978226,0,8,0,TRUE,FALSE,1,"Clean",1,"Fiber",90,1,9,9,9.9,1.1,0
2102580,"HARRISON COUNTY","Small Town","Medium",8,3038,0.526061776,"324 WEBSTER AVE","CYNTHIANA",41031,"HARRISON COUNTY","KY",38.383466,-84.290906,FALSE,164.58,"Meeting Goal","Not Meeting 2018 Goals",13.87833333,499.99404,6939.083952,8,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,6,7,8,0,0
2102640,"HART COUNTY","Rural","Medium",6,2330,0.61475744,"511 WEST UNION ST","MUNFORDVILLE",42765,"HART COUNTY","KY",37.268206,-85.894233,FALSE,107.3,"Meeting Goal","Not Meeting 2018 Goals",20.98583333,250.009,5246.647206,8,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,6,6,6,0,0
2102670,"HAZARD INDEPENDENT","Small Town","Small",5,922,0.543274244,"325 BROADWAY","HAZARD",41701,"PERRY COUNTY","KY",37.251003,-83.193867,FALSE,108.46,"Meeting Goal","Not Meeting 2018 Goals",41.245,100.00012,4124.504949,3,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,3,3,5,0,0
2102710,"HENDERSON COUNTY","Suburban","Medium",13,7114,0.554993342,"1805 2ND ST","HENDERSON",42420,"HENDERSON COUNTY","KY",37.83157,-87.567501,FALSE,140.57,"Meeting Goal","Not Meeting 2018 Goals",9.784166667,1000.01498,9784.313233,11,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,13,13,13,0,0
2102760,"HENRY COUNTY","Rural","Small",5,2129,0.535079929,"326 SOUTH MAIN ST","NEW CASTLE",40050,"HENRY COUNTY","KY",38.43022,-85.169541,FALSE,117.43,"Meeting Goal","Not Meeting 2018 Goals",20.69083333,250.00847,5172.883585,4,0,0,TRUE,FALSE,1,"Clean",0,"Fiber",80,1,6,6,5,0,0
2102790,"HICKMAN COUNTY","Rural","Small",2,738,0.590024331,"416 WATERFIELD DR","CLINTON",42031,"HICKMAN COUNTY","KY",36.67058,-88.992311,FALSE,1355.01,"Meeting Goal","Meeting 2018 Goals",NA,999.99738,NA,1,0,0,TRUE,TRUE,1,"Clean",0,"Fiber",80,1,0,0,2,0,0
