frn_complete,false,plf
1699069504.0010002,0.9943807,0.0056193
1699071212.0010002,0.9927414,0.0072586
1699074633.0010002,0.0229578,0.9770422
1699077451.0010002,0.9924002,0.0075998
1699082047.0010002,0.9938859,0.0061141
1699087266.0010002,0.0235394,0.9764606
1699086451.0010002,0.9840302,0.0159698
1699089634.0020001,0.0333159,0.9666841
1699089634.0039999,0.0227336,0.9772664
1699093085.0010002,0.0339604,0.9660396
1699111852.0010002,0.9909492,0.0090508
1699110122.0010002,0.0341325,0.9658675
1699110122.0020001,0.0341325,0.9658675
1699110122.0029998,0.0877877,0.9122123
1699000840.0010002,0.0298028,0.9701972
1699003956.0020001,0.0355928,0.9644072
1699003957.0010002,0.0262898,0.9737102
1699003957.0020001,0.0273522,0.9726478
1699006580.0010002,0.0263145,0.9736855
1699006580.0020001,0.0263145,0.9736855
1699007064.0010002,0.0273522,0.9726478
1699032414.0010002,0.0225244,0.9774756
1699017653.0010002,0.9992383,0.0007617
1699010188.0010002,0.0353383,0.9646617
1699036503.0010002,0.9988082,0.0011918
1699012969.0010002,0.0263145,0.9736855
1699033134.0010002,0.9991754,0.0008246
1699087478.0010002,0.0336224,0.9663776
1699017334.0010002,0.9921582,0.0078418
1699017463.0010002,0.9721339,0.0278661
1699019583.0010002,0.0277538,0.9722462
1699086151.0010002,0.0270840,0.9729160
1699028560.0020001,0.0262898,0.9737102
1699041132.0010002,0.0270593,0.9729407
1699031401.0010002,0.9992447,0.0007553
1699031401.0020001,0.9991901,0.0008099
1699055805.0010002,0.9927387,0.0072613
1699028560.0010002,0.0452252,0.9547748
1699035834.0010002,0.0287807,0.9712193
1699035834.0029998,0.0215766,0.9784234
1699035834.0050001,0.0215766,0.9784234
1699035834.0070002,0.0287807,0.9712193
1699035834.0079999,0.0215766,0.9784234
1699035834.0089998,0.0287807,0.9712193
1699035834.0120001,0.0215766,0.9784234
1699035834.0129998,0.0287807,0.9712193
1699035834.0139999,0.0215766,0.9784234
1699043359.0010002,0.9887383,0.0112617
1699039524.0010002,0.7742487,0.2257513
1699040106.0010002,0.0270593,0.9729407
1699042987.0010002,0.0262898,0.9737102
1699041731.0010002,0.0265715,0.9734285
1699041734.0010002,0.0213674,0.9786326
1699041734.0020001,0.0213674,0.9786326
1699041734.0039999,0.0306347,0.9693653
1699041734.0050001,0.0213674,0.9786326
1699041734.0060000,0.0213674,0.9786326
1699041734.0070002,0.0213674,0.9786326
1699043581.0010002,0.0355928,0.9644072
1699043634.0010002,0.0263145,0.9736855
1699043084.0010002,0.0249621,0.9750379
1699043634.0020001,0.0263145,0.9736855
1699047853.0010002,0.0262898,0.9737102
1699092712.0020001,0.0268295,0.9731705
1699051046.0010002,0.0353383,0.9646617
1699052605.0010002,0.0263145,0.9736855
1699053581.0010002,0.0294345,0.9705655
1699059403.0020001,0.9991586,0.0008414
1699060595.0010002,0.8032513,0.1967487
1699077127.0010002,0.0213674,0.9786326
1699077127.0020001,0.0213674,0.9786326
1699070230.0039999,0.0273202,0.9726798
1699070395.0010002,0.0350566,0.9649434
1699064529.0010002,0.0236499,0.9763501
1699064529.0020001,0.0212123,0.9787877
1699064625.0010002,0.9022420,0.0977580
1699070543.0010002,0.0538751,0.9461249
1699074163.0010002,0.0341325,0.9658675
1699074163.0020001,0.0218100,0.9781900
1699074227.0010002,0.0212123,0.9787877
1699074247.0010002,0.0339604,0.9660396
1699075151.0010002,0.0358621,0.9641379
1699078207.0010002,0.9992272,0.0007728
1699079476.0010002,0.9992424,0.0007576
1699081981.0010002,0.0282043,0.9717957
1699086190.0010002,0.9992487,0.0007513
1699087942.0010002,0.0222977,0.9777023
1699104254.0010002,0.0237449,0.9762551
1699092850.0010002,0.0249621,0.9750379
1699092913.0010002,0.0225244,0.9774756
1699094610.0010002,0.0263145,0.9736855
1699098133.0010002,0.0218100,0.9781900
1699099680.0020001,0.0262898,0.9737102
1699099979.0010002,0.0346125,0.9653875
1699105960.0010002,0.0355928,0.9644072
1699106101.0010002,0.0265715,0.9734285
1699101064.0020001,0.0268048,0.9731952
1699103528.0010002,0.0272860,0.9727140
