verified_category,predicted_category,raw_category,test_data.frn_complete,guessed_correctly,clean_the_line_item
Fiber,Fiber,Fiber,2753325-1,TRUE,FALSE
Cable / DSL,Cable / DSL,Other / Uncategorized,2753436-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2753532-1,TRUE,TRUE
Fiber,Fiber,Fiber,2753711-1,TRUE,FALSE
Fiber,Fiber,Fiber,2753746-3,TRUE,FALSE
Fiber,Fiber,Fiber,2753746-5,TRUE,FALSE
Cable / DSL,Cable / DSL,Cable / DSL,2753828-1,TRUE,FALSE
Fiber,Fiber,Fiber,2754074-2,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2754148-1,TRUE,TRUE
Fiber,Fiber,Fiber,2754563-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2754916-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2755153-2,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2755687-1,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2756635-1,TRUE,TRUE
Fiber,Fiber,Fiber,2756642-2,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2756961-2,TRUE,TRUE
Fiber,Fiber,Fiber,2757112-1,TRUE,FALSE
Fiber,Fiber,Fiber,2757303-1,TRUE,FALSE
Fiber,Fiber,Fiber,2757487-2,TRUE,FALSE
Fiber,Fiber,Fiber,2757750-1,TRUE,FALSE
Fiber,Fiber,Fiber,2757802-1,TRUE,FALSE
Other / Uncategorized,Fiber,Fiber,2757814-1,FALSE,FALSE
Fiber,Fiber,Other / Uncategorized,2758720-1,TRUE,TRUE
Fiber,Fiber,Fiber,2758765-2,TRUE,FALSE
Fiber,Fiber,Fiber,2758922-1,TRUE,FALSE
Fiber,Fiber,Fiber,2759093-1,TRUE,FALSE
Cable / DSL,Cable / DSL,Other / Uncategorized,2759102-1,TRUE,TRUE
Fiber,Fiber,Fiber,2759497-10,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2759497-3,TRUE,TRUE
Fiber,Fiber,Fiber,2759823-3,TRUE,FALSE
Fiber,Fiber,Fiber,2760298-2,TRUE,FALSE
Fiber,Fiber,Fiber,2760871-3,TRUE,FALSE
Cable / DSL,Cable / DSL,Cable / DSL,2760886-1,TRUE,FALSE
Fiber,Fiber,Fiber,2761885-1,TRUE,FALSE
Fiber,Fiber,Fiber,2761885-1,TRUE,FALSE
Fiber,Fiber,Fiber,2761885-3,TRUE,FALSE
Fiber,Fiber,Fiber,2761968-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2762446-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2762488-1,TRUE,TRUE
Fiber,Fiber,Fiber,2763380-1,TRUE,FALSE
Fiber,Fiber,Fiber,2763828-1,TRUE,FALSE
Fiber,Other / Uncategorized,Other / Uncategorized,2763963-1,FALSE,FALSE
Fiber,Fiber,Fiber,2763970-2,TRUE,FALSE
Fiber,Fiber,Fiber,2764543-1,TRUE,FALSE
Fiber,Fiber,Fiber,2764574-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2765066-1,TRUE,FALSE
Cable / DSL,Cable / DSL,Cable / DSL,2765354-1,TRUE,FALSE
Fixed Wireless,Fixed Wireless,Fixed Wireless,2765576-1,TRUE,FALSE
Fiber,Fiber,Fiber,2766161-3,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Fiber,2766175-2,TRUE,TRUE
Other / Uncategorized,Other / Uncategorized,Fiber,2766175-2,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2766281-1,TRUE,TRUE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2766408-1,TRUE,TRUE
Fiber,Fiber,Fiber,2766670-1,TRUE,FALSE
Fiber,Fiber,Fiber,2767022-1,TRUE,FALSE
Fiber,Fiber,Fiber,2767701-2,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2767701-6,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2767701-6,TRUE,TRUE
Fiber,Fiber,Fiber,2767869-1,TRUE,FALSE
Fiber,Fiber,Fiber,2768086-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2768362-1,TRUE,TRUE
Fiber,Fiber,Fiber,2768603-1,TRUE,FALSE
Fiber,Fiber,Fiber,2770388-1,TRUE,FALSE
Fiber,Fiber,Fiber,2770586-1,TRUE,FALSE
Fiber,Fiber,Fiber,2771399-2,TRUE,FALSE
Fiber,Fiber,Fiber,2771525-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2772293-1,TRUE,TRUE
Fiber,Fiber,Fiber,2772379-5,TRUE,FALSE
Fiber,Fiber,Fiber,2772560-1,TRUE,FALSE
Fiber,Fiber,Fiber,2772715-1,TRUE,FALSE
Fiber,Fiber,Fiber,2772790-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2772918-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2772918-3,TRUE,TRUE
Fiber,Fiber,Fiber,2773006-1,TRUE,FALSE
Fiber,Fiber,Fiber,2773260-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2773964-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2774158-1,TRUE,TRUE
Fiber,Fiber,Fiber,2774338-1,TRUE,FALSE
Fiber,Fiber,Fiber,2774384-1,TRUE,FALSE
Fiber,Fiber,Fiber,2774445-1,TRUE,FALSE
Fiber,Fiber,Fiber,2774803-1,TRUE,FALSE
Fiber,Cable / DSL,Fiber,2775335-1,FALSE,FALSE
Fiber,Fiber,Fiber,2775767-1,TRUE,FALSE
Fiber,Fiber,Fiber,2775777-1,TRUE,FALSE
Fiber,Fiber,Fiber,2775807-1,TRUE,FALSE
Fiber,Fiber,Fiber,2775833-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2776469-1,TRUE,TRUE
Fiber,Fiber,Fiber,2777074-2,TRUE,FALSE
Fiber,Fiber,Fiber,2777087-1,TRUE,FALSE
Fiber,Fiber,Fiber,2777094-1,TRUE,FALSE
Fiber,Fiber,Fiber,2777190-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2777201-1,TRUE,TRUE
Cable / DSL,Cable / DSL,Cable / DSL,2777998-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2778221-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2778710-1,TRUE,TRUE
Fiber,Fiber,Fiber,2779328-1,TRUE,FALSE
Fiber,Fiber,Fiber,2779355-2,TRUE,FALSE
Cable / DSL,Cable / DSL,Other / Uncategorized,2779899-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2780194-1,TRUE,TRUE
Fiber,Fiber,Fiber,2780306-2,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2780674-1,TRUE,TRUE
Fiber,Fiber,Fiber,2780820-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2780998-1,TRUE,TRUE
Fiber,Fiber,Fiber,2781262-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Fiber,2781553-1,TRUE,TRUE
Fiber,Fiber,Fiber,2781773-1,TRUE,FALSE
Fiber,Fiber,Fiber,2781773-1,TRUE,FALSE
Fiber,Fiber,Fiber,2782103-1,TRUE,FALSE
Fiber,Fiber,Fiber,2782404-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2782618-1,TRUE,TRUE
Fiber,Fiber,Fiber,2782690-3,TRUE,FALSE
Fiber,Fiber,Fiber,2783121-1,TRUE,FALSE
Cable / DSL,Cable / DSL,Cable / DSL,2783810-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2783851-1,TRUE,TRUE
Fiber,Fiber,Fiber,2784362-1,TRUE,FALSE
Fixed Wireless,Fixed Wireless,Fixed Wireless,2784659-2,TRUE,FALSE
Fiber,Fiber,Fiber,2784688-1,TRUE,FALSE
Fixed Wireless,Fixed Wireless,Other / Uncategorized,2785370-1,TRUE,TRUE
Fiber,Fiber,Fiber,2785711-1,TRUE,FALSE
Fiber,Fiber,Fiber,2785765-1,TRUE,FALSE
Fiber,Fiber,Fiber,2786051-2,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2786060-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2786089-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2786089-1,TRUE,TRUE
Fiber,Fiber,Fiber,2786219-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2786530-1,TRUE,FALSE
Fiber,Fiber,Fiber,2786758-2,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2786958-1,TRUE,TRUE
Other / Uncategorized,Fiber,Other / Uncategorized,2787761-1,FALSE,FALSE
Fiber,Fiber,Other / Uncategorized,2787879-1,TRUE,TRUE
Other / Uncategorized,Fiber,Other / Uncategorized,2787958-1,FALSE,FALSE
Fiber,Fiber,Other / Uncategorized,2788422-2,TRUE,TRUE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2788422-4,TRUE,FALSE
Fiber,Cable / DSL,Fiber,2788723-1,FALSE,FALSE
Other / Uncategorized,Fiber,Fiber,2789107-1,FALSE,FALSE
Fiber,Fiber,Fiber,2789376-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2789382-1,TRUE,TRUE
Fiber,Other / Uncategorized,Fiber,2789665-1,FALSE,FALSE
Fiber,Fiber,Other / Uncategorized,2789811-4,TRUE,TRUE
Fiber,Fiber,Fiber,2789847-1,TRUE,FALSE
Fiber,Fiber,Fiber,2790154-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2790581-1,TRUE,TRUE
Fiber,Fiber,Fiber,2790664-2,TRUE,FALSE
Fiber,Fiber,Fiber,2790680-1,TRUE,FALSE
