line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
814628,953606,District,125939,ALLENTOWN SCHOOL DISTRICT,PA,1001641,2724789,1,Transport and Internet,Y,1000,Ethernet,Fiber,1,0,1300,15600,PenTeleData Limited Partnership I,TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2016 0:00
814632,953606,District,125939,ALLENTOWN SCHOOL DISTRICT,PA,1001641,2755694,1,Internet,Y,1000,Ethernet,Fiber,1,0,2400,28800,XO Communication Services LLC,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
814859,954064,District,125991,SCRANTON CITY SCHOOL DISTRICT,PA,1002880,2746463,1,Transport,Y,1000,Ethernet,Fiber,18,0,31273,375276,Comcast Business Communications,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
815559,953685,District,125674,CARLISLE AREA SCHOOL DISTRICT,PA,1008822,2738576,1,Internet,N,300,Ethernet,Fiber,1,0,3359,40308,CenturyLink United Telephone Co. of Pennsylvania FKA Embarq,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
815663,953685,District,125674,CARLISLE AREA SCHOOL DISTRICT,PA,1008884,2738655,1,Internet,N,100,Ethernet,Other / Uncategorized,1,0,800,9600,CenturyLink United Telephone Co. of Pennsylvania FKA Embarq,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
815664,953685,District,125674,CARLISLE AREA SCHOOL DISTRICT,PA,1008901,2738696,1,Internet,N,100,Ethernet,Other / Uncategorized,1,0,800,9600,CenturyLink United Telephone Co. of Pennsylvania FKA Embarq,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
815698,954314,Consortium,126131,INTERMEDIATE UNIT 25,PA,1009074,2871359,1,Transport,Y,1000,Dark Fiber Service,Fiber,35,0,14215.61,170587.32,"Sunesys, LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/28/2020 0:00
815873,954011,District,125646,PENNS VALLEY AREA SCHOOL DIST,PA,1009936,2741334,1,Transport,Y,0,Ethernet,Other / Uncategorized,2,0,1300,15600,"Windstream Communications, Inc.",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
815875,954011,District,125646,PENNS VALLEY AREA SCHOOL DIST,PA,1009936,2741355,1,Internet,N,0,Standalone Internet Access,Other / Uncategorized,1,0,1375,16500,"Windstream Communications, Inc.",TRUE,n/a,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
816018,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1010927,2811952,1,Internet,N,50,Ethernet,Other / Uncategorized,1,0,892.5,10710,"Windstream Communications, LLC",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
816022,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1010927,2812066,1,Internet,N,1000,Ethernet,Fiber,1,0,3020,36240,"Windstream Communications, LLC",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
816168,954194,District,125682,WEST PERRY SCHOOL DISTRICT,PA,1011398,2810118,1,Transport,Y,100,Ethernet,Fiber,4,0,5244,62928,"Affiniti PA ,LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2020 0:00
816981,953611,District,125142,AMBRIDGE AREA SCHOOL DISTRICT,PA,1012981,2759356,1,Transport and Internet,Y,1000,Dark Fiber Service,Fiber,7,0,9150,109800,"Sunesys, LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
816987,953685,District,125674,CARLISLE AREA SCHOOL DISTRICT,PA,1013019,2749507,1,Internet,N,50,Ethernet,Other / Uncategorized,1,0,832,9984,CenturyLink United Telephone Co. of Pennsylvania FKA Embarq,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
817245,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1015029,2800436,1,Transport,N,1000,Ethernet,Fiber,8,0,16776,201312,Verizon Pennsylvania LLC.,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
817246,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1015029,2800436,3,Transport,N,100,Ethernet,Fiber,5,0,4985,59820,Verizon Pennsylvania LLC.,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
817247,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1015029,2800436,4,Transport,N,100,Ethernet,Fiber,3,0,2100,25200,Verizon Pennsylvania LLC.,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
817248,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1015029,2800436,5,Transport,N,1000,Ethernet,Fiber,1,0,4209,50508,Verizon Pennsylvania LLC.,TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2016 0:00
817249,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1015029,2800436,6,Transport,N,100,Ethernet,Other / Uncategorized,1,0,0,0,Verizon Pennsylvania LLC.,TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2016 0:00
817250,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1015029,2800452,1,Transport,N,1000,Ethernet,Fiber,3,0,9082.8,108993.6,"Windstream Communications, LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
817251,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1015029,2800452,2,Transport,N,250,Ethernet,Fiber,1,0,2088,25056,"Windstream Communications, LLC",TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2016 0:00
817252,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1015029,2800452,3,Transport,N,100,Ethernet,Fiber,4,0,7308,87696,"Windstream Communications, LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
817254,954303,Consortium,126278,BERKS COUNTY INTERMEDIATE UNIT #14,PA,1015029,2800498,1,Transport and Internet,N,4000,Ethernet,Fiber,2,0,11000,132000,Comcast Business Communications,TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2017 0:00
817269,953678,District,125607,CAMBRIA HEIGHTS SCHOOL DIST,PA,1015184,2755164,1,Transport,Y,1000,Ethernet,Fiber,1,0,4000,48000,"Affiniti PA ,LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2019 0:00
817275,953745,District,125198,DEER LAKES SCHOOL DISTRICT,PA,1015288,2815501,1,Transport and Internet,N,1000,Lit Fiber Service,Fiber,3,0,8999.76,107997.12,Consolidated Communications of Pennsylvania Co.,TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2016 0:00
817425,954317,Consortium,125882,INTERMEDIATE UNIT 29,PA,1016591,2761043,1,Transport,Y,100,Ethernet,Fiber,10,0,10762.2,129146.4,Verizon Pennsylvania LLC.,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
817426,954317,Consortium,125882,INTERMEDIATE UNIT 29,PA,1016591,2761043,2,Transport,Y,100,Ethernet,Fiber,3,0,12775.02,153300.24,Verizon Pennsylvania LLC.,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
817427,954317,Consortium,125882,INTERMEDIATE UNIT 29,PA,1016591,2761043,3,Transport,Y,1000,Ethernet,Fiber,1,0,2176.22,26114.64,Verizon Pennsylvania LLC.,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
817564,953685,District,125674,CARLISLE AREA SCHOOL DISTRICT,PA,1017229,2761106,1,Internet,N,100,Ethernet,Other / Uncategorized,1,775,1320,16615,CenturyLink United Telephone Co. of Pennsylvania FKA Embarq,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
817940,954293,Consortium,125521,INTERMEDIATE UNIT 06,PA,1019629,2817387,3,Transport,Y,100,Multi-Protocol Label Switching (MPLS),Other / Uncategorized,9,0,12510,150120,"Affiniti PA ,LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
