line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
196403,967143,District,128499,LAWRENCE COUNTY SCHOOL DIST,TN,1030378,2800740,3,Internet,N,150,Lit Fiber Service,Fiber,2,0,10000,120000,"ENA Services, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
196867,983134,District,145314,MOSSYROCK SCHOOL DISTRICT 206,WA,1031017,2803236,1,Internet,N,6,Lit Fiber Service,Fiber,1,0,322.32,3867.84,McDaniel Telephone Company,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2020 0:00
196902,983723,District,133305,ARCADIA SCHOOL DISTRICT,WI,1030253,2800342,1,Internet,N,200,Lit Fiber Service,Fiber,1,0,467.5,5610,Tri-County Communications Cooperative Inc,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
197025,983753,District,133356,BLOOMER SCHOOL DISTRICT,WI,1030347,2800685,1,Transport and Internet,N,125,Lit Fiber Service,Fiber,3,0,1423,17076,Bloomer Telephone Company,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6/30/2016 0:00
197050,984209,District,133393,STANLEY-BOYD AREA SCHOOL DIST,WI,1030800,2802342,1,Transport,N,200,Lit Fiber Service,Fiber,1,0,1250,15000,"Charter Fiberlink CC VIII, LLC",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6/30/2017 0:00
197072,882787,District,145619,UNALASKA CITY SCHOOL DISTRICT,AK,1030702,2802258,1,Internet,N,10,"E.g., Microwave Service",Fixed Wireless,1,0,13291.4,159496.8,"TelAlaska Long Distance, Inc.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
197090,882785,District,140639,TEXARKANA ARKANSAS SCHOOL DIST,AR,1026746,2787993,1,Internet,N,500,Lit Fiber Service,Fiber,2,0,7200,86400,"Windstream Communications, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2017 0:00
197091,882785,District,140639,TEXARKANA ARKANSAS SCHOOL DIST,AR,1026746,2787879,1,Internet,N,20,Lit Fiber Service,Fiber,1,0,1320,15840,"Windstream Communications, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2017 0:00
197092,882785,District,140639,TEXARKANA ARKANSAS SCHOOL DIST,AR,1026746,2787890,1,Transport,Y,1000,Lit Fiber Service,Fiber,14,0,16197.5,194370,"Windstream Communications, LLC",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
197213,883410,District,144642,GRASS VALLEY SCHOOL DISTRICT,CA,998470,2751064,1,Transport,N,200,Lit Fiber Service,Fiber,1,750,2619.22,32180.64,AT&T Corp.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6/30/2017 0:00
197616,883293,District,144551,ESPARTO UNIF SCHOOL DISTRICT,CA,1000104,2790656,1,Internet,N,1.5,Digital Subscriber Line (DSL),Cable / DSL,1,0,50,600,Pacific Bell Telephone Company,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
197617,883293,District,144551,ESPARTO UNIF SCHOOL DISTRICT,CA,1000104,2790664,1,Transport,Y,1000,Lit Fiber Service,Fiber,3,0,4414.5,52974,Pacific Bell Telephone Company,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
197618,883293,District,144551,ESPARTO UNIF SCHOOL DISTRICT,CA,1000104,2790664,2,Transport,N,1000,Lit Fiber Service,Fiber,1,0,1471.5,17658,Pacific Bell Telephone Company,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6/30/2018 0:00
197624,881591,District,143492,REDONDO BEACH UNIFIED SCHOOL DISTRICT,CA,997597,2795703,1,Internet,N,1000,Lit Fiber Service,Fiber,1,37500,0,37500,LA County Office of Education (LACOE),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
197786,883410,District,144642,GRASS VALLEY SCHOOL DISTRICT,CA,998470,2800339,1,Transport,Y,100,Lit Fiber Service,Fiber,4,0,5067.65,60811.8,Pacific Bell Telephone Company,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,12/14/2016 0:00
198651,883549,District,144012,KEPPEL UNION ELEM SCHOOL DIST,CA,1031639,2805761,1,Transport,Y,50,Lit Fiber Service,Fiber,7,0,8064,96768,"Time Warner Cable Information Services (California), LLC",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2017 0:00
198652,883549,District,144012,KEPPEL UNION ELEM SCHOOL DIST,CA,1031639,2805778,1,Internet,N,300,Lit Fiber Service,Fiber,1,0,2633,31596,LA County Office of Education (LACOE),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
198654,883553,District,144376,KEYES UNION ELEM SCHOOL DIST,CA,1031796,2806457,1,Transport,Y,1000,Lit Fiber Service,Fiber,2,0,1509.24,18110.88,"Charter Fiberlink CA-CCO, LLC",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2019 0:00
199895,884130,Consortium,224284,NEW BEGINNINGS FAMILY ACADEMY CHARTER SCHOOL,CT,998292,2806063,1,Internet,N,100,Cable Modem,Cable / DSL,1,0,119.95,1439.4,OV LLC,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
200485,901774,District,136055,WALTHAM C.C. ELEMENTARY DIST. #185,IL,1010441,2803363,1,Internet,N,20,Standalone Internet Access,Other / Uncategorized,1,0,240,2880,Illinois Century Network,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6/29/2016 0:00
