line_item_id,service_provider_name,postal_cd,bandwidth_in_mbps,num_students,connect_category,cost_per_line,frn_complete
809648,"Charter Fiberlink OR-CCVII, LLC",OR,1000.0,567,Fiber,15624.0,2718083-2
809649,"Charter Fiberlink OR-CCVII, LLC",OR,200.0,567,Fiber,9840.0,2718083-3
809652,Oregon Telephone Corporation,OR,10.0,31,Fiber,12238.08,2718121-1
809667,Canby Telephone Association,OR,1.5,4861,Copper,2120.16,2718159-1
809671,County of Clackamas,OR,1000.0,4861,Fiber,3070.86,2718292-1
809732,CenturyLink Qwest Corporation,OR,1000.0,4497,Fiber,42400.0,2818267-1
809753,Comcast Business Communications,OR,300.0,6432,Fiber,10649.621538461539,2719558-1
809755,Wtechlink Inc,OR,100.0,289,Fixed Wireless,6600.0,2719570-1
809756,TDS Baja Broadband LLC,OR,500.0,3163,Fiber,18000.0,2719588-1
809760,CenturyLink Qwest Corporation,OR,1.5,3163,Copper,6799.68,2719614-1
809762,"CenturyLink CenturyTel of Oregon, Inc.",OR,1.5,3163,Copper,1229.52,2719619-1
809784,Douglas Sevices Inc,OR,100.0,209,Other / Uncategorized,14259.6,2735730-1
809785,Douglas Sevices Inc,OR,1000.0,1463,Fiber,33600.0,2723333-1
809793,Inland Development Corporation,OR,100.0,247,Fiber,6720.0,2720055-1
809801,"Eastern Oregon Net, Inc.",OR,100.0,385,Fiber,9000.0,2833557-1
809804,Douglas Sevices Inc,OR,100.0,280,Other / Uncategorized,14259.6,2753184-1
809816,County of Clackamas,OR,100.0,2805,Fiber,3060.0,2721188-1
809861,Douglas Sevices Inc,OR,100.0,638,Fiber,12240.0,2752244-1
809901,Oregon Telephone Corporation,OR,10.0,105,Other / Uncategorized,12481.8,2723177-1
809915,Oregon Department of  Higher Education-OWEN,OR,6000.0,19,Other / Uncategorized,0,2818254-1
809918,Wtechlink Inc,OR,100.0,158,Fixed Wireless,5400.0,2723390-1
809948,CenturyLink Qwest Corporation,OR,1.5,64,Other / Uncategorized,4967.28,2724701-1
809949,Verizon Wireless (Cellco Partnership),OR,30.0,64,Other / Uncategorized,479.88,2817298-1
809954,Inland Development Corporation,OR,100.0,184,Other / Uncategorized,6720.0,2724917-1
809974,County of Clackamas,OR,1000.0,4217,Fiber,3652.125,2734671-1
809985,Grant County Education Service District,OR,10.0,611,Fixed Wireless,4333.36,2726535-1
809986,"Cascade Utilities, Inc.",OR,1.0,2912,Cable / DSL,1911.36,2726559-1
809992,TDS Baja Broadband LLC,OR,200.0,2912,Fiber,35940.0,2726571-1
809993,Warm Springs Telelcommunications Company,OR,100.0,2912,Fiber,66000.0,2726576-1
809994,Warm Springs Telelcommunications Company,OR,20.0,2912,Other / Uncategorized,13200.0,2726578-1
809997,"Tek-Hut, Inc",OR,100.0,76,Fixed Wireless,42000.0,2726591-1
810000,"Tek-Hut, Inc",OR,40.0,76,Fixed Wireless,18000.0,2813439-1
810002,Oregon Telephone Corporation,OR,0.5,5,Cable / DSL,446.88,2726599-1
810022,"Charter Fiberlink OR-CCVII, LLC",OR,100.0,1896,Fiber,8420.76,2727385-1
