"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly","clean_the_line_item"
"2314","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2864548-1",TRUE,FALSE
"2320","Fiber","Fiber","Fiber","2865491-2",TRUE,FALSE
"2325","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2866116-1",TRUE,FALSE
"2326","Fiber","Fiber","Fiber","2866304-1",TRUE,FALSE
"2327","Fiber","Fiber","Fiber","2866304-2",TRUE,FALSE
"2336","Fiber","Fiber","Fiber","2866942-1",TRUE,FALSE
"2341","Fiber","Fiber","Other / Uncategorized","2867757-1",TRUE,TRUE
"2344","Fiber","Other / Uncategorized","Fiber","2868249-1",FALSE,FALSE
"2347","Other / Uncategorized","Other / Uncategorized","Fiber","2868488-1",TRUE,TRUE
"2350","Fiber","Fiber","Fiber","2868688-1",TRUE,FALSE
"2352","Fiber","Fiber","Fiber","2868872-1",TRUE,FALSE
"2354","Other / Uncategorized","Fiber","Other / Uncategorized","2868885-1",FALSE,FALSE
"2361","Fiber","Fiber","Fiber","2870664-2",TRUE,FALSE
"2363","Fiber","Fiber","Other / Uncategorized","2870664-4",TRUE,TRUE
"2364","Fiber","Fiber","Fiber","2870968-1",TRUE,FALSE
"2366","Fiber","Fiber","Fiber","2871754-1",TRUE,FALSE
"2367","Cable / DSL","Cable / DSL","Cable / DSL","2871807-1",TRUE,FALSE
