"","names1","names2","distances_d1"
"1418",120201601247,120201601248,0.0968389846388496
"1510",120201601247,120201601257,0.0692157372251581
"16",120201601247,120201601265,0.0150774685175034
"1711",120201601247,120201601323,0.100537122408539
"18",120201601247,120201605414,0.115977445057732
"19",120201601248,120201601257,0.0864305332881859
"2018",120201601248,120201601265,0.0832210985137596
"21",120201601248,120201601323,0.093638282207863
"22",120201601248,120201605414,0.110051032125815
"2314",120201601257,120201601265,0.0578126517898933
"2411",120201601257,120201601323,0.145382558294919
"2518",120201601257,120201605414,0.163205331362871
"2613",120201601265,120201601323,0.0990479834862098
"2717",120201601265,120201605414,0.115625455299735
"2810",120201601323,120201605414,0.0179867737311162
"184",130000102443,130000103789,0.233809604627229
"92",130002603490,130002603509,0.158081698991836
"113",130002603492,130002603505,0.0271861579143454
"397",130002603650,130002603806,0.0188138161073348
"1112",130006000006,130006000007,0.165857000602427
"4105",130006000006,130006000010,0.153154955437947
"931",130006000007,130006000010,0.215715921642307
"5102",130009000015,130009003996,0.0832149096075291
"777",130012000038,130012003552,0.228335848563384
"778",130012000038,130012003555,0.214429180272901
"782",130012000038,130012003572,0.207512109941461
"1686",130012000059,130012003540,0.184811838687794
"1688",130012000059,130012003542,0.184811838687794
"1689",130012000059,130012003543,0.184811838687794
"16901",130012000059,130012003544,0.184811838687794
"4901",130012003540,130012003542,0
"4902",130012003540,130012003543,0
"4903",130012003540,130012003544,0
"4965",130012003542,130012003543,0
"4966",130012003542,130012003544,0
"4996",130012003543,130012003544,0
"5057",130012003551,130012003556,0
"5059",130012003551,130012003567,0
"5083",130012003552,130012003555,0.014983347335837
"5087",130012003552,130012003572,0.0215343903719183
"5113",130012003555,130012003572,0.00691707033144069
"5137",130012003556,130012003567,0
"5287",130012003823,130012004091,0
"5326",130012003861,130012003906,0
"5327",130012003861,130012003960,0
"5356",130012003906,130012003960,0
"5384",130012003971,130012003980,0
"5431",130012003992,130012004124,0
"687",130015002349,130015002357,0
"1911",130021002347,130021002558,0.248782232615919
"2110",130021002558,130021003283,0.0536827935179108
"5105",130024000170,130024003545,0.188628666455428
"8413",130029000176,130029004043,0.0138341406624414
