,verified_category,predicted_category,raw_category,test_data.frn_complete,guessed_correctly
15,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2718105-1,TRUE
19,Fixed Wireless,Fixed Wireless,Fixed Wireless,2718201-1,TRUE
24,Fiber,Fiber,Fiber,2718292-1,TRUE
27,Cable / DSL,Cable / DSL,Cable / DSL,2718330-2,TRUE
47,Fiber,Fiber,Other / Uncategorized,2718551-3,TRUE
53,Cable / DSL,Cable / DSL,Other / Uncategorized,2718647-1,TRUE
56,Fiber,Fiber,Fiber,2718679-1,TRUE
60,Fiber,Fiber,Other / Uncategorized,2718808-1,TRUE
61,Fiber,Fiber,Other / Uncategorized,2718829-1,TRUE
67,Fixed Wireless,Fixed Wireless,Fixed Wireless,2718905-1,TRUE
78,Fiber,Fiber,Fiber,2719258-1,TRUE
80,Copper,Copper,Copper,2719350-1,TRUE
97,Fiber,Fiber,Fiber,2719558-1,TRUE
98,Fiber,Fiber,Fiber,2719562-1,TRUE
102,Fiber,Fiber,Fiber,2719586-1,TRUE
103,Fiber,Fiber,Fiber,2719586-2,TRUE
118,Fiber,Fiber,Fiber,2719937-1,TRUE
120,Fiber,Fiber,Fiber,2719968-2,TRUE
135,Fiber,Fiber,Other / Uncategorized,2720310-1,TRUE
139,Fiber,Fiber,Other / Uncategorized,2720395-1,TRUE
145,Cable / DSL,Cable / DSL,Cable / DSL,2720501-1,TRUE
151,Cable / DSL,Cable / DSL,Other / Uncategorized,2720617-1,TRUE
162,Fiber,Fiber,Fiber,2720776-2,TRUE
164,Fixed Wireless,Fixed Wireless,Fixed Wireless,2720820-1,TRUE
191,Fiber,Fiber,Fiber,2721265-1,TRUE
192,Fiber,Fiber,Cable / DSL,2721296-1,TRUE
194,Fiber,Fiber,Fiber,2721372-1,TRUE
196,Fiber,Fiber,Fiber,2721414-1,TRUE
198,Fiber,Fiber,Cable / DSL,2721467-1,TRUE
209,Fiber,Fiber,Fiber,2721613-1,TRUE
211,Cable / DSL,Cable / DSL,Other / Uncategorized,2721635-1,TRUE
217,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2721682-1,TRUE
220,Fiber,Fiber,Other / Uncategorized,2721742-1,TRUE
223,Cable / DSL,Cable / DSL,Other / Uncategorized,2721825-1,TRUE
229,Cable / DSL,Cable / DSL,Other / Uncategorized,2721880-1,TRUE
235,Copper,Copper,Copper,2721916-1,TRUE
236,Fiber,Fiber,Fiber,2721931-1,TRUE
242,Fiber,Fiber,Other / Uncategorized,2722119-1,TRUE
253,Fiber,Fiber,Cable / DSL,2722309-1,TRUE
254,Cable / DSL,Cable / DSL,Other / Uncategorized,2722315-1,TRUE
256,Fiber,Fiber,Fiber,2722354-1,TRUE
257,Fiber,Fiber,Fiber,2722361-1,TRUE
262,Fiber,Fiber,Fiber,2722431-1,TRUE
263,Cable / DSL,Cable / DSL,Cable / DSL,2722434-1,TRUE
269,Fiber,Fiber,Fiber,2722494-1,TRUE
282,Cable / DSL,Cable / DSL,Other / Uncategorized,2722630-1,TRUE
283,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2722661-1,TRUE
290,Fiber,Fiber,Fiber,2722800-2,TRUE
293,Fiber,Fiber,Fiber,2722820-1,TRUE
312,Fiber,Fiber,Other / Uncategorized,2722965-1,TRUE
314,Fiber,Fiber,Fiber,2722994-1,TRUE
323,Fiber,Fiber,Fiber,2723060-1,TRUE
327,Fiber,Fiber,Fiber,2723087-1,TRUE
331,Fiber,Fiber,Fiber,2723101-1,TRUE
337,Fiber,Fiber,Fiber,2723237-1,TRUE
341,Cable / DSL,Cable / DSL,Other / Uncategorized,2723293-2,TRUE
349,Fiber,Fiber,Fiber,2723333-1,TRUE
352,Fiber,Fiber,Fiber,2723343-1,TRUE
355,Fiber,Fiber,Fiber,2723380-1,TRUE
