"esh_id","name","postal_cd","c2_prediscount_budget_15","c2_prediscount_remaining_17","c2_postdiscount_remaining_17","needs_wifi"
"951645","Ripley Indep School Dist I 3","OK",69675.38,7366.69,5893.352,"t"
"951657","Salina Indep School Dist 16","OK",133518.9,11067.83,9407.6555,"f"
"951659","Sallisaw Indep School Dist 1","OK",256039.09,30166.84,24229.894,"t"
"951661","Sapulpa Public Schools","OK",609122.43,13010.29,10877.3285,"t"
"951664","Savanna Indep School Dist 30","OK",58318.6,0,0,"f"
"951665","Sayre Indep School District 31","OK",112033.1,9872.21,7600.575,"f"
"951669","Seminole Indep School Dist 1","OK",231432.76,29876.76,21989.902,"t"
"951674","Shady Point School District 4","OK",22560.09,0,0,"f"
"951675","Shattuck Indep School Dist 42","OK",54328.38,0,0,"f"
"951677","Shawnee Indep School Dist I-93","OK",610350.19,90880.25,77248.2125,"f"
"951681","Skiatook Indep School Dist 7","OK",335025.01,0,0,"t"
"951685","Snyder Indep School District 4","OK",60620.65,7910.64,6613.5705,"f"
"951690","Sperry Indep School District 8","OK",168049.65,11637.24,9309.792,"f"
"951692","Spiro Public Schools","OK",157460.22,9095.04,7730.784,"f"
"951693","Springer Indep School Dist 21","OK",34888.82,0,0,"f"
"951694","Sterling Indep School Dist 3","OK",53407.56,226.78,181.424,"f"
"951696","Stidham School District Co 16","OK",15653.94,0,0,"t"
"951703","Stilwell Indep School Dist 25","OK",209793.49,14114.96,11997.716,"f"
"951709","Stringtown Indep School Dist 7","OK",36986.27,0,0,"f"
"951711","Stroud Indep School Dist 54","OK",112340.04,0,0,"f"
"951713","Stuart Indep School Dist 54","OK",39441.79,3909.1,3216.389,"f"
"951716","Sweetwater Indep Sch Dist 15","OK",26447.97,1103.01,937.5585,"f"
"951724","Temple Indep School Dist 101","OK",29056.96,4344.16,3692.536,"f"
"951732","Tipton Indep School District 8","OK",41436.9,0,0,"f"
"951739","Tupelo Indep School District 2","OK",41743.84,5606.11,4765.1935,"f"
"951740","Turkey Ford School District 10","OK",14119.24,0,0,"f"
"951747","Tuskahoma School District 4","OK",13812.3,1628.3,1384.055,"f"
"951749","Tuttle Indep School Dist 97","OK",275939.06,22518.01,13510.806,"f"
"951757","Vanoss Indep School District 9","OK",87631.37,7150.8,5720.64,"f"
