"esh_id","postal_cd","service_provider_2015","service_provider_2016","bandwidth_in_mbps_2015","contract_end_date_2015","purpose_2015","percent_bw_2015","total_monthly_cost_2015","predominant_sp_2015","exclude_from_analysis","bandwidth_in_mbps_2016","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis","district_name","locale","num_students_2015","num_students_2016","upgrade","meeting_goals_2015","meeting_goals_2016","sp_bw_per_student_2015","sp_bw_per_student_2016","sp_meeting_goals_2015","sp_meeting_goals_2016","sp_change","Freq","same","override","contract_ended_between_years","affordability_goal_knapsack_2015","district_ia_monthly_cost_per_mbps_2015","affordability_goal_knapsack_2016","district_ia_monthly_cost_per_mbps_2016","district_size","purpose2_2015","purpose2_2016","eligible_for_cost_per_mbps","sp_ia_monthly_cost_per_mbps_2015","sp_ia_monthly_cost_per_mbps_2016","bw.change","bw.change.perc","total.cost.change","total.cost.change.perc","cost.per.mbps.change","cost.per.mbps.change.perc"
881485,"CA","WAVEDIVISION","WAVEDIVISION",1000,"2018-06-30","Internet",1,3000,TRUE,FALSE,1000,"2018-06-30","Internet",1,3000,TRUE,FALSE,"ROCKLIN UNF","Suburban",11307,12153,FALSE,FALSE,FALSE,88.4407888918369,82.2842096601662,FALSE,FALSE,0,NA,NA,NA,FALSE,FALSE,5.4225,TRUE,3,"Large","Internet","Internet",1,3,3,0,0,0,0,0,0
881501,"CA","Sunesys, LLC","Sunesys, LLC",1000,"2019-06-30","Internet",1,1500,TRUE,FALSE,1000,"2018-06-30","Upstream",1,1697.76,TRUE,FALSE,"UPLAND UNF","Suburban",11902,11663,FALSE,FALSE,FALSE,84.0194925222652,85.74123295893,FALSE,FALSE,0,NA,NA,NA,FALSE,FALSE,4.69833333333333,TRUE,3.09978114382727,"Medium","Internet","Upstream",NA,NA,NA,0,0,197.76,0.13,NA,NA
881509,"AL","Computer Sciences","Computer Sciences",1000,"2016-06-30","Upstream",1,3061.19,TRUE,FALSE,1000,"2021-06-30","Internet",1,4546.76,TRUE,FALSE,"ALEXANDER CITY","Small Town",3174,3087,FALSE,TRUE,TRUE,315.059861373661,323.939099449304,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,4.21416666666667,FALSE,4.54676,"Small","Upstream","Internet",NA,NA,NA,0,0,1485.57,0.49,NA,NA
881522,"AR","SkyRider Comm","SkyRider Comm",1200,"2017-06-30","Internet",1,11119,TRUE,FALSE,1200,"2017-06-30","Internet",0.96,11119,TRUE,FALSE,"PINE BLUFF SCHOOL DISTRICT","Urban",4452,4326,TRUE,TRUE,TRUE,269.541778975741,277.392510402219,TRUE,TRUE,0,NA,NA,NA,FALSE,FALSE,9.26583333333333,FALSE,11.3379857694006,"Medium","Internet","Internet",1,9.27,9.27,0,0,0,0,0,0
881533,"CA","AT&T","AT&T",1000,"2018-06-30","Upstream",1,903.73,TRUE,FALSE,1000,"2018-06-30","Upstream",1,903.73,TRUE,FALSE,"PLEASANTON UNF","Urban",14854,14724,FALSE,FALSE,FALSE,67.3219334859297,67.9163270850312,FALSE,FALSE,0,NA,NA,NA,FALSE,FALSE,7.06083333333333,TRUE,3.48068504005526,"Medium","Upstream","Upstream",1,0.9,0.9,0,0,0,0,0,0
881539,"AR","E. Ritter","E. Ritter",150,"2018-06-30","Internet",1,2250,TRUE,FALSE,500,"2017-06-30","Upstream",1,363,TRUE,FALSE,"GOSNELL SCHOOL DISTRICT","Small Town",1376,1333,TRUE,TRUE,TRUE,109.011627906977,375.093773443361,TRUE,TRUE,0,NA,NA,NA,FALSE,FALSE,15,TRUE,1.95013045227173,"Small","Internet","Upstream",NA,NA,NA,350,2.33,-1887,-0.84,NA,NA
881542,"CA","AT&T","AT&T",10,"2018-06-30","Upstream",1,954.06,TRUE,FALSE,50,"2018-06-30","Upstream",1,1006.37,TRUE,FALSE,"SUNOL GLEN UNF","Rural",273,269,TRUE,FALSE,TRUE,36.6300366300366,185.873605947955,FALSE,TRUE,0,NA,NA,NA,FALSE,FALSE,217.920833333333,FALSE,26.2925397796453,"Tiny","Upstream","Upstream",1,95.41,20.13,40,4,52.3100000000001,0.05,-75.28,-0.79
881554,"CA","LACOE","LACOE",1000,"2016-06-30","Internet",0.77,0,TRUE,FALSE,1000,"2017-06-30","Internet",1,0,TRUE,FALSE,"MANHATTAN BEACH UNF","Suburban",6801,6874,FALSE,TRUE,TRUE,147.037200411704,145.475705557172,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,6.26166666666667,FALSE,3.77061643510024,"Medium","Internet","Internet",1,0,0,0,0,0,NA,0,NA
881560,"AR","Winstream","Windstream",200,"2016-06-30","Internet",1,2999,TRUE,FALSE,150,"2017-06-30","Upstream",1,1891.1,TRUE,FALSE,"BEARDEN SCHOOL DISTRICT","Rural",568,561,FALSE,TRUE,TRUE,352.112676056338,267.379679144385,TRUE,TRUE,0,87,1,NA,TRUE,FALSE,15.1891666666667,FALSE,14.3246056107138,"Small","Internet","Upstream",NA,NA,NA,-50,-0.25,-1107.9,-0.37,NA,NA
881573,"AL","Computer Sciences","Computer Sciences",400,"2016-06-30","Upstream",1,3440.49,TRUE,FALSE,500,"2021-06-30","Internet",1,3698.02,TRUE,FALSE,"ANDALUSIA CITY","Small Town",1756,1754,TRUE,TRUE,TRUE,227.790432801822,285.062713797035,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,10.1958333333333,FALSE,7.39604,"Small","Upstream","Internet",NA,NA,NA,100,0.25,257.53,0.07,NA,NA
