"esh_id","name","num_students","ia_bw_mbps_total","district_bw_per_student","district_meeting_goals_2014","service_provider_2016","bandwidth_in_mbps_2016","sp_bw_per_student","sp_meeting_goals_2014","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis","locale","district_size","city","postal_cd","zip"
969734,"MINEOLA ISD",1529,200,130.80444735121,1,"Cebridge",200,130.80444735121,1,"2019-06-03","Upstream",1,1200,TRUE,FALSE,"Town","Small","MINEOLA","TX",75773
969763,"MURCHISON ISD",204,100,490.196078431373,1,"CenturyLink",100,490.196078431373,1,"2019-06-30","Upstream",1,870,TRUE,FALSE,"Rural","Tiny","MURCHISON","TX",75778
969765,"NATALIA ISD",1009,2000,1982.16055500496,1,"AT&T",2000,1982.16055500496,1,"2017-06-30","Upstream",1,1425,TRUE,TRUE,"Rural","Small","NATALIA","TX",78059
969767,"NAVASOTA ISD",2827,3010,1064.73293243721,1,"Cebridge",3000,1061.1956137248,1,"2017-06-30","Internet",1,11208,TRUE,FALSE,"Town","Medium","NAVASOTA","TX",77868
969770,"NECHES ISD",389,50,128.53470437018,1,"CenturyLink",50,128.53470437018,1,"2019-06-30","Upstream",1,800,TRUE,FALSE,"Rural","Small","NECHES","TX",75779
969772,"NEDERLAND ISD",4911,3500,712.685807371207,1,"AT&T",3500,712.685807371207,1,"2018-06-30","Internet",1,14348.72,TRUE,TRUE,"Suburban","Medium","NEDERLAND","TX",77627
969773,"NEEDVILLE ISD",2784,400,143.67816091954,1,"Comcast",400,143.67816091954,1,"2019-06-30","Internet",1,1895,TRUE,FALSE,"Rural","Small","NEEDVILLE","TX",77461
969774,"NEW BOSTON ISD",1283,600,467.653936087295,1,"Windstream",600,467.653936087295,1,"2017-06-30","Internet",1,9016,TRUE,FALSE,"Town","Small","NEW BOSTON","TX",75570
969776,"NEW CANEY ISD",11705,3000,256.300726185391,1,"PHONOSCOPE LIGHT",3000,256.300726185391,1,"2018-06-30","Internet",1,6000,TRUE,FALSE,"Suburban","Large","NEW CANEY","TX",77357
969781,"NEW SUMMERFIELD ISD",469,100,213.219616204691,1,"Cebridge",100,213.219616204691,1,"2018-06-30","Upstream",1,3000,TRUE,FALSE,"Rural","Tiny","NEW SUMMERFIELD","TX",75780
969782,"NEW WAVERLY ISD",861,200,232.288037166086,1,"Cebridge",200,232.288037166086,1,"2018-06-30","Internet",1,6000,TRUE,FALSE,"Rural","Small","NEW WAVERLY","TX",77358
969792,"NORTH EAST ISD",66468,10000,150.448336041403,1,"Charter",10000,150.448336041403,1,"2019-06-30","Internet",1,9999,TRUE,FALSE,"Urban","Mega","SAN ANTONIO","TX",78217
969795,"NORTH ZULCH ISD",331,1000,3021.14803625378,1,"Windstream",1000,3021.14803625378,1,"2021-06-30","Internet",1,4100,TRUE,TRUE,"Rural","Tiny","NORTH ZULCH","TX",77872
969801,"NORTHSIDE ISD",98012,8000,81.6226584499857,0,"AT&T",8000,81.6226584499857,0,"2018-06-30","Internet",1,24168,TRUE,FALSE,"Urban","Mega","SAN ANTONIO","TX",78238
969802,"NORTHWEST ISD",18649,10000,536.221781328758,1,"Zayo Group, LLC",10000,536.221781328758,1,"2021-06-30","Internet",1,9175.5,TRUE,FALSE,"Urban","Large","JUSTIN","TX",76247
969805,"NURSERY ISD",105,100,952.380952380952,1,"AT&T",100,952.380952380952,1,"2019-06-30","Upstream",1,920,TRUE,FALSE,"Rural","Small","VICTORIA","TX",77904
969808,"ODEM-EDROY ISD",971,600,617.919670442842,1,"Charter",600,617.919670442842,1,"2017-06-30","Internet",1,2760,TRUE,FALSE,"Town","Small","ODEM","TX",78370
969820,"ORANGE GROVE ISD",1808,100,55.3097345132743,0,"Charter",1000,553.097345132743,1,"2017-06-30","Upstream",1,950,TRUE,FALSE,"Rural","Small","ORANGE GROVE","TX",78372
969826,"OVERTON ISD",521,100,191.938579654511,1,"CenturyLink",100,191.938579654511,1,"2018-06-30","Upstream",1,1000.5,TRUE,FALSE,"Rural","Small","OVERTON","TX",75684
969831,"PALACIOS ISD",1420,400,281.69014084507,1,"Cebridge",400,281.69014084507,1,"2017-06-30","Upstream",1,6944,TRUE,FALSE,"Town","Small","PALACIOS","TX",77465
969832,"PALESTINE ISD",3048,4000,1312.33595800525,1,"CenturyLink",4000,1312.33595800525,1,"2021-06-30","Internet",1,7000,TRUE,FALSE,"Town","Small","PALESTINE","TX",75801
969838,"PARADISE ISD",1080,100,92.5925925925926,0,"CenturyLink",100,92.5925925925926,0,"2017-06-30","Internet",1,2057,TRUE,FALSE,"Rural","Small","PARADISE","TX",76073
969843,"PEARLAND ISD",19625,1000,50.9554140127389,0,"PHONOSCOPE LIGHT",1000,50.9554140127389,0,"2018-06-30","Internet",1,4920,TRUE,FALSE,"Suburban","Large","PEARLAND","TX",77581
969846,"PEASTER ISD",1008,100,99.2063492063492,0,"AT&T",100,99.2063492063492,0,"2017-06-30","Upstream",1,4650,TRUE,TRUE,"Rural","Small","WEATHERFORD","TX",76088
969854,"PETTUS ISD",423,100,236.406619385343,1,"CenturyLink",100,236.406619385343,1,"2018-06-30","Internet",1,4196,TRUE,FALSE,"Rural","Small","PETTUS","TX",78146
969855,"PEWITT CISD",939,100,106.496272630458,1,"AT&T",100,106.496272630458,1,"2017-06-30","Internet",1,1600.4,TRUE,FALSE,"Rural","Small","OMAHA","TX",75571
969856,"PFLUGERVILLE ISD",22742,5000,219.857532319057,1,"Grande Comm",5000,219.857532319057,1,"2018-06-30","Internet",1,6500,TRUE,FALSE,"Suburban","Large","PFLUGERVILLE","TX",78660
969861,"PITTSBURG ISD",2367,100,42.247570764681,0,"Cebridge",100,42.247570764681,0,"2017-06-30","Internet",1,1712,TRUE,FALSE,"Town","Small","PITTSBURG","TX",75686
