QA Switched?,notes,esh_id,service_provider_2015,service_provider_2016,bandwidth_in_mbps_2015,contract_end_date_2015,percent_bw_2015,predominant_sp_2015,exclude_from_analysis,bandwidth_in_mbps_2016,contract_end_date_2016,percent_bw_2016,predominant_sp_2016,exclude_from_ia_analysis,postal_cd,district_name,locale,num_students_2015,num_students_2016,upgrade,meeting_goals_2015,meeting_goals_2016,sp_bw_per_student_2015,sp_bw_per_student_2016,sp_meeting_goals_2015,sp_meeting_goals_2016,sp_change,Freq,same,contract_ended_between_years,affordability_goal_knapsack_2015,ia_monthly_cost_per_mbps_2015,affordability_goal_knapsack_2016,ia_monthly_cost_per_mbps_2016,NOTES
,,882228,EAGLE-Net Alliance,"Zayo Group, LLC",10,6/30/17,1,TRUE,FALSE,10,6/30/17,1,TRUE,FALSE,CO,HOEHNE REORGANIZED SCHOOL DISTRICT NO. 3,Rural,374,359,FALSE,TRUE,FALSE,26.73796791,27.8551532,FALSE,FALSE,1,13,0,FALSE,FALSE,25.4,FALSE,61,Eaglenet and Zayo merged - not sure if it's considered a  switch
,,882230,"Roanoke Telephone Co., Inc.",Computer Sciences,1000,6/30/16,0.56,TRUE,FALSE,500,6/30/23,1,TRUE,FALSE,AL,ROANOKE CITY,Small Town,1523,1459,FALSE,TRUE,TRUE,656.5988181,342.7004798,TRUE,TRUE,1,NA,NA,TRUE,FALSE,4.385833333,FALSE,8.15396,
,,882284,Cox,AT&T,150,6/30/16,1,TRUE,FALSE,250,6/30/17,1,TRUE,FALSE,AR,GREENLAND SCHOOL DISTRICT,Suburban,776,805,TRUE,TRUE,TRUE,193.2989691,310.5590062,TRUE,TRUE,1,NA,NA,TRUE,TRUE,2.333333333,TRUE,5.18440418,
,,882293,Charter,Computer Sciences,1000,6/30/16,0.83,TRUE,FALSE,1500,6/30/21,1,TRUE,FALSE,AL,TALLADEGA COUNTY,Rural,7570,7733,TRUE,TRUE,TRUE,132.1003963,193.9738782,TRUE,TRUE,1,NA,NA,TRUE,FALSE,14.32583333,FALSE,4.915566667,
,,882321,AireArk Inc,AT&T,100,6/30/16,1,TRUE,FALSE,500,6/30/17,1,TRUE,FALSE,AR,HARMONY GROVE SCHOOL DISTRICT,Rural,1022,974,TRUE,FALSE,TRUE,97.84735812,513.3470226,FALSE,TRUE,1,NA,NA,TRUE,TRUE,12,TRUE,2.914858181,
,,882325,EAGLE-Net Alliance,"Zayo Group, LLC",50,6/30/16,1,TRUE,FALSE,100,6/30/19,1,TRUE,FALSE,CO,LA VETA SCHOOL DISTRICT RE-2,Rural,215,184,TRUE,TRUE,TRUE,232.5581395,543.4782609,TRUE,TRUE,1,13,0,TRUE,TRUE,13.34666667,TRUE,7.61,Eaglenet and Zayo merged - not sure if it's considered a  switch
,,882347,CenturyLink,Affiniti,12,6/30/16,1,TRUE,FALSE,100,6/30/19,0.89,TRUE,FALSE,CO,"LIMON SCHOOL DISTRICT, NO. RE 4J",Rural,447,473,TRUE,FALSE,TRUE,26.84563758,211.4164905,FALSE,TRUE,1,NA,NA,TRUE,FALSE,16.78,FALSE,16.47613245,
,,882374,EAGLE-Net Alliance,CenturyLink,1500,6/30/16,0.56,TRUE,FALSE,2000,6/30/17,0.57,TRUE,FALSE,CO,ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,Suburban,24962,26104,TRUE,TRUE,TRUE,60.09133884,76.61661048,FALSE,FALSE,1,NA,NA,TRUE,FALSE,4.575,FALSE,4.195714286,
,,882387,Computer Sciences,Charter,800,6/30/16,0.73,TRUE,FALSE,10000,6/30/18,0.91,TRUE,FALSE,AL,ALBERTVILLE CITY,Small Town,4334,4591,TRUE,TRUE,TRUE,184.5869866,2178.17469,TRUE,TRUE,1,NA,NA,TRUE,FALSE,6.5275,FALSE,9.865153846,
,,882398,Winstream,AT&T,500,6/30/16,1,TRUE,FALSE,1000,6/30/17,1,TRUE,FALSE,AR,HOT SPRINGS SCHOOL DISTRICT,Urban,3628,3710,TRUE,TRUE,TRUE,137.8169791,269.541779,TRUE,TRUE,1,NA,NA,TRUE,FALSE,13.44583333,TRUE,2.925509164,
,,882418,EAGLE-Net Alliance,Colorado Fiber Community LLC,150,6/30/16,1,TRUE,FALSE,300,6/30/19,1,TRUE,FALSE,CO,MEEKER SCHOOL DISTRICT RE1,Rural,645,652,TRUE,TRUE,TRUE,232.5581395,460.1226994,TRUE,TRUE,1,NA,NA,TRUE,TRUE,7.191666667,TRUE,3.666666667,
,,882475,Fresno County,Comcast,1000,6/30/17,1,TRUE,FALSE,1000,6/30/17,1,TRUE,FALSE,CA,WASHINGTON UNF,Urban,2576,3163,FALSE,TRUE,TRUE,388.1987578,316.1555485,TRUE,TRUE,1,NA,NA,FALSE,TRUE,2.936666667,FALSE,3.78751,
,,882479,Magazine Tele,Arkwest,50,6/30/18,1,TRUE,FALSE,150,6/30/17,1,TRUE,FALSE,AR,MAGAZINE SCHOOL DISTRICT,Rural,540,544,TRUE,FALSE,TRUE,92.59259259,275.7352941,FALSE,TRUE,1,NA,NA,FALSE,FALSE,20,FALSE,21.2942192,
,,882484,AT&T,Charter,51,6/30/16,0.53,TRUE,FALSE,1000,6/30/20,1,TRUE,FALSE,CA,WOODLAKE UNF,Small Town,2273,2351,TRUE,FALSE,TRUE,22.43730752,425.3509145,FALSE,TRUE,1,14,0,TRUE,FALSE,46.67916667,FALSE,4.674,
,,882504,EAGLE-Net Alliance,"Zayo Group, LLC",40,6/30/16,1,TRUE,FALSE,100,6/30/19,1,TRUE,FALSE,CO,"PEYTON, SCHOOL DISTRICT NO. 23, IN THE COUNTY OF EL PASO AND",Rural,626,581,TRUE,FALSE,TRUE,63.89776358,172.1170396,FALSE,TRUE,1,13,0,TRUE,FALSE,15.5,TRUE,7.82,Eaglenet and Zayo merged - not sure if it's considered a  switch
,,882509,Winstream,E. Ritter,185,6/30/16,1,TRUE,FALSE,250,6/30/17,1,TRUE,FALSE,AR,SEARCY COUNTY SCHOOL DISTRICT,Rural,914,873,TRUE,TRUE,TRUE,202.4070022,286.3688431,TRUE,TRUE,1,NA,NA,TRUE,FALSE,33.24333333,TRUE,2.54647062,
,,882538,"Alascom, Inc.",GCI Comm,8,6/30/16,1,TRUE,FALSE,55,6/30/19,1,TRUE,FALSE,AK,LOWER YUKON SCHOOL DISTRICT,Rural,1973,1959,TRUE,FALSE,FALSE,4.054738976,28.07554875,FALSE,FALSE,1,NA,NA,TRUE,FALSE,2410.530833,FALSE,3155.262857,
,,882564,Verizon,"Sunesys, LLC",1000,6/30/16,1,TRUE,FALSE,1000,6/30/21,1,TRUE,FALSE,CA,ALTA LOMA ELEM,Suburban,6062,6004,FALSE,TRUE,TRUE,164.9620587,166.5556296,TRUE,TRUE,1,NA,NA,TRUE,FALSE,4.4175,TRUE,2.202472806,
,,882567,EAGLE-Net Alliance,"Zayo Group, LLC",300,6/30/16,1,TRUE,FALSE,1000,6/30/19,1,TRUE,FALSE,CO,SCHOOL DISTRICT NO. 3 IN THE COUNTY OF EL PASO AND STATE OF,Suburban,8727,8904,TRUE,FALSE,TRUE,34.37607425,112.3090746,FALSE,TRUE,1,13,0,TRUE,TRUE,6.47,TRUE,1.95,Eaglenet and Zayo merged - not sure if it's considered a  switch
,,882580,Affiniti,EAGLE-Net Alliance,100,6/30/16,0.78,TRUE,FALSE,155.52,6/30/17,1,TRUE,FALSE,CO,"SILVERTON, SCHOOL DISTRICT NO. 1, IN THE COUNTY OF SAN JUAN",Rural,62,64,TRUE,TRUE,TRUE,1612.903226,2430,TRUE,TRUE,1,NA,NA,TRUE,TRUE,10.5025,TRUE,4.822530864,
,,882601,TCA Communications,E. Ritter,200,6/30/18,1,TRUE,FALSE,1000,6/30/17,1,TRUE,FALSE,AR,NETTLETON SCHOOL DISTRICT,Urban,3214,3214,TRUE,FALSE,TRUE,62.22775358,311.1387679,FALSE,TRUE,1,NA,NA,FALSE,FALSE,17.5,TRUE,1.968623303,
,,882607,Comcast,Affiniti,50,6/30/16,1,TRUE,FALSE,1000,6/30/19,0.98,TRUE,FALSE,CO,STRASBURG SCHOOL DISTRICT 31J,Rural,924,1002,TRUE,FALSE,TRUE,54.11255411,998.003992,FALSE,TRUE,1,NA,NA,TRUE,TRUE,4.585,TRUE,3.262454786,
,,882619,Northern Arkansas,Mountain View,100,6/30/16,1,TRUE,FALSE,150,6/30/17,1,TRUE,FALSE,AR,OMAHA SCHOOL DISTRICT,Rural,422,415,TRUE,TRUE,TRUE,236.9668246,361.4457831,TRUE,TRUE,1,NA,NA,TRUE,TRUE,9.959166667,FALSE,12.51176011,
,,882639,AT&T,"Sonic.net, Inc.",350,2/10/18,1,TRUE,FALSE,10000,6/30/21,1,TRUE,FALSE,CA,WEST SONOMA COUNTY UNION HIGH,Suburban,2167,2103,TRUE,TRUE,TRUE,161.5136133,4755.111745,TRUE,TRUE,1,NA,NA,FALSE,TRUE,6.586666667,TRUE,0.129757791,
,,882648,Alaska Comm,GCI Comm,450,6/30/16,1,TRUE,FALSE,450,6/30/19,1,TRUE,FALSE,AK,JUNEAU BOROUGH SCHOOL DISTRICT,Small Town,4778,4767,FALSE,FALSE,FALSE,94.18166597,94.39899308,FALSE,FALSE,1,NA,NA,TRUE,FALSE,39,TRUE,5.1,
