"esh_id","service_provider_2016","bandwidth_in_mbps_2016","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis"
881608,"Frontier",100,"2019-06-30","Internet",1,3102.57,TRUE,FALSE
881611,"Mountain View",1000,"2017-06-30","Upstream",1,305.76,TRUE,FALSE
881613,"Suddenlink Communications",20,"2017-06-30","Internet",1,1000,TRUE,FALSE
881616,"South AR Tele",1000,"2017-06-30","Upstream",1,1160,TRUE,FALSE
881618,"Smith Bagley, Inc.",20,"2017-06-30","Internet",1,5850,TRUE,TRUE
881621,"Simply Bits, L.L.C.",18,"2018-06-30","Internet",1,1600.66,TRUE,FALSE
881622,"E. Ritter",500,"2017-06-30","Upstream",1,363,TRUE,FALSE
881623,"Computer Sciences",500,"2021-06-30","Internet",1,3486.93,TRUE,FALSE
881625,"Cox",100,"2018-03-01","Internet",1,446,TRUE,FALSE
881626,"E. Ritter",500,"2017-06-30","Upstream",1,363,TRUE,FALSE
881627,"Comcast",1000,"2017-06-30","Internet",1,7645.68,TRUE,FALSE
881631,"Cox",100,"2017-06-30","Internet",1,334,TRUE,FALSE
881633,"AT&T",6,"2018-06-30","Upstream",0.03,935,FALSE,TRUE
881633,"Frontier",200,"2020-06-30","Upstream",0.97,7492.5,TRUE,TRUE
881634,"E. Ritter",500,"2017-06-30","Upstream",1,363,TRUE,FALSE
881638,"Frontier",200,"2020-06-30","Upstream",1,7492.5,TRUE,TRUE
881639,"E. Ritter",250,"2017-06-30","Upstream",1,232,TRUE,FALSE
881640,"Computer Sciences",750,"2023-06-30","Internet",1,4162.69,TRUE,FALSE
881642,"Suddenlink Communications",750,"2019-06-30","Internet",1,8625,TRUE,TRUE
881644,"CVIN, LLC",1000,"2020-11-30","Upstream",1,16664,TRUE,FALSE
881645,"Windstream",1000,"2017-06-30","Upstream",1,2589.7,TRUE,FALSE
881648,"Login",269.704,"2019-06-30","Internet",1,9171,TRUE,FALSE
881650,"AT&T",1000,"2019-06-30","Internet",1,2944.6,TRUE,FALSE
881654,"Computer Sciences",500,"2021-06-30","Internet",1,3326.04,TRUE,FALSE
881656,"AT&T",100,"2020-06-30","Upstream",1,1012,TRUE,FALSE
881659,"Computer Sciences",500,"2023-06-30","Internet",1,3326.04,TRUE,FALSE
881660,"Suddenlink Communications",100,"2017-06-30","Internet",1,343.92,TRUE,FALSE
881663,"AT&T",1000,"2019-03-19","Upstream",1,1127.09,TRUE,FALSE
881666,"Computer Sciences",750,"2021-06-30","Internet",1,4278.44,TRUE,FALSE
881669,"AT&T",190,"2018-02-10","Upstream",1,2824.526,TRUE,FALSE
881670,"AT&T",250,"2017-06-30","Upstream",1,923,TRUE,NA
881671,"Computer Sciences",1000,"2021-06-30","Internet",1,4503.33,TRUE,FALSE
881673,"Cable One, Inc.",60,"2017-06-30","Internet",1,110,TRUE,FALSE
881674,"Comcast",500,"2017-06-30","Upstream",1,4712.4,TRUE,FALSE
881677,"Computer Sciences",750,"2021-06-30","Internet",1,4301.83,TRUE,FALSE
881679,"Cable One, Inc.",200,"2017-06-30","Internet",1,2025,TRUE,FALSE
881681,"AT&T",1000,"2018-06-30","Upstream",1,1200.23,TRUE,FALSE
881684,"Southern Light, LLC",4000,"2017-06-30","Internet",1,25920.01,TRUE,FALSE
881684,"Computer Sciences",10,"2021-06-30","Internet",0,992.3,FALSE,FALSE
881686,"AT&T",250,"2017-06-30","Upstream",1,923,TRUE,NA
881688,"Computer Sciences",250,"2021-06-30","Internet",1,2705.88,TRUE,FALSE
881692,"Zayo Group, LLC",100,"2018-06-30","Internet",1,1170,TRUE,NA
881694,"Computer Sciences",500,"2021-06-30","Internet",1,3403.67,TRUE,FALSE
881695,"CenturyLink",100,"2017-06-30","Upstream",1,1392,TRUE,NA
881696,"AT&T",2000,"2018-06-30","Internet",1,13248.36,TRUE,FALSE
881699,"Computer Sciences",500,"2021-06-30","Internet",1,3480.19,TRUE,FALSE
881700,"AT&T",2,"2017-06-30","Upstream",1,601.43,TRUE,NA
881701,"Charter",1000,"2019-06-30","Upstream",1,1680.41,TRUE,FALSE
881705,"Computer Sciences",2000,"2021-06-30","Internet",1,8430.76,TRUE,FALSE
881706,"Charter",1000,"2018-06-30","Upstream",1,2053.91,TRUE,FALSE
881708,"Townes Broadband",250,"2017-06-30","Upstream",1,772.15,TRUE,FALSE
881716,"Cleveland County",100,"2017-06-30","Internet",0.94,3500.04,TRUE,FALSE
881716,"AT&T",6,"2017-06-30","Upstream",0.06,2918.33,FALSE,FALSE
881717,"Level 3",2000,"2017-06-30","Internet",1,5998.34,TRUE,FALSE
881719,"AT&T",2000,"2018-06-30","Upstream, Internet",1,6220.22,TRUE,FALSE
881720,"Computer Sciences",1000,"2021-06-30","Internet",1,10792.65,TRUE,FALSE
881721,"Cox",100,"2017-06-30","Internet",1,1250,TRUE,FALSE
881722,"Zayo Group, LLC",1000,"2019-06-30","Internet",1,2863,TRUE,FALSE
881724,"Agate Mutual",20,"2018-06-30","Internet",1,312,TRUE,FALSE
881725,"Computer Sciences",250,"2021-06-30","Internet",1,2405.06,TRUE,FALSE
881728,"SW AR Tele",500,"2017-06-30","Upstream",1,2778.2,TRUE,FALSE
881730,"SECOM,Inc",50,"2017-06-30","Internet",1,500,TRUE,FALSE
881732,"Computer Sciences",250,"2021-06-30","Internet",1,4962.68,TRUE,FALSE
881734,"AT&T",500,"2017-06-30","Upstream",1,1006,TRUE,FALSE
881735,"Charter",1000,"2018-06-30","Internet",1,3650,TRUE,FALSE
881736,"EAGLE-Net Alliance",60,"2017-06-30","Internet",0.86,870.2,TRUE,FALSE
881736,"CenturyLink",10,"2017-06-30","Internet",0.14,1374,FALSE,FALSE
881737,"Computer Sciences",750,"2021-06-30","Internet",1,4328.52,TRUE,FALSE
881739,"CenturyTel",50,"2017-06-30","Internet",0.17,3545.05,FALSE,FALSE
881739,"CenturyLink",250,"2017-06-30","Upstream",0.83,5220,TRUE,FALSE
881740,"Charter",1000,"2021-06-30","Upstream",1,972,TRUE,FALSE
881741,"CenturyLink",100,"2017-11-12","Internet",1,2350,TRUE,FALSE
881743,"Computer Sciences",1000,"2021-06-30","Internet",1,7547.34,TRUE,FALSE
881744,"E. Ritter",100,"2017-06-30","Upstream",1,174,TRUE,FALSE
881746,"AT&T",1000,"2019-06-30","Upstream",1,1778.52,TRUE,FALSE
881747,"Jade Communications",100,"2017-06-30","Internet",1,1255.54,TRUE,FALSE
881748,"Cox",50,"2020-06-30","Internet",1,632.94,TRUE,FALSE
881749,"AT&T",250,"2017-06-30","Upstream",1,923,TRUE,FALSE
881750,"Computer Sciences",500,"2021-06-30","Internet",1,3102.15,TRUE,FALSE
881751,"Charter",1000,"2019-09-22","Upstream",1,935.36,TRUE,FALSE
881752,"SkyWerx Industries",250,"2017-06-30","Internet",1,2500,TRUE,FALSE
881756,"Cox",1000,"2018-12-10","Internet",1,15000,TRUE,FALSE
881758,"CVIN, LLC",1000,"2019-06-30","Upstream",1,4546.49,TRUE,FALSE
881759,"Computer Sciences",750,"2021-06-30","Internet",1,5723.54,TRUE,FALSE
881760,"E. Ritter",250,"2017-06-30","Upstream",1,232,TRUE,FALSE
881763,"Computer Sciences",1000,"2021-06-30","Internet",1,7623.71,TRUE,FALSE
881765,"Affiniti",1000,"2019-06-30","Upstream",1,1599,TRUE,FALSE
881767,"AT&T",1000,"2017-06-30","Upstream",1,1700.33,TRUE,FALSE
881769,"Computer Sciences",500,"2021-06-30","Internet",1,7000.86,TRUE,FALSE
881770,"Arkwest",250,"2017-06-30","Upstream",1,2362,TRUE,FALSE
881771,"Affiniti",1000,"2019-06-30","Upstream",1,1599,TRUE,FALSE
881773,"Comcast",1000,"2018-06-18","Upstream",1,4900,TRUE,FALSE
881775,"Comcast",100,"2017-06-30","Internet",0.5,1300,FALSE,FALSE
881775,"Zippytech",100,"2017-06-30","Internet",0.5,2040,FALSE,FALSE
881777,"AT&T",1000,"2018-06-30","Upstream",1,1559.8,TRUE,FALSE
881779,"Cox",25,"2018-06-30","Internet",1,186,TRUE,FALSE
881780,"AT&T",8,"2017-06-30","Upstream",1,686.48,TRUE,TRUE
881782,"Computer Sciences",500,"2021-06-30","Internet",1,3590.44,TRUE,FALSE
881787,"ENA Services, LLC",1000,"2017-06-30","Internet",0.91,2600,TRUE,FALSE
881787,"Computer Sciences",100,"2021-06-30","Internet",0.09,5369.68,FALSE,FALSE
881791,"Cox",50,"2017-06-30","Internet",1,290,TRUE,FALSE
881792,"Computer Sciences",500,"2021-06-30","Internet",1,5425.88,TRUE,FALSE
881798,"Computer Sciences",500,"2021-06-30","Internet",1,3486.02,TRUE,FALSE
881806,"Computer Sciences",500,"2021-06-30","Internet",1,3397.31,TRUE,FALSE
881807,"Comcast",2000,"2019-06-30","Internet",0.5,5222.88,FALSE,FALSE
881807,"Unite Private",2000,"2019-06-30","Internet",0.5,6790.29,FALSE,FALSE
881809,"E. Ritter",100,"2017-06-30","Upstream",1,174,TRUE,NA
881811,"Computer Sciences",250,"2021-06-30","Internet",1,2627.51,TRUE,FALSE
881812,"LP Broadband",500,"2018-06-30","Internet",1,3830,TRUE,FALSE
881813,"Windstream",400,"2017-06-30","Internet",1,8500,TRUE,FALSE
881816,"FastTrack Comm",200,"2017-06-30","Internet",1,1320,TRUE,FALSE
881819,"Comcast",20000,"2019-06-30","Upstream",1,7741.94,TRUE,NA
881821,"Affiniti",1000,"2019-06-30","Upstream",0.97,1599,TRUE,FALSE
881821,"Comcast",27,"2017-06-30","Internet",0.03,147.85,FALSE,FALSE
881824,"Computer Sciences",250,"2021-06-30","Internet",1,2400.11,TRUE,FALSE
881825,"Affiniti",1000,"2019-06-30","Upstream",1,1599,TRUE,FALSE
881830,"Computer Sciences",1000,"2021-06-30","Internet",1,7860.22,TRUE,FALSE
881831,"Zayo Group, LLC",4000,"2017-06-30","Internet",1,6800,TRUE,FALSE
881831,"CenturyLink",20,"2017-06-30","Internet",0,1500,FALSE,FALSE
881833,"Comcast",200,"2017-06-30","Internet",0.5,276.22,FALSE,NA
881833,"E. Ritter",200,"2017-06-30","Upstream",0.5,349,FALSE,NA
881836,"Computer Sciences",750,"2021-06-30","Internet",1,4488.41,TRUE,FALSE
881837,"Sierra Comm",30,"2017-06-30","Internet",1,474.95,TRUE,FALSE
881838,"Windstream",285,"2017-06-30","Internet, Upstream",1,13756.1,TRUE,TRUE
881841,"Wiggins Tele Asso",100,"2017-06-30","Internet",1,825,TRUE,FALSE
881842,"Computer Sciences",750,"2021-06-30","Internet",1,4295.8,TRUE,FALSE
881843,"AT&T",100,"2017-06-30","Upstream",0.5,761,FALSE,NA
881843,"Pine Bluff",100,"2017-06-30","Internet",0.5,236.9,FALSE,NA
881847,"Computer Sciences",1500,"2021-06-30","Internet",1,8261.22,TRUE,TRUE
881849,"Cox",25,"2017-06-30","Internet",1,129,TRUE,FALSE
881851,"Computer Sciences",750,"2021-06-30","Internet",1,4197.94,TRUE,FALSE
881854,"Computer Sciences",250,"2021-06-30","Internet",1,2417.45,TRUE,FALSE
881855,"AT&T",2,"2017-06-30","Upstream",1,601.43,TRUE,NA
881856,"CenturyLink",3000,"2017-06-30","Internet",1,7245,TRUE,TRUE
881859,"Windstream",200,"2019-06-30","Internet",1,2241.83,TRUE,FALSE
881860,"Computer Sciences",500,"2021-06-30","Internet",1,3382.01,TRUE,FALSE
881861,"Zayo Group, LLC",200,"2017-06-30","Internet",1,949,TRUE,FALSE
881862,"Vantage Telecom, LLC",1000,"2017-06-30","Upstream",1,5512,TRUE,FALSE
881865,"Computer Sciences",1000,"2021-06-30","Internet",1,6201.57,TRUE,FALSE
881867,"E. Ritter",150,"2017-06-30","Upstream",1,203,TRUE,FALSE
881868,"Charter",500,"2021-06-30","Internet",1,1950,TRUE,FALSE
881871,"Charter",1000,"2018-06-30","Internet",0.67,3650,TRUE,FALSE
881871,"Computer Sciences",500,"2021-06-30","Internet",0.33,3305.41,FALSE,FALSE
881872,"Affiniti",1000,"2019-06-30","Upstream",1,1599,TRUE,FALSE
881874,"Verizon",100,"2022-09-30","Internet",0.5,15751.84,FALSE,TRUE
881874,"Smith Bagley, Inc.",100,"2017-06-30","Internet",0.5,19200,FALSE,TRUE
881876,"Computer Sciences",750,"2021-06-30","Internet",1,4276.82,TRUE,FALSE
881877,"Affiniti",1000,"2019-06-30","Upstream",0.93,1599,TRUE,TRUE
881877,"Comcast",75,"2017-06-30","Internet",0.07,161,FALSE,TRUE
881878,"Windstream",500,"2018-06-30","Internet",0.96,3445.98,TRUE,FALSE
881878,"AT&T",20,"2017-06-30","Upstream",0.04,1139.37,FALSE,FALSE
881881,"Computer Sciences",1500,"2021-06-30","Internet",1,7044.01,TRUE,FALSE
881883,"Zayo Group, LLC",100,"2019-06-30","Internet",1,796,TRUE,FALSE
881884,"E. Ritter",150,"2017-06-30","Upstream",1,203,TRUE,FALSE
881886,"Computer Sciences",250,"2021-06-30","Internet",1,2476.61,TRUE,FALSE
881888,"SECOM,Inc",25,"2017-06-30","Internet",1,375,TRUE,FALSE
881890,"AT&T",800,"2017-06-30","Internet, Upstream",1,3047,TRUE,FALSE
881892,"Computer Sciences",100,"2021-06-30","Internet",1,1662.15,TRUE,TRUE
881893,"LACOE",5000,"2017-06-30","Internet",1,0,TRUE,NA
