"esh_id","service_provider_2015","bandwidth_in_mbps_2015","contract_end_date_2015","purpose_2015","percent_bw_2015","total_monthly_cost_2015","predominant_sp_2015","exclude_from_analysis"
965876,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965878,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965881,"South Dakota Network",200,"2016-06-30","Upstream",1,2678.91666666667,TRUE,FALSE
965882,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965883,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965884,"South Dakota Network",50,"2016-06-30","Upstream",0.89,1272.91666666667,TRUE,FALSE
965884,"Interstate Telecomm",6,"2016-06-28","Internet",0.11,51.74,FALSE,FALSE
965885,"Midcontinent",250,"2016-06-30","Upstream",1,675,TRUE,FALSE
965886,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965887,"South Dakota Network",50,"2016-06-30","Upstream",0.81,1272.91666666667,TRUE,FALSE
965887,"Golden West",12,"2016-06-30","Internet",0.19,119.9,FALSE,FALSE
965889,"South Dakota Network",53,"2016-06-30","Upstream",1,1572.91666666667,TRUE,FALSE
965890,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965894,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965897,"South Dakota Network",100,"2016-06-30","Upstream",0.91,1829.71830985915,TRUE,FALSE
965897,"Interstate Telecomm",10,"2016-06-30","Internet",0.09,58,FALSE,FALSE
965899,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965900,"South Dakota Network",150,"2016-06-30","Upstream",1,3102.63497652582,TRUE,FALSE
965901,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965902,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965903,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965904,"South Dakota Network",50,"2016-06-30","Upstream",0.89,1272.91666666667,TRUE,FALSE
965904,"Golden West",6,"2016-06-30","Internet",0.11,59.95,FALSE,FALSE
965907,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965910,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
