"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly"
"1636","Fiber","Fiber","Fiber","2741780-1",TRUE
"1639","Fiber","Fiber","Fiber","2741818-1",TRUE
"1640","Fiber","Fiber","Fiber","2741822-1",TRUE
"1649","Fiber","Fiber","Fiber","2741969-1",TRUE
"1650","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2741972-1",TRUE
"1653","Fiber","Fiber","Fiber","2742010-1",TRUE
"1657","Fiber","Fiber","Fiber","2742070-1",TRUE
"1664","Cable / DSL","Cable / DSL","Cable / DSL","2742095-1",TRUE
"1667","Copper","Copper","Copper","2742131-1",TRUE
"1693","Fiber","Fiber","Other / Uncategorized","2742448-2",TRUE
"1697","Cable / DSL","Cable / DSL","Cable / DSL","2742628-1",TRUE
"1710","Fixed Wireless","Fixed Wireless","Fixed Wireless","2742750-1",TRUE
"1724","Fiber","Fiber","Fiber","2742848-3",TRUE
"1726","Fiber","Fiber","Other / Uncategorized","2742859-1",TRUE
"1742","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2743124-1",TRUE
"1752","Cable / DSL","Cable / DSL","Cable / DSL","2743164-2",TRUE
"1763","Fiber","Fiber","Other / Uncategorized","2743393-1",TRUE
"1767","Cable / DSL","Cable / DSL","1","2743499-1",TRUE
"1768","Fiber","Fiber","Fiber","2743544-1",TRUE
"1769","Fiber","Fiber","Other / Uncategorized","2743553-1",TRUE
"1771","Fiber","Fiber","Fiber","2743580-1",TRUE
"1773","Fiber","Fiber","Fiber","2743624-1",TRUE
"1774","Fiber","Fiber","Fiber","2743624-2",TRUE
"1780","Fiber","Fiber","Fiber","2743687-1",TRUE
"1787","Fiber","Fiber","Fiber","2743756-1",TRUE
"1790","Fiber","Fiber","Fiber","2743813-1",TRUE
"1799","Fiber","Fiber","Other / Uncategorized","2743959-1",TRUE
"1802","Fiber","Fiber","Fiber","2744054-1",TRUE
"1804","Fiber","Fiber","Fiber","2744054-3",TRUE
"1821","Fiber","Fiber","Other / Uncategorized","2744315-1",TRUE
"1828","Fiber","Fiber","Fiber","2744637-1",TRUE
"1829","Fiber","Fiber","Fiber","2744668-1",TRUE
"1837","Fiber","Fiber","Fiber","2744719-1",TRUE
"1839","Fiber","Fiber","Fiber","2744730-1",TRUE
"1852","Fiber","Fiber","Fiber","2744793-1",TRUE
"1859","Fiber","Fiber","Other / Uncategorized","2744835-1",TRUE
"1861","Fiber","Fiber","Other / Uncategorized","2744846-1",TRUE
"1862","Fiber","Fiber","Fiber","2744846-2",TRUE
"1883","Other / Uncategorized","Other / Uncategorized","1","2745283-1",TRUE
"1888","Fiber","Fiber","Fiber","2745496-1",TRUE
"1894","Fiber","Fiber","Fiber","2745541-1",TRUE
"1896","Fiber","Fiber","Fiber","2745573-1",TRUE
"1902","Fiber","Fiber","Fiber","2745619-1",TRUE
"1912","Fiber","Fiber","Other / Uncategorized","2745849-1",TRUE
"1914","Fiber","Fiber","Fiber","2745881-1",TRUE
"1917","Fiber","Fiber","Fiber","2745881-4",TRUE
"1931","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2746060-1",TRUE
"1932","Fiber","Fiber","Fiber","2746061-1",TRUE
"1936","Fiber","Fiber","Fiber","2746107-1",TRUE
"1938","Fiber","Fiber","Fiber","2746208-1",TRUE
"1944","Fiber","Fiber","Fiber","2746305-1",TRUE
"1945","Fiber","Fiber","Fiber","2746315-1",TRUE
"1952","Fiber","Fiber","Fiber","2746419-1",TRUE
"1966","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2746533-2",TRUE
"1972","Fiber","Fiber","Fiber","2746556-1",TRUE
"1981","Fiber","Fiber","Fiber","2746665-1",TRUE
"1983","Fiber","Fiber","Fiber","2746673-2",TRUE
"1993","Fiber","Fiber","Fiber","2746808-1",TRUE
"1999","Fiber","Fiber","Fiber","2746884-1",TRUE
"2006","Fiber","Fiber","Fiber","2746935-1",TRUE
"2008","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2746948-1",TRUE
"2009","Fiber","Fiber","Fiber","2747039-1",TRUE
"2016","Fiber","Fiber","Fiber","2747221-1",TRUE
"2036","Fiber","Fiber","Other / Uncategorized","2747387-1",TRUE
"2048","Fiber","Fiber","Fiber","2747569-1",TRUE
"2057","Fiber","Fiber","Fiber","2747711-1",TRUE
"2060","Copper","Copper","Other / Uncategorized","2747747-1",TRUE
"2061","Fiber","Fiber","Fiber","2747753-1",TRUE
"2062","Cable / DSL","Cable / DSL","Cable / DSL","2747757-1",TRUE
"2063","Other / Uncategorized","Other / Uncategorized","Fiber","2747767-1",TRUE
"2086","Fiber","Fiber","Fiber","2748225-1",TRUE
"2091","Fiber","Cable / DSL","Fiber","2748480-1",FALSE
