line_item_id,ben,bandwidth_in_mbps,num_students,connect_category,providers_typical_category,consultant_app,consultants_cat,total_cost,num_lines,frn_complete,copper_line,exception_not_fiber,likely_other_uncategorized,likely_wan_fiber,wan_fiber_3_lines,wireless_service,ia_circuit_only,isp_conditions_met,upstream_conditions_met,postal_cd,esh_id,district_name,other_location,other_location_no_district,nces_cd,num_of_services,highest_connect_type,free_and_reduced,entity_type,cost_per_line
201732,137495,100.0,1462,Fiber,Fiber,false,N/A,34800.0,1,2801185-1,false,false,true,false,false,false,false,false,false,MO,924408,MT. VERNON R-V,false,false,2921600,2,Fiber,773,District,34800.0
201743,137377,10.0,234,Cable / DSL,Fiber,false,N/A,549.96,1,2803667-1,false,false,true,false,false,false,false,false,false,MO,924165,CLIMAX SPRINGS R-IV,false,false,2909810,41,Fiber,191,District,549.96
201771,,1.5,0,Other / Uncategorized,Fiber,false,N/A,45120.0,3,2805923-1,true,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,15040.0
201774,,100.0,423,Fiber,Fiber,true,Fiber,58800.0,2,2806331-1,false,false,true,false,false,false,false,false,false,MO,,,false,false,,0,unknown,0,Consortium,29400.0
201787,,50.0,0,Fiber,Fiber,false,N/A,201960.0,23,2805827-1,false,false,false,true,true,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,8780.869565217392
202548,143366,50.0,480,Fiber,Fiber,true,Fiber,20736.0,1,2784688-1,false,false,true,false,false,false,false,false,false,NM,942879,CAPITAN MUNICIPAL SCHOOLS,false,false,3500270,2,Fiber,327,District,20736.0
202562,143274,100.0,711,Fiber,Fiber,true,Fiber,40824.0,1,2796464-1,false,false,true,false,false,false,false,false,false,NM,942896,DULCE INDEPENDENT SCHOOLS,false,false,3500810,1,Fiber,702,District,40824.0
202586,143369,25.0,146,Fixed Wireless,Fiber,true,Fixed Wireless,4799.88,1,2784939-1,false,false,true,false,false,true,false,false,false,NM,942912,HONDO VALLEY PUBLIC SCHOOLS,false,false,3501290,2,Fiber,140,District,4799.88
210135,136902,100.0,32364,Fiber,Fiber,true,Fiber,345501.12,52,2750415-1,false,false,false,true,true,false,false,false,false,MO,924568,ST. LOUIS CITY,false,false,2929280,73,Fiber,22028,District,6644.252307692308
210136,136902,1000.0,32364,Fiber,Fiber,true,Fiber,79536.0,1,2750438-1,false,false,true,false,false,false,false,false,false,MO,924568,ST. LOUIS CITY,false,false,2929280,73,Fiber,22028,District,79536.0
210139,,10.0,699,Cable / DSL,Fiber,true,Cable / DSL,1020.0,0,2802831-1,false,false,true,false,false,false,false,false,false,MO,,,false,false,,0,unknown,0,Consortium,0
210143,,100.0,699,Fiber,Fiber,true,Fiber,107700.0,0,2802840-1,false,false,true,false,false,false,false,false,false,MO,,,false,false,,0,unknown,0,Consortium,0
210144,,20.0,699,Fiber,Fiber,true,Fiber,12000.0,0,2802850-1,false,false,true,false,false,false,false,false,false,MO,,,false,false,,0,unknown,0,Consortium,0
210145,136902,1000.0,32364,Fiber,Fiber,true,Fiber,307645.92,24,2750415-2,false,false,false,true,true,false,false,false,false,MO,924568,ST. LOUIS CITY,false,false,2929280,73,Fiber,22028,District,12818.58
210146,136902,10000.0,32364,Fiber,Fiber,true,Fiber,176496.96,1,2750415-3,false,false,false,true,false,false,false,false,false,MO,924568,ST. LOUIS CITY,false,false,2929280,73,Fiber,22028,District,176496.96
210152,137139,1000.0,3388,Fiber,Fiber,true,Fiber,75564.0,9,2791855-1,false,false,false,true,true,false,false,false,false,MO,924616,WARRENSBURG R-VI,false,false,2931020,47,Fiber,1223,District,8396.0
210276,136923,100.0,5794,Fiber,Fiber,true,Fiber,14124.0,1,2797650-1,false,false,true,false,false,false,false,false,false,MO,924351,LINDBERGH SCHOOLS,false,false,2918690,48,Fiber,987,District,14124.0
210278,136923,1000.0,5794,Fiber,Fiber,true,Fiber,197286.6,9,2797652-1,false,false,false,true,true,false,false,false,false,MO,924351,LINDBERGH SCHOOLS,false,false,2918690,48,Fiber,987,District,21920.733333333334
210282,137324,1000.0,644,Fiber,Fiber,false,N/A,22799.4,1,2807888-1,false,false,true,false,false,false,false,false,false,MO,924576,MORGAN CO. R-I,false,false,2929610,1,Fiber,432,District,22799.4
210292,137191,1000.0,2264,Fiber,Fiber,true,Fiber,77759.4,0,2807295-1,false,false,true,false,false,false,false,false,false,MO,924528,SAVANNAH R-III,false,false,2927570,0,Insufficient data,821,District,0
210293,137191,10.0,2264,Cable / DSL,Other / Uncategorized,true,Cable / DSL,719.4,0,2807304-1,false,false,true,false,false,false,false,false,false,MO,924528,SAVANNAH R-III,false,false,2927570,0,Insufficient data,821,District,0
210294,,100.0,901,Fiber,Fiber,true,Fiber,22612.08,0,2807835-1,false,false,true,false,false,false,false,false,false,MO,,,false,false,,0,unknown,0,Consortium,0
210295,,100.0,901,Fiber,Fiber,true,Fiber,9791.28,0,2807843-1,false,false,true,false,false,false,false,false,false,MO,,,false,false,,0,unknown,0,Consortium,0
210306,137191,20.0,2264,Fiber,Fiber,true,Fiber,839.4,0,2807314-1,false,false,true,false,false,false,false,false,false,MO,924528,SAVANNAH R-III,false,false,2927570,0,Insufficient data,821,District,0
210312,,10.0,0,Cable / DSL,Fiber,true,Cable / DSL,1020.0,1,2807714-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,1020.0
210342,137290,100.0,4534,Fiber,Cable / DSL,true,Fiber,18563.88,0,2808195-1,false,false,true,false,false,false,false,false,false,MO,924143,CARTHAGE R-IX,false,false,2907460,40,Fiber,2686,District,0
210350,,6.0,0,Cable / DSL,Fiber,true,Cable / DSL,552.0,1,2808133-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,552.0
210840,143238,300.0,3746,Fiber,Fiber,true,Fiber,96039.6,1,2727540-1,false,false,true,false,false,false,false,false,false,NM,942908,GRANTS-CIBOLA COUNTY SCHOOLS,false,false,3501170,18,Fiber,2776,District,96039.6
210843,143238,250.0,3746,Fixed Wireless,Fixed Wireless,true,Fixed Wireless,33680.52,1,2732848-1,false,false,false,true,false,true,false,false,false,NM,942908,GRANTS-CIBOLA COUNTY SCHOOLS,false,false,3501170,18,Fiber,2776,District,33680.52
210846,143238,50.0,3746,Fiber,Fiber,true,Fiber,12987.36,1,2732835-3,false,false,false,true,false,false,false,false,false,NM,942908,GRANTS-CIBOLA COUNTY SCHOOLS,false,false,3501170,18,Fiber,2776,District,12987.36
210847,143238,50.0,3746,Fixed Wireless,Fixed Wireless,true,Fixed Wireless,168402.72,5,2732848-2,false,false,false,true,true,true,false,false,false,NM,942908,GRANTS-CIBOLA COUNTY SCHOOLS,false,false,3501170,18,Fiber,2776,District,33680.544
210848,143238,1.5,3746,Copper,Fiber,true,Copper,60883.2,8,2732864-1,true,false,false,true,true,false,false,false,false,NM,942908,GRANTS-CIBOLA COUNTY SCHOOLS,false,false,3501170,18,Fiber,2776,District,7610.4
210849,143238,300.0,3746,Fiber,Fiber,true,Fiber,29784.72,1,2732835-1,false,false,false,true,false,false,false,false,false,NM,942908,GRANTS-CIBOLA COUNTY SCHOOLS,false,false,3501170,18,Fiber,2776,District,29784.72
210850,143238,100.0,3746,Fiber,Fiber,true,Fiber,50058.48,3,2732835-2,false,false,false,true,false,false,false,false,false,NM,942908,GRANTS-CIBOLA COUNTY SCHOOLS,false,false,3501170,18,Fiber,2776,District,16686.16
210852,143316,40.0,191,Cable / DSL,Cable / DSL,true,Cable / DSL,4623.24,1,2784486-1,false,false,true,false,false,false,false,false,false,NM,942811,ANIMAS PUBLIC SCHOOLS,false,false,3500090,1,Cable / DSL,123,District,4623.24
210862,143357,50.0,147,Fiber,Fiber,true,Fiber,64177.56,1,2751477-1,false,false,true,false,false,false,false,false,false,NM,942917,LAKE ARTHUR MUNICIPAL SCHOOLS,false,false,3501470,1,Fiber,138,District,64177.56
210866,143348,100.0,978,Fiber,Other / Uncategorized,true,Fiber,60086.91,1,2749520-1,false,false,true,false,false,false,false,false,false,NM,942894,DEXTER CONSOLIDATED SCHOOLS,false,false,3500750,1,Fiber,784,District,60086.91
210926,143342,500.0,10261,Fiber,Fiber,true,Fiber,37805.76,1,2795396-1,false,false,true,false,false,false,false,false,false,NM,942953,ROSWELL INDEPENDENT SCHOOLS,false,false,3502250,20,Fiber,8541,District,37805.76
210952,143371,100.0,2098,Fiber,Fiber,true,Fiber,50933.04,1,2796992-1,false,false,true,false,false,false,false,false,false,NM,942955,RUIDOSO MUNICIPAL SCHOOLS,false,false,3502310,6,Fiber,1334,District,50933.04
210953,143371,100.0,2098,Fiber,Fiber,true,Fiber,16374.72,6,2796992-2,false,false,false,true,true,false,false,false,false,NM,942955,RUIDOSO MUNICIPAL SCHOOLS,false,false,3502310,6,Fiber,1334,District,2729.12
210956,143371,12.0,2098,Cable / DSL,Fiber,true,Cable / DSL,1405.2,1,2796992-3,false,false,true,false,false,false,false,false,false,NM,942955,RUIDOSO MUNICIPAL SCHOOLS,false,false,3502310,6,Fiber,1334,District,1405.2
210957,143371,40.0,2098,Fiber,Fiber,true,Fiber,8158.32,1,2797000-1,false,false,true,false,false,false,false,false,false,NM,942955,RUIDOSO MUNICIPAL SCHOOLS,false,false,3502310,6,Fiber,1334,District,8158.32
210962,143342,1000.0,10261,Fiber,Fiber,true,Fiber,195300.0,21,2804924-1,false,false,false,true,true,false,false,false,false,NM,942953,ROSWELL INDEPENDENT SCHOOLS,false,false,3502250,20,Fiber,8541,District,9300.0
210983,143320,45.0,5477,Copper,Cable / DSL,false,N/A,51600.0,1,2808073-1,true,false,false,true,false,false,false,false,false,NM,942892,DEMING PUBLIC SCHOOLS,false,false,3500690,9,Fiber,5304,District,51600.0
210984,143320,45.0,5477,Copper,Fiber,false,N/A,24360.0,1,2808074-1,true,false,false,true,false,false,false,false,false,NM,942892,DEMING PUBLIC SCHOOLS,false,false,3500690,9,Fiber,5304,District,24360.0
210986,143328,50.0,231,Fiber,Fiber,false,N/A,5778.0,1,2807566-1,false,false,true,false,false,false,false,false,false,NM,942895,DORA MUNICIPAL SCHOOLS,false,false,3500790,1,Fiber,108,District,5778.0
223537,,8.0,80,Cable / DSL,Cable / DSL,false,N/A,660.0,1,2809189-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,660.0
223553,,75.0,966,Other / Uncategorized,Fiber,true,Other / Uncategorized,13426.8,0,2810025-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,0
223554,,10.0,966,Other / Uncategorized,Fiber,true,Other / Uncategorized,6000.0,0,2810031-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,0
223555,,100.0,966,Other / Uncategorized,Fiber,true,Other / Uncategorized,20944.8,0,2810039-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,0
223609,137140,10.0,390,Cable / DSL,Fiber,false,N/A,600.0,1,2809969-1,false,false,true,false,false,false,false,false,false,MO,924628,WELLINGTON-NAPOLEON R-IX,false,false,2931560,41,Fiber,134,District,600.0
223632,137275,50.0,480,Other / Uncategorized,Fiber,false,N/A,23904.0,1,2810269-1,false,false,true,false,false,false,true,true,false,MO,924347,LIBERAL R-II,false,false,2918510,41,Fiber,251,District,23904.0
223663,,45.0,0,Cable / DSL,Fiber,true,Cable / DSL,816.0,1,2809646-1,true,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,816.0
223684,137536,100.0,1334,Other / Uncategorized,Fiber,false,N/A,21180.0,1,2813645-1,false,false,true,false,false,false,true,true,false,MO,924643,WILLOW SPRINGS R-IV,false,false,2932070,45,Fiber,831,District,21180.0
223686,137329,1.5,821,Copper,Fiber,false,N/A,20903.4,7,2812000-1,true,false,true,false,false,false,false,false,false,MO,924635,OSAGE CO. R-III,false,false,2931830,8,Cable / DSL,175,District,2986.2
223690,,18.0,0,Other / Uncategorized,Fiber,false,N/A,660.0,1,2812119-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,660.0
223704,,1.5,776,Copper,Copper,true,Copper,4800.0,2,2814359-1,true,false,true,false,false,false,false,false,false,MO,,,false,false,,0,unknown,0,School,2400.0
223742,137309,20.0,119,Cable / DSL,Fiber,false,N/A,2879.4,1,2815144-1,false,false,true,false,false,false,false,false,false,MO,924160,CLARKSBURG C-2,false,false,2909090,1,Cable / DSL,56,District,2879.4
225045,143265,1000.0,11222,Fiber,Fixed Wireless,true,Fiber,194292.0,9,2762434-1,false,false,false,true,true,false,false,false,false,NM,942902,FARMINGTON MUNICIPAL SCHOOLS,false,false,3500990,10,Fiber,5937,District,21588.0
225048,143253,3.0,94083,Other / Uncategorized,Fiber,true,Other / Uncategorized,11875.2,1,2763804-1,true,false,true,false,false,false,true,true,false,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,11875.2
225049,143253,500.0,94083,Fiber,Fiber,true,Fiber,353835.36,16,2763984-4,false,false,false,true,true,false,false,false,false,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,22114.71
225050,143253,2000.0,94083,Other / Uncategorized,Fiber,true,Other / Uncategorized,593760.0,2,2763585-1,false,false,true,false,false,false,true,true,false,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,296880.0
225052,,40.0,0,Cable / DSL,Fiber,true,Cable / DSL,1271.88,1,2765505-1,false,false,true,false,false,false,false,false,false,NM,,,true,true,,0,unknown,0,OtherLocation,1271.88
225054,143253,50.0,94083,Fiber,Fiber,true,Fiber,17552.04,2,2763984-2,false,false,false,true,false,false,false,false,false,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,8776.02
225055,143253,300.0,94083,Fiber,Fiber,true,Fiber,1962525.24,125,2763984-3,false,false,false,true,true,false,false,false,false,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,15700.20192
225056,143253,30.0,94083,Fiber,Fiber,true,Fiber,23308.8,3,2763984-1,false,false,false,true,false,false,false,false,false,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,7769.6
225063,143253,10000.0,94083,Fiber,Fiber,true,Fiber,78376.32,2,2763744-1,false,false,false,false,false,false,false,false,true,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,39188.16
225068,143253,10000.0,94083,Fiber,Fiber,true,Fiber,1935016.32,14,2763984-5,false,false,false,true,true,false,false,false,false,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,138215.45142857142
225070,,1.5,0,Cable / DSL,Fiber,true,Cable / DSL,2652.84,1,2784311-1,true,false,true,false,false,false,false,false,false,NM,,,true,true,,0,unknown,0,OtherLocation,2652.84
225072,143253,2000.0,94083,Fiber,Fiber,true,Fiber,53675.88,1,2763984-6,false,false,false,true,false,false,false,false,false,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,53675.88
225073,143253,1.5,94083,Copper,Fiber,true,Copper,17812.8,3,2777464-1,true,false,false,false,false,false,false,false,false,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,5937.6
225080,143253,100.0,94083,Fiber,Fiber,true,Fiber,12211.32,1,2763984-7,false,false,false,true,false,false,false,false,false,NM,942810,ALBUQUERQUE PUBLIC SCHOOLS,false,false,3500060,161,Fiber,60799,District,12211.32
225081,143233,45.0,3149,Copper,Fiber,false,N/A,20880.0,1,2782737-1,true,false,false,true,false,false,false,false,false,NM,942877,BERNALILLO PUBLIC SCHOOLS,false,false,3500210,11,Fiber,2677,District,20880.0
225083,143233,1.5,3149,Copper,Fiber,false,N/A,46920.0,11,2782901-1,true,false,false,true,true,false,false,false,false,NM,942877,BERNALILLO PUBLIC SCHOOLS,false,false,3500210,11,Fiber,2677,District,4265.454545454545
225086,143233,200.0,3149,Fiber,Fiber,false,N/A,49608.0,1,2782955-1,false,false,true,false,false,false,false,false,false,NM,942877,BERNALILLO PUBLIC SCHOOLS,false,false,3500210,11,Fiber,2677,District,49608.0
225087,143233,20.0,3149,Fiber,Fiber,false,N/A,82340.4,5,2782980-1,false,false,false,true,true,false,false,false,false,NM,942877,BERNALILLO PUBLIC SCHOOLS,false,false,3500210,11,Fiber,2677,District,16468.08
225165,143281,45.0,642,Fiber,Other / Uncategorized,false,N/A,62475.72,1,2809911-1,true,false,true,false,false,false,false,false,false,NM,942944,PECOS INDEPENDENT SCHOOLS,false,false,3502010,1,Fiber,625,District,62475.72
