line_item_id,ben,bandwidth_in_mbps,num_students,connect_category,providers_typical_category,consultant_app,consultants_cat,total_cost,num_lines,frn_complete,copper_line,exception_not_fiber,likely_other_uncategorized,likely_wan_fiber,wan_fiber_3_lines,wireless_service,ia_circuit_only,isp_conditions_met,upstream_conditions_met,postal_cd,esh_id,district_name,other_location,nces_cd,num_of_services,highest_connect_type,free_and_reduced,cost_per_line
117688,141100,100.0,576,Fixed Wireless,Fiber,false,N/A,48000.0,1,2723632-1,false,false,true,false,false,true,false,false,false,TX,969227,CRAWFORD ISD,false,4815600,1,Fixed Wireless,119,48000.0
117689,141886,12.0,102,Fiber,Other / Uncategorized,true,Fiber,34800.0,1,2723863-1,false,true,true,false,false,false,false,false,false,TX,970210,WILDORADO ISD,false,4845840,24,Insufficient data,41,34800.0
117696,141852,1.5,215,Copper,Other / Uncategorized,true,Copper,7400.04,1,2727379-1,true,true,true,false,false,false,false,false,false,TX,969720,MIAMI ISD,false,4830480,25,,41,7400.04
117697,,100.0,,Fiber,Fiber,true,Fiber,81608.04,150,2727514-1,false,false,false,true,true,false,false,false,false,TX,,,false,,,,0,544.0536
117700,140828,50.0,826,Other / Uncategorized,Copper,true,Other / Uncategorized,34500.0,50,2717865-1,false,true,true,false,false,false,true,true,false,TX,970016,SHELBYVILLE ISD,false,4839960,50,Insufficient data,494,690.0
117702,141419,45.0,597,Copper,Fiber,false,N/A,9499.92,8,2718088-1,true,true,false,true,true,false,false,false,false,TX,969761,MUMFORD ISD,false,4831950,24,Copper,453,1187.49
117703,141620,14.0,1095,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,23700.36,40,2718105-1,false,true,true,false,false,false,true,true,false,TX,970086,TAFT ISD,false,4842060,163,Fiber,802,592.509
117712,141316,1000.0,18886,Fiber,Fiber,false,N/A,63000.0,1,2724833-1,false,false,true,false,false,false,false,false,false,TX,968982,ALVIN ISD,false,4808090,4,Fiber,9739,63000.0
117713,141316,100.0,18886,Fiber,Fiber,false,N/A,25329.84,1,2724838-1,false,false,true,false,false,false,false,false,false,TX,968982,ALVIN ISD,false,4808090,4,Fiber,9739,25329.84
117714,141986,1.0,29219,Other / Uncategorized,Fiber,false,N/A,3240.0,1,2722774-1,false,false,false,false,false,false,false,false,false,TX,969657,LUBBOCK ISD,false,4828500,54,Fiber,19291,3240.0
117720,141115,1000.0,1361,Fiber,Fiber,true,Fiber,32797.56,3,2740282-1,false,false,false,true,false,false,false,false,false,TX,969699,MCGREGOR ISD,false,4829820,5,Fiber,1020,10932.52
117721,141115,1000.0,1361,Fiber,Fiber,true,Fiber,2920.44,1,2740294-1,false,false,false,true,false,false,false,false,false,TX,969699,MCGREGOR ISD,false,4829820,5,Fiber,1020,2920.44
117745,141669,200.0,4760,Fiber,Fiber,false,N/A,7233.96,1,2751010-1,false,false,false,false,false,false,false,false,false,TX,970144,VALLEY VIEW ISD,false,4843800,19,Fiber,4421,7233.96
117746,141669,15.0,4760,Fiber,Fiber,false,N/A,4233.96,1,2751020-1,false,false,false,false,false,false,false,false,false,TX,970144,VALLEY VIEW ISD,false,4843800,19,Fiber,4421,4233.96
117753,140783,1000.0,8518,Fiber,Fiber,true,Fiber,37200.0,1,2751675-1,false,false,true,false,false,false,false,false,false,TX,969659,LUFKIN ISD,false,4828550,20,Fiber,6295,37200.0
117775,141690,350.0,9302,Fiber,Fiber,false,N/A,120000.0,13,2742402-1,false,false,false,true,true,false,false,false,false,TX,969029,BASTROP ISD,false,4809570,14,Fiber,6310,9230.76923076923
117777,141945,25.0,1429,Fixed Wireless,Other / Uncategorized,false,N/A,25500.0,1,2742089-1,false,true,true,false,false,true,false,false,false,TX,969636,LITTLEFIELD ISD,false,4827750,110,Fiber,1080,25500.0
117811,141866,1.5,429,Cable / DSL,Fiber,false,N/A,540.0,1,2726068-1,true,false,true,false,false,false,false,false,false,TX,970012,SHAMROCK ISD,false,4839900,33,Fiber,249,540.0
117814,141900,40.0,472,Fiber,Other / Uncategorized,true,Fiber,4404.16,1,2723677-1,false,true,false,false,false,false,false,false,true,TX,969176,CLARENDON ISD,false,4814160,26,Fiber,249,4404.16
117817,141671,1000.0,2642,Fiber,Fiber,false,N/A,8539.2,1,2727099-5,false,false,false,true,false,false,false,false,false,TX,969870,POINT ISABEL ISD,false,4835250,38,Fiber,2320,8539.2
117818,141671,1000.0,2642,Fiber,Fiber,false,N/A,6727.2,1,2727099-4,false,false,false,true,false,false,false,false,false,TX,969870,POINT ISABEL ISD,false,4835250,38,Fiber,2320,6727.2
117819,141671,1000.0,2642,Fiber,Fiber,false,N/A,6727.2,1,2727099-3,false,false,false,true,false,false,false,false,false,TX,969870,POINT ISABEL ISD,false,4835250,38,Fiber,2320,6727.2
117820,141671,1000.0,2642,Fiber,Fiber,false,N/A,6727.2,1,2727099-2,false,false,false,false,false,false,false,false,true,TX,969870,POINT ISABEL ISD,false,4835250,38,Fiber,2320,6727.2
117821,141671,1000.0,2642,Fiber,Fiber,false,N/A,6727.2,1,2727099-1,false,false,false,true,false,false,false,false,false,TX,969870,POINT ISABEL ISD,false,4835250,38,Fiber,2320,6727.2
117822,140768,0.0,464,Other / Uncategorized,Other / Uncategorized,false,N/A,8138.88,6,2727101-1,false,false,false,false,false,false,false,false,false,TX,969424,GRAPELAND ISD,false,4821630,49,Insufficient data,296,1356.48
117827,141353,100.0,584,Other / Uncategorized,Fixed Wireless,true,Other / Uncategorized,52800.0,1,2727717-1,false,false,true,false,false,false,false,false,false,TX,970182,WEST HARDIN COUNTY CISD,false,4845000,26,Copper,300,52800.0
117829,140632,100.0,612,Fiber,Fiber,false,N/A,7200.0,1,2726889-1,false,false,false,true,false,false,false,false,false,TX,970223,WOLFE CITY ISD,false,4846350,28,Fiber,319,7200.0
117853,141316,2000.0,18886,Fiber,Fiber,false,N/A,94086.0,1,2724881-1,false,false,true,false,false,false,false,false,false,TX,968982,ALVIN ISD,false,4808090,4,Fiber,9739,94086.0
117854,140486,100.0,2069,Fiber,Fiber,false,N/A,22740.0,4,2722758-1,false,false,true,false,false,false,false,false,false,TX,969133,CANTON ISD,false,4812750,8,Insufficient data,814,5685.0
117855,141986,200.0,29219,Fiber,Fiber,false,N/A,71400.0,1,2722814-1,false,false,true,false,false,false,false,false,false,TX,969657,LUBBOCK ISD,false,4828500,54,Fiber,19291,71400.0
117856,,1.5,,Cable / DSL,Fiber,true,Cable / DSL,779.88,1,2722773-1,true,false,true,false,false,false,false,false,false,TX,,,true,,,,0,779.88
117857,,0.5,192,Other / Uncategorized,Other / Uncategorized,false,N/A,15482.28,35,2726225-1,false,false,false,false,false,true,false,false,false,TX,,,false,,,,0,442.35085714285714
117858,140959,500.0,14680,Fiber,Fiber,true,Fiber,59705.64,1,2726493-1,false,false,true,false,false,false,false,false,false,TX,970209,WICHITA FALLS ISD,false,4845780,56,Fiber,8433,59705.64
117863,,10.0,,Cable / DSL,Fiber,false,N/A,2899.0,1,2739631-1,false,false,true,false,false,false,false,false,false,TX,,,true,,,,0,2899.0
117874,141014,6.0,1147,Cable / DSL,Fiber,false,N/A,1920.0,2,2740015-1,false,false,true,false,false,false,false,false,false,TX,969305,EASTLAND ISD,false,4817960,37,Fiber,669,960.0
117901,140809,100.0,1735,Fiber,Other / Uncategorized,true,Fiber,43200.0,4,2746083-1,false,false,false,true,true,false,false,false,false,TX,969506,HUNTINGTON ISD,false,4824000,5,Fiber,904,10800.0
