,verified_category,predicted_category,raw_category,frn_complete,guessed_correct,cleaned_line_item,made_line_item_dirty,,
189,Fiber,Fiber,Fiber,2750415-1,TRUE,FALSE,FALSE,,
190,Fiber,Fiber,Fiber,2750415-2,TRUE,FALSE,FALSE,,
191,Fiber,Fiber,Fiber,2750415-3,TRUE,FALSE,FALSE,,
192,Fiber,Fiber,Fiber,2750438-1,TRUE,FALSE,FALSE,,
193,Fiber,Fiber,Fiber,2751304-1,TRUE,FALSE,FALSE,,
196,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2751520-1,TRUE,FALSE,FALSE,,
198,Copper,Copper,Copper,2751679-1,TRUE,FALSE,FALSE,,
199,Fiber,Fiber,Fiber,2751882-1,TRUE,FALSE,FALSE,,
201,Fiber,Fiber,Other / Uncategorized,2752299-1,TRUE,TRUE,FALSE,,
202,Fiber,Fiber,Other / Uncategorized,2752299-2,TRUE,TRUE,FALSE,,
203,Fiber,Fiber,Fiber,2752341-1,TRUE,FALSE,FALSE,,
204,Fiber,Fiber,Fiber,2754089-1,TRUE,FALSE,FALSE,,
205,Fiber,Fiber,Fiber,2754352-1,TRUE,FALSE,FALSE,,
206,Fiber,Fiber,Fiber,2754648-1,TRUE,FALSE,FALSE,,
207,Fiber,Fiber,Fiber,2754772-1,TRUE,FALSE,FALSE,,
208,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2754772-2,TRUE,FALSE,FALSE,,
209,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2754772-3,TRUE,FALSE,FALSE,,
210,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2754772-4,TRUE,FALSE,FALSE,,
211,Fiber,Fiber,Fiber,2754929-1,TRUE,FALSE,FALSE,,
212,Cable / DSL,Cable / DSL,Cable / DSL,2754929-2,TRUE,FALSE,FALSE,,
213,Fiber,Fiber,Fiber,2755035-1,TRUE,FALSE,FALSE,,
214,Fiber,Fiber,Fiber,2755056-1,TRUE,FALSE,FALSE,,
215,Fiber,Fiber,Fiber,2755059-1,TRUE,FALSE,FALSE,,
216,Copper,Copper,Copper,2755267-1,TRUE,FALSE,FALSE,,
218,Fiber,Fiber,Fiber,2755599-1,TRUE,FALSE,FALSE,,
219,Fiber,Fiber,Fiber,2756199-1,TRUE,FALSE,FALSE,,
220,Fiber,Fiber,Fiber,2756369-1,TRUE,FALSE,FALSE,,
221,Fixed Wireless,Fixed Wireless,Fixed Wireless,2756750-1,TRUE,FALSE,FALSE,,
222,Copper,Copper,Copper,2756792-1,TRUE,FALSE,FALSE,,
223,Fiber,Fiber,Fiber,2757106-1,TRUE,FALSE,FALSE,,
224,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2757812-1,TRUE,FALSE,FALSE,,
225,Fiber,Fiber,Fiber,2757828-1,TRUE,FALSE,FALSE,,
226,Cable / DSL,Cable / DSL,Cable / DSL,2757995-1,TRUE,FALSE,FALSE,,
227,Fiber,Fiber,Fiber,2758003-1,TRUE,FALSE,FALSE,,
228,Cable / DSL,Cable / DSL,Cable / DSL,2758071-1,TRUE,FALSE,FALSE,,
229,Cable / DSL,Cable / DSL,Cable / DSL,2758847-1,TRUE,FALSE,FALSE,,
230,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2759366-1,TRUE,FALSE,FALSE,,
231,Copper,Copper,Copper,2760069-1,TRUE,FALSE,FALSE,,
232,Fiber,Fiber,Fiber,2761247-1,TRUE,FALSE,FALSE,,
233,Fiber,Fiber,Fiber,2761247-2,TRUE,FALSE,FALSE,,
235,Fiber,Fiber,Fiber,2761484-1,TRUE,FALSE,FALSE,,
236,Cable / DSL,Cable / DSL,Cable / DSL,2761510-1,TRUE,FALSE,FALSE,,
238,Copper,Copper,Copper,2761948-1,TRUE,FALSE,FALSE,,
239,Fiber,Fiber,Fiber,2761968-1,TRUE,FALSE,FALSE,,
240,Copper,Copper,Copper,2761972-1,TRUE,FALSE,FALSE,,
241,Fiber,Fiber,Fiber,2762252-1,TRUE,FALSE,FALSE,,
242,Fiber,Fiber,Fiber,2762252-2,TRUE,FALSE,FALSE,,
243,Fiber,Fiber,Fiber,2762429-1,TRUE,FALSE,FALSE,,
244,Fiber,Fiber,Fiber,2762434-1,TRUE,FALSE,FALSE,,
246,Cable / DSL,Cable / DSL,Cable / DSL,2762893-1,TRUE,FALSE,FALSE,,
247,Fiber,Fiber,Fiber,2762981-1,TRUE,FALSE,FALSE,,
248,Fiber,Fiber,Fiber,2763112-1,TRUE,FALSE,FALSE,,
250,Fiber,Fiber,Fiber,2763214-1,TRUE,FALSE,FALSE,,
251,Fiber,Fiber,Fiber,2763220-1,TRUE,FALSE,FALSE,,
252,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2763585-1,TRUE,FALSE,FALSE,,
253,Fiber,Fiber,Fiber,2763744-1,TRUE,FALSE,FALSE,,
254,Copper,Copper,Copper,2763763-1,TRUE,FALSE,FALSE,,
255,Fiber,Fiber,Fiber,2763774-1,TRUE,FALSE,FALSE,,
256,Copper,Copper,Copper,2763781-1,TRUE,FALSE,FALSE,,
257,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2763804-1,TRUE,FALSE,FALSE,,
258,Fiber,Fiber,Fiber,2763966-1,TRUE,FALSE,FALSE,,
260,Fiber,Fiber,Fiber,2763966-3,TRUE,FALSE,FALSE,,
262,Fiber,Fiber,Fiber,2763970-2,TRUE,FALSE,FALSE,,
263,Fiber,Fiber,Fiber,2763984-1,TRUE,FALSE,FALSE,,
264,Fiber,Fiber,Fiber,2763984-2,TRUE,FALSE,FALSE,,
265,Fiber,Fiber,Fiber,2763984-3,TRUE,FALSE,FALSE,,
266,Fiber,Fiber,Fiber,2763984-4,TRUE,FALSE,FALSE,,
267,Fiber,Fiber,Fiber,2763984-5,TRUE,FALSE,FALSE,,
268,Fiber,Fiber,Fiber,2763984-6,TRUE,FALSE,FALSE,,
269,Fiber,Fiber,Fiber,2763984-7,TRUE,FALSE,FALSE,,
271,Fiber,Fiber,Fiber,2764533-1,TRUE,FALSE,FALSE,,
272,Fiber,Fiber,Fiber,2764697-1,TRUE,FALSE,FALSE,,
275,Fiber,Fiber,Fiber,2765019-1,TRUE,FALSE,FALSE,,
276,Fiber,Fiber,Fiber,2765165-1,TRUE,FALSE,FALSE,,
277,Copper,Copper,Copper,2765165-2,TRUE,FALSE,FALSE,,
278,Copper,Copper,Copper,2765165-3,TRUE,FALSE,FALSE,,
279,Fiber,Fiber,Fiber,2765451-1,TRUE,FALSE,FALSE,,
280,Fiber,Fiber,Fiber,2766127-1,TRUE,FALSE,FALSE,,
281,Fiber,Fiber,Other / Uncategorized,2766188-1,TRUE,TRUE,FALSE,,
282,Fiber,Fiber,Fiber,2766208-1,TRUE,FALSE,FALSE,,
283,Fiber,Fiber,Other / Uncategorized,2766208-2,TRUE,TRUE,FALSE,,
286,Fiber,Fiber,Fiber,2767004-1,TRUE,FALSE,FALSE,,
287,Cable / DSL,Cable / DSL,Cable / DSL,2767016-1,TRUE,FALSE,FALSE,,
288,Fiber,Fiber,Fiber,2767022-1,TRUE,FALSE,FALSE,,
291,Fiber,Fiber,Fiber,2767701-1,TRUE,FALSE,FALSE,,
292,Fiber,Fiber,Fiber,2767701-2,TRUE,FALSE,FALSE,,
293,Fiber,Fiber,Fiber,2767701-3,TRUE,FALSE,FALSE,,
295,Fiber,Fiber,Other / Uncategorized,2767701-5,TRUE,TRUE,FALSE,,
296,Fiber,Fiber,Other / Uncategorized,2767701-6,TRUE,TRUE,FALSE,,
297,Fiber,Fiber,Fiber,2767793-1,TRUE,FALSE,FALSE,,
298,Fiber,Fiber,Fiber,2767938-1,TRUE,FALSE,FALSE,,
299,Fiber,Fiber,Fiber,2768011-1,TRUE,FALSE,FALSE,,
301,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2768294-1,TRUE,FALSE,FALSE,,
302,Cable / DSL,Cable / DSL,Cable / DSL,2768306-1,TRUE,FALSE,FALSE,,
303,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2768331-1,TRUE,FALSE,FALSE,,
304,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2768331-2,TRUE,FALSE,FALSE,,
305,Fiber,Fiber,Fiber,2768513-1,TRUE,FALSE,FALSE,,
307,Copper,Copper,Copper,2768629-1,TRUE,FALSE,FALSE,,
308,Cable / DSL,Cable / DSL,Cable / DSL,2768647-1,TRUE,FALSE,FALSE,,
309,Fiber,Fiber,Fiber,2768743-1,TRUE,FALSE,FALSE,,
310,Fiber,Fiber,Fiber,2768743-2,TRUE,FALSE,FALSE,,
311,Fiber,Fiber,Fiber,2768743-3,TRUE,FALSE,FALSE,,
312,Fiber,Fiber,Fiber,2768743-4,TRUE,FALSE,FALSE,,
313,Fiber,Fiber,Fiber,2768743-5,TRUE,FALSE,FALSE,,
314,Fiber,Fiber,Fiber,2769216-1,TRUE,FALSE,FALSE,,
315,Cable / DSL,Cable / DSL,Cable / DSL,2769383-1,TRUE,FALSE,FALSE,,
316,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2769437-1,TRUE,FALSE,FALSE,,
317,Fiber,Fiber,Fiber,2769483-1,TRUE,FALSE,FALSE,,
318,Cable / DSL,Cable / DSL,Cable / DSL,2769946-1,TRUE,FALSE,FALSE,,
319,Fiber,Fiber,Fiber,2770123-1,TRUE,FALSE,FALSE,,
320,Fiber,Fiber,Fiber,2770198-1,TRUE,FALSE,FALSE,,
321,Fiber,Fiber,Fiber,2770208-1,TRUE,FALSE,FALSE,,
322,Fiber,Fiber,Other / Uncategorized,2770294-1,TRUE,TRUE,FALSE,,
323,Fiber,Fiber,Other / Uncategorized,2770295-1,TRUE,TRUE,FALSE,,
324,Fiber,Fiber,Other / Uncategorized,2770296-1,TRUE,TRUE,FALSE,,
325,Fiber,Fiber,Other / Uncategorized,2770297-1,TRUE,TRUE,FALSE,,
326,Cable / DSL,Cable / DSL,Cable / DSL,2770556-1,TRUE,FALSE,FALSE,,
327,Fiber,Fiber,Fiber,2770586-1,TRUE,FALSE,FALSE,,
328,Fiber,Fiber,Fiber,2771002-1,TRUE,FALSE,FALSE,,
329,Fiber,Fiber,Fiber,2771159-1,TRUE,FALSE,FALSE,,
330,Fiber,Fiber,Fiber,2771349-1,TRUE,FALSE,FALSE,,
