bigram,count
"('service', 'frn')",42
"('program', 'procedures')",42
"('prior', 'expiration')",42
"('solution', 'based')",42
"('470', 'usac’s')",42
"('mr1', 'new')",42
"('date', 'posting')",42
"('nifs', 'eligible')",41
"('result', 'connection')",41
"('471', 'application')",41
"('information', 'questions')",41
"('“no”', '“yes”')",41
"('frn', 'since')",41
"('frn', 'connected')",41
"('modified', '“no”')",41
"('connection', 'information')",41
"('services', 'connected')",41
"('“yes”', 'frn')",41
"('nifs', 'result')",41
"('recipient', 'service')",41
"('questions', 'modified')",41
"('line', 'items')",41
"('documentation', 'mr3')",41
"('bidding', 'violation')",40
"('distance', 'service')",40
"('modified', 'accordance')",40
"('regarding', 'competitive')",40
"('rules', 'since')",40
"('applicants', 'retain')",40
"('retain', 'documentation')",40
"('changed', '7')",40
"('services', 'primary')",39
"('fy2017', 'fcc')",39
"('significant', 'information')",39
"('years', 'regarding')",39
"('year', 'fy2017')",39
"('special', 'construction')",39
"('applicants', 'select')",39
"('web', 'site')",39
"('winning', 'vendor')",39
"('items', 'modified')",39
"('ten', 'years')",39
"('documentation', 'ten')",39
"('mr1', 'recipients')",38
"('period', 'computed')",38
"('2016', '7')",38
"('service', 'signed')",38
"('usac’s', 'web')",38
"('evaluation', 'sheet')",38
"('computed', 'date')",38
"('service', '12')",38
"('associated', 'dark')",38
"('mr1', 'contract')",38
"('signed', 'entered')",38
"('expiration', 'required')",38
"('failed', 'demonstrated')",38
"('day', 'waiting')",38
"('site', 'violates')",38
"('selection', 'vendor')",38
"('violates', 'program')",38
"('required', '28')",38
"('certification', 'filed')",38
"('2016', 'agree')",38
"('factor', 'since')",37
"('new', 'service')",37
"('special', 'compliance')",37
"('fiber', 'special')",37
"('place', 'fcc')",37
"('provide', 'bids')",36
"('parent', 'child')",36
"('less', 'expensive')",36
"('services', 'frn')",36
"('split', 'frn')",36
"('request', 'unable')",36
"('provided', 'selective')",36
"('process', 'application')",36
"('primary', 'bid')",36
"('frn', 'split')",36
"('bids', 'associated')",36
"('application', 'review')",36
"('review', 'asked')",36
"('associated', 'funding')",36
"('factor', 'selecting')",36
"('lines', 'agree')",35
"('bids', 'submitted')",35
"('included', 'bid')",35
"('471', 'mr2')",35
"('proposal', 'program')",35
"('provided', 'determine')",35
"('agreement', 'place')",35
"('leased', 'dark')",34
"('item', 'products')",34
"('frn', 'created')",34
"('entities', 'based')",34
"('ineligible', 'entities')",34
"('2016', 'application')",33
"('closed', 'school')",33
"('closed', 'entities')",33
"('required', 'fcc')",33
"('item', 'cellular')",33
"('1', 'line')",33
"('school', 'site')",33
"('contains', 'following')",33
"('2017', 'application')",33
"('04', 'per')",32
"('selection', 'process')",32
"('rules', 'closed')",32
"('unable', 'therefore')",32
"('effective', 'requested')",32
"('sheet', 'bid')",32
"('mr2', 'based')",32
"('substantially', 'different')",32
"('created', 'order')",32
"('frn', 'associated')",32
"('entities', 'removed')",32
"('eligible', 'funding')",32
"('14', '2016')",32
"('entities', 'eligible')",32
"('failed', 'select')",31
"('17010501', 'sobrato')",31
"('vendor', 'selected')",31
"('requests', 'network')",31
"('17012378', 'opportunity')",31
"('offered', 'frn')",31
"('center', 'oya')",31
"('opportunity', 'youth')",31
"('county', 'oya')",31
"('hub', 'oya')",31
"('17010500', 'washington')",31
"('17010499', 'hub')",31
"('17010498', 'south')",31
"('youth', 'center')",31
"('16042682', 'success')",31
"('option', 'offered')",31
"('determine', 'cost')",31
"('oya', '17010500')",31
"('bidders', 'respond')",31
"('leased', 'lit')",31
"('oya', '17012378')",31
"('oya', '17010501')",31
"('denied', 'frn')",31
"('removed', 'recipient')",31
"('13', '2016')",31
"('youth', 'academy')",31
"('16039828', 'closed')",31
"('terra', 'bella')",31
"('oya', '17010499')",31
"('bella', 'academy')",31
"('fiber', 'associated')",31
"('success', 'academy')",31
"('south', 'county')",31
"('entities', 'entity')",31
"('associated', 'denied')",31
