"","postal_cd","district_esh_id","pct_scalable"
"374","AZ",883353,0.833333333333333
"375","AZ",883365,0
"376","AZ",883369,1
"377","AZ",883371,1
"378","AZ",883378,1
"379","AZ",883380,1
"380","AZ",883382,1
"381","AZ",883384,1
"382","AZ",883386,0
"383","AZ",883392,1
"384","AZ",883398,0
"385","AZ",883401,1
"386","AZ",883403,1
"387","AZ",883407,1
"388","AZ",883409,1
"389","AZ",883411,0.5
"390","AZ",883417,0.5
"391","AZ",883419,1
"392","AZ",883420,1
"393","AZ",883424,0.5
"394","AZ",883426,1
"395","AZ",883430,1
"396","CA",881456,0
"397","CA",881501,1
"398","CA",881533,1
"399","CA",881542,1
"400","CA",881554,1
"401","CA",881574,1
"402","CA",881577,1
"403","CA",881591,0.916666666666667
"404","CA",881597,1
"405","CA",881605,1
"406","CA",881644,1
"407","CA",881663,1
"408","CA",881669,1
"409","CA",881701,1
"410","CA",881712,1
"411","CA",881735,1
"412","CA",881740,1
"413","CA",882117,1
"414","CA",882126,1
"415","CA",882471,0.888888888888889
"416","CA",882475,1
"417","CA",882518,1
"418","CA",882532,1
"419","CA",882537,1
"420","CA",882564,1
"421","CA",882583,1
"422","CA",882598,0
"423","CA",882635,1
"424","CA",882645,1
"425","CA",882656,0.5
"426","CA",882661,1
"427","CA",882667,1
"428","CA",882672,1
"429","CA",882717,1
"430","CA",882723,0.75
"431","CA",882749,1
"432","CA",882753,1
"433","CA",882758,1
"434","CA",882765,0
"435","CA",882782,1
"436","CA",882786,0.75
"437","CA",882805,0.909090909090909
"438","CA",882808,1
"439","CA",882820,1
"440","CA",882829,1
"441","CA",882845,1
"442","CA",882862,1
"443","CA",882866,1
"444","CA",882873,0
"445","CA",882879,1
"446","CA",882881,0.5
"447","CA",882883,0
"448","CA",882902,1
"449","CA",882924,1
"450","CA",882956,0
"451","CA",882964,0.5
"452","CA",882970,1
"453","CA",882985,1
"454","CA",882987,1
"455","CA",882995,0.857142857142857
"456","CA",882997,1
"457","CA",882999,0
"458","CA",883008,0.666666666666667
"459","CA",883019,1
"460","CA",883029,0
"461","CA",883036,1
"462","CA",883038,1
"463","CA",883042,1
"464","CA",883045,1
"465","CA",883046,1
"466","CA",883052,1
"467","CA",883054,1
"468","CA",883062,0.833333333333333
"469","CA",883064,1
"470","CA",883069,1
"471","CA",883071,1
"472","CA",883073,1
"473","CA",883075,0.6
"474","CA",883081,1
"475","CA",883083,0
"476","CA",883085,1
"477","CA",883087,1
"478","CA",883093,1
"479","CA",883106,1
"480","CA",883108,1
"481","CA",883113,1
"482","CA",883115,1
"483","CA",883119,1
"484","CA",883122,1
"485","CA",883124,0.75
"486","CA",883128,0.95
"487","CA",883130,1
"488","CA",883132,0
"489","CA",883136,1
"490","CA",883138,0
"491","CA",883145,1
"492","CA",883152,1
"493","CA",883154,0.962962962962963
"494","CA",883158,1
"495","CA",883161,1
"496","CA",883167,1
"497","CA",883171,1
"498","CA",883191,1
"499","CA",883197,1
"500","CA",883203,0.8
"501","CA",883219,1
"502","CA",883221,1
"503","CA",883223,1
"504","CA",883227,1
"505","CA",883229,1
"506","CA",883231,1
"507","CA",883237,1
"508","CA",883239,0.75
"509","CA",883243,1
"510","CA",883253,1
"511","CA",883264,1
"512","CA",883266,1
"513","CA",883268,1
"514","CA",883275,1
"515","CA",883279,1
"516","CA",883281,1
"517","CA",883283,1
"518","CA",883293,1
"519","CA",883295,1
"520","CA",883301,0.666666666666667
"521","CA",883311,1
"522","CA",883320,1
"523","CA",883322,0.857142857142857
"524","CA",883326,0
"525","CA",883332,0
"526","CA",883334,1
"527","CA",883346,1
"528","CA",883348,1
"529","CA",883350,1
"530","CA",883354,1
"531","CA",883362,1
"532","CA",883364,1
"533","CA",883366,1
"534","CA",883381,1
"535","CA",883387,1
"536","CA",883395,1
"537","CA",883402,1
"538","CA",883414,1
"539","CA",883418,1
"540","CA",883421,1
"541","CA",883425,1
"542","CA",883427,1
"543","CA",883429,1
"544","CA",883431,1
"545","CA",883434,1
"546","CA",883439,1
"547","CA",883452,1
"548","CA",883454,1
"549","CA",883467,1
"550","CA",883479,1
"551","CA",883493,1
"552","CA",883495,1
"553","CA",883498,1
"554","CA",883500,1
"555","CA",883512,1
"556","CA",883523,1
"557","CA",883527,0
"558","CA",883529,0.25
"559","CA",883533,0.2
"560","CA",883542,1
"561","CA",883544,0
"562","CA",883545,1
"563","CA",883547,1
"564","CA",883548,1
"565","CA",883549,1
"566","CA",883550,0.285714285714286
"567","CA",883552,0.5
"568","CA",883553,1
"569","CA",883554,1
"570","CA",883555,1
"571","CA",883557,1
"572","CA",883561,0
"573","CA",883569,1
"574","CA",883571,1
"575","CA",883573,1
"576","CA",883576,1
"577","CA",883585,1
"578","CA",883588,1
"579","CA",883591,1
"580","CA",883592,1
"581","CA",883594,1
"582","CA",883595,1
"583","CA",883600,1
"584","CA",883601,1
"585","CA",883602,0.75
"586","CA",883603,1
"587","CA",883613,1
"588","CA",883614,1
"589","CA",883617,1
"590","CA",883619,1
"591","CA",883622,1
"592","CA",883623,0.666666666666667
"593","CA",883626,1
"594","CA",883628,1
"595","CA",883632,1
"596","CA",883633,1
"597","CA",883634,1
"598","CA",883635,0
"599","CA",883640,1
"600","CA",883651,1
"601","CA",883653,0.5
"602","CA",883654,1
"603","CA",883655,1
"604","CA",883660,0
"605","CA",883661,1
"606","CA",883663,1
"607","CA",883664,1
"608","CA",883665,0
"609","CA",883668,1
"610","CA",883672,0.428571428571429
"611","CA",883674,1
"612","CA",883675,0.666666666666667
"613","CA",883679,1
"614","CA",883688,1
"615","CA",883689,1
"616","CA",883692,1
"617","CA",883693,1
"618","CA",883694,1
"619","CA",883695,1
"620","CA",883700,1
"621","CA",883706,1
"622","CA",883709,0.666666666666667
"623","CA",883710,1
"624","CA",883711,1
"625","CA",883719,1
"626","CA",883725,1
"627","CA",883728,1
"628","CA",883729,1
"629","CA",883733,1
"630","CA",883735,1
"631","CA",883738,1
"632","CA",883740,1
"633","CA",883744,1
"634","CA",883750,0.444444444444444
"635","CA",883752,1
"636","CA",883753,1
"637","CA",883756,1
"638","CA",883762,1
"639","CA",883763,1
"640","CA",883764,1
"641","CA",883765,1
"642","CA",883771,1
"643","CA",883772,1
"644","CA",883773,1
"645","CA",883775,1
"646","CA",883778,1
"647","CA",883785,1
"648","CA",883787,1
"649","CA",883788,1
"650","CA",883793,1
"651","CA",883794,1
"652","CA",883797,1
"653","CA",883798,1
"654","CA",883810,1
"655","CA",883819,1
"656","CA",883822,1
"657","CA",883828,0
"658","CA",883832,1
"659","CA",883833,0.75
"660","CA",883838,1
"661","CA",883839,1
"662","CA",883841,0
"663","CA",883843,1
"664","CA",883845,1
"665","CA",883847,1
"666","CA",883851,1
"667","CA",883855,0
"668","CA",883863,1
"669","CA",883866,1
"670","CA",883871,1
"671","CA",883873,1
"672","CA",883884,1
"673","CA",883888,1
"674","CA",883889,1
"675","CA",883890,1
"676","CA",883893,1
"677","CA",883896,1
"678","CA",883897,1
"679","CA",883899,1
"680","CA",883900,1
"681","CA",883902,1
"682","CA",883903,1
"683","CA",883904,1
"684","CA",883905,0.04
"685","CA",883906,1
"686","CA",883907,1
"687","CA",883908,1
"688","CA",883910,0.333333333333333
"689","CA",883919,1
"690","CA",883922,1
"691","CA",883924,1
"692","CA",883927,1
"693","CA",883931,1
"694","CA",883940,0
"695","CA",883944,1
"696","CA",883948,1
"697","CA",883949,0
"698","CA",883951,1
"699","CA",883955,1
"700","CA",883958,0.5
"701","CA",883960,1
"702","CA",883961,1
"703","CA",883963,0.8
"704","CA",883967,1
"705","CA",883968,1
"706","CA",883969,1
"707","CA",883972,1
"708","CA",883974,0.5
"709","CA",883976,1
"710","CA",883977,1
"711","CA",883983,1
"712","CA",883992,1
"713","CA",883998,1
"714","CA",884000,1
"715","CA",884003,1
"716","CA",884006,1
"717","CA",884010,1
"718","CA",884011,1
"719","CA",884014,1
"720","CA",884015,1
"721","CA",884018,1
"722","CA",884020,1
