recipient_id,recipient_name,postal_cd,line_item_id,consortium_shared,shared_service,quantity_of_lines_received_by_district,bandwidth_in_mbps,connect_type,connect_category,purpose,wan,line_item_district_monthly_cost,line_item_total_monthly_cost,cat.1_allocations_to_district,line_item_total_num_lines,line_item_total_cost,line_item_recurring_elig_cost,line_item_one-time_cost,orig_r_months_of_service,applicant_id,applicant_name,isp_conditions_met,internet_conditions_met,ia_conditions_met,wan_conditions_met,upstream_conditions_met,broadband,service_provider_name,exclude,open_flags,dqs_excluded,district_monthly_ia_cost_per_mbps,district_total_ia_rounded_to_nearest_mbps,ia_bandwidth_per_student,num_students,num_students_and_staff,num_schools,latitude,longitude,locale,district_size,exclude_from_analysis,consortium_member,recipient_districts,recipient_postal_cd,dirty_status,reporting_name
881433,ACTON-AGUA DULCE UNF,CA,342685,TRUE,Backbone,Shared Circuit,100000,Dark Fiber Service,Fiber,Transport,Y,1.226714646,4237.5,2,2,50850,2775,17550,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Wilshire Connection, LLC",TRUE,"funded, backbone, entities_to_lines, consortium_shared, cost_per_qty",FALSE,94.76666667,20,14.52,1377,1501,4,34.471778,-118.197162,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Wilshire Connection
881435,WARREN SCHOOL DISTRICT,AR,240982,FALSE,District-dedicated,2,1000,Lit Fiber Service,Fiber,Transport,Y,3666.666667,5500,2,3,66000,5500,0,12,881435,WARREN PUBLIC SCHOOL DIST 1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,AireArk Inc,FALSE,"funded, bundled_services",FALSE,,,Insufficient data,1063,1325,4,33.617593,-92.068742,Small Town,Small,TRUE,TRUE,n/a,n/a,exclude dirty,AireArk Inc
881439,LEEDS CITY,AL,329943,TRUE,Backbone,Shared Circuit,10000,Lit Fiber Service,Fiber,Transport,Y,10.33240715,4247.62,4,4,50971.44,4247.62,0,12,1005870,ALABAMA SUPERCOMPUTER AUTHORITY,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Computer Sciences Corporation,TRUE,"funded, previously_assumed_wan, backbone, consortium_shared_manual, entities_to_lines, likely_fiber, likely_wan_qty, consortium_shared",FALSE,5.635,400,225.23,1776,1889,3,33.54302,-86.541451,Suburban,Small,FALSE,TRUE,n/a,n/a,include clean,Computer Sciences
881443,BOAZ CITY,AL,129729,FALSE,District-dedicated,6,10000,Lit Fiber Service,Fiber,Transport,Y,5500,5500,6,6,66000,5500,0,12,881443,BOAZ CITY SCHOOL SYSTEM,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"CONTACT NETWORK, LLC",FALSE,funded,FALSE,5.045833333,480,224.93,2134,2286,5,34.21285,-86.161149,Small Town,Small,TRUE,TRUE,n/a,n/a,exclude dirty,"CONTACT NETWORK, LLC"
881443,BOAZ CITY,AL,129732,FALSE,District-dedicated,1,100,Switched Multimegabit Data Service,Other / Uncategorized,Internet,N,1800,1800,1,1,21600,1800,0,12,881443,BOAZ CITY SCHOOL SYSTEM,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"CONTACT NETWORK, LLC",TRUE,"funded, rare_conn_type",FALSE,5.045833333,480,224.93,2134,2286,5,34.21285,-86.161149,Small Town,Small,TRUE,TRUE,n/a,n/a,exclude dirty,"CONTACT NETWORK, LLC"
881443,BOAZ CITY,AL,329943,TRUE,Backbone,Shared Circuit,10000,Lit Fiber Service,Fiber,Transport,Y,12.41517841,4247.62,4,4,50971.44,4247.62,0,12,1005870,ALABAMA SUPERCOMPUTER AUTHORITY,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Computer Sciences Corporation,TRUE,"funded, previously_assumed_wan, backbone, consortium_shared_manual, entities_to_lines, likely_fiber, likely_wan_qty, consortium_shared",FALSE,5.045833333,480,224.93,2134,2286,5,34.21285,-86.161149,Small Town,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Computer Sciences
881443,BOAZ CITY,AL,330012,FALSE,District-dedicated,1,400,Lit Fiber Service,Fiber,Transport,N,2256.96,2256.96,1,1,27083.52,2256.96,0,12,1005870,ALABAMA SUPERCOMPUTER AUTHORITY,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Computer Sciences Corporation,FALSE,"funded, upstream_circuit, entities_to_lines, likely_fiber",FALSE,5.045833333,480,224.93,2134,2286,5,34.21285,-86.161149,Small Town,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Computer Sciences
881445,ROSS VALLEY ELEM,CA,83955,TRUE,Backbone,Shared Circuit,45,DS-3 (T-3),Copper,Transport,Y,12.91939399,27611.2,3,3,331334.4,27611.2,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,AT&T Corp.,TRUE,"funded, backbone, entities_to_lines, cost_per_qty, consortium_shared, likely_wan_qty",FALSE,2.3,250,112.31,2226,2424,5,37.981777,-122.562032,Suburban,Small,TRUE,TRUE,n/a,n/a,exclude dirty,AT&T
881445,ROSS VALLEY ELEM,CA,257279,TRUE,Backbone,Shared Circuit,1000,Lit Fiber Service,Fiber,Transport,Y,2.032894662,4344,1,1,52128,4344,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Time Warner Cable Information Services (California), LLC",TRUE,"funded, backbone, entities_to_lines, consortium_shared, likely_fiber",FALSE,2.3,250,112.31,2226,2424,5,37.981777,-122.562032,Suburban,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Time Warner Cable
881445,ROSS VALLEY ELEM,CA,257282,TRUE,Backbone,Shared Circuit,1000,Lit Fiber Service,Fiber,Transport,Y,1.978267638,4227.27,1,1,50727.24,4227.27,0,12,1031023,CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Time Warner Cable Information Services (California), LLC",TRUE,"funded, backbone, entities_to_lines, consortium_shared, likely_fiber",FALSE,2.3,250,112.31,2226,2424,5,37.981777,-122.562032,Suburban,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Time Warner Cable
