"postal_cd","district_size","percent","n_districts_size","n_districts","n_schools","n_students"
"MS","Large",3.97350993377483,6,151,1062,487501
"MS","Medium",45.0331125827815,68,151,1062,487501
"MS","Small",45.6953642384106,69,151,1062,487501
"MS","Tiny",4.63576158940397,7,151,1062,487501
"MS Clean","Mega",0.8,1,125,889,409427
"MS Clean","Large",4,5,125,889,409427
"MS Clean","Medium",45.6,57,125,889,409427
"MS Clean","Small",46.4,58,125,889,409427
"MS Clean","Tiny",3.2,4,125,889,409427
"MT","Large",0.970873786407767,3,309,822,141558
"MT","Medium",2.9126213592233,9,309,822,141558
"MT","Small",63.7540453074434,197,309,822,141558
"MT","Tiny",32.3624595469256,100,309,822,141558
"MT Clean","Large",1.4018691588785,3,214,696,136025
"MT Clean","Medium",3.73831775700935,8,214,696,136025
"MT Clean","Small",83.1775700934579,178,214,696,136025
"MT Clean","Tiny",11.6822429906542,25,214,696,136025
"NC","Mega",6.95652173913043,8,115,2475,1437568
"NC","Large",40,46,115,2475,1437568
"NC","Medium",36.5217391304348,42,115,2475,1437568
"NC","Small",16.5217391304348,19,115,2475,1437568
"NC Clean","Mega",7.3394495412844,8,109,2421,1415212
"NC Clean","Large",41.2844036697248,45,109,2421,1415212
"NC Clean","Medium",34.8623853211009,38,109,2421,1415212
"NC Clean","Small",16.5137614678899,18,109,2421,1415212
"ND","Large",2.82485875706215,5,177,481,99100
"ND","Medium",2.25988700564972,4,177,481,99100
"ND","Small",77.9661016949153,138,177,481,99100
"ND","Tiny",16.9491525423729,30,177,481,99100
"ND Clean","Small",89.6907216494845,87,97,203,25716
"ND Clean","Tiny",10.3092783505155,10,97,203,25716
"NE","Mega",0.803212851405622,2,249,1010,289405
"NE","Large",1.60642570281124,4,249,1010,289405
"NE","Medium",8.83534136546185,22,249,1010,289405
"NE","Small",88.7550200803213,221,249,1010,289405
"NE Clean","Mega",0.699300699300699,1,143,544,144802
"NE Clean","Large",1.3986013986014,2,143,544,144802
"NE Clean","Medium",11.1888111888112,16,143,544,144802
