BE Name,esh_id,c1_discount_rate_max,c1_discount_rate_min,num_schools
ALLENTOWN SCHOOL DISTRICT,953606,90,90,22
ALLIANCE CITY SCHOOL DISTRICT,949560,90,90,6
ALLIANCE PUBLIC SCHOOL DIST,936017,80,80,4
ALLOWAY TWP SCHOOL DISTRICT,941059,50,50,1
ALMA AREA SCHOOL DISTRICT,983713,60,60,2
ALMA CENTER-HUMBIRD MERRILLAN SD,983714,80,80,3
ALMA PUBLIC SCHOOL DIST 30,881862,80,80,4
ALMA PUBLIC SCHOOL DISTRICT,935937,80,70,2
ALMA SCHOOL DISTRICT,881862,80,80,4
ALMIRA SCHOOL DISTRICT,982947,70,70,1
ALMOND-BANCROFT SCHOOL DIST,983715,80,80,3
ALMONT COMMUNITY SCHOOL DIST,919487,60,60,3
ALPAUGH UNIFIED SCHOOL DIST,882551,90,90,4
ALPENA PUBLIC SCHOOL DISTRICT,919488,80,70,9
ALPENA SCHOOL DISTRICT,881867,80,80,2
ALPHA SCHOOL DISTRICT,941060,60,60,1
ALPINE COUNTY UNIFIED SCHOOL,882555,80,80,2
ALPINE INDEP SCHOOL DISTRICT,968980,80,80,3
ALPINE SCHOOL DISTRICT,972094,50,20,82
ALPINE SCHOOL DISTRICT 7,882803,80,80,1
ALPINE UNION ELEM SCHOOL DIST,882560,50,50,7
ALSEA SCHOOL DISTRICT 7 J,952139,90,80,2
ALSIP-HAZELGRN-OAKLAWN S D 126,900889,80,80,4
ALTA COMMUNITY SCHOOL DISTRICT,894164,70,70,2
ALTA-DUTCH FLAT UN ELEM DIST,882589,70,70,2
ALTA LOMA SCHOOL DISTRICT,882564,50,50,10
ALTAMONT SCHOOL DISTRICT 10,900890,80,80,2
ALTAR VALLEY SCHOOL DIST 51,883212,90,90,2
ALTA VISTA ELEM SCHOOL DIST,882583,90,90,1
ALTA VISTA SOUTH PUBLIC CHARTER SCHOOL,882583,90,90,1
ALTMAR-PARISH-WILLIAMSTN DIST,946194,80,80,5
ALTO INDEP SCHOOL DISTRICT,968981,80,70,3
ALTON COMM UNIT SCHOOL DIST 11,900891,80,80,10
ALTON R-IV SCHOOL DISTRICT,924073,80,80,2
ALTON SCHOOL DISTRICT,937476,60,60,1
ALTOONA AREA SCHOOL DISTRICT,953608,80,80,13
ALTOONA-MIDWAY UNIF SCH DIST 387,903436,80,80,2
ALTOONA SCHOOL DISTRICT,983716,60,60,4
ALTUS INDEP SCHOOL DISTRICT 18,951079,80,80,8
ALUM ROCK UNION ELEM SCH DIST,882594,90,90,27
ALVA INDEP SCHOOL DISTRICT 1,951081,80,80,5
ALVARADO INDEP SCHOOL DISTRICT,968682,80,80,9
ALVIN INDEP SCHOOL DISTRICT,968982,60,60,24
ALVORD INDEP SCHOOL DISTRICT,968983,60,60,3
ALVORD UNIFIED SCHOOL DISTRICT,882621,80,80,23
ALWOOD SCHOOL DISTRICT 225,900892,60,60,2
AMADOR COUNTY UNIF SCHOOL DIST,882626,70,70,12
AMAGANSETT UNION FREE SCH DIST,946196,20,20,1
AMANDA-CLEARCREEK SCHOOL DIST,949912,70,70,4
AMARILLO INDEP SCHOOL DISTRICT,968984,90,80,54
AMBASSADOR PHILLIP V SANCHEZ PUBLIC CHARTER,883825,90,90,1
AMBER-POCASSET SCHOOL DIST 128,951083,70,70,3
AMBOY COMM UNIT SCH DIST 272,900893,70,70,3
AMBRIDGE AREA SCHOOL DISTRICT,953611,60,60,5
AMELIA COUNTY SCHOOL DISTRICT,975487,80,70,3
AMERICAN FALLS JOINT DIST 381,895366,80,80,5
AMERY SCHOOL DISTRICT,983718,70,70,4
AMESBURY SCHOOL DISTRICT,911006,50,50,4
AMES COMM SCHOOL DISTRICT,894165,50,50,8
AMHERST CENTRAL SCHOOL DIST,946197,60,60,4
AMHERST COUNTY PUBLIC SCHOOL DIVISION,975488,80,70,10
AMHERST EXEMPT VLG SCHOOL DIST,949749,50,50,6
AMHERST INDEP SCHOOL DISTRICT,968985,90,90,2
Amherst-Pelham Regional School District Consortium,911008,50,50,2
AMHERST PUBLIC SCHOOL DISTRICT,935930,60,60,2
AMITE COUNTY SCHOOL DISTRICT,926552,90,90,3
AMITY SCHOOL DISTRICT 4 J,952141,80,80,3
AMITYVILLE UN FREE SCHOOL DIST,946198,90,80,5
AMORY SCHOOL DISTRICT,926553,80,80,5
AMPHITHEATER UNIF SCH DIST 10,882846,60,60,22
AMSTERDAM CITY SCHOOL DISTRICT,946199,90,90,6
AMSTERDAM ELEMENTARY DIST 75,928766,60,60,1
ANACONDA SCHOOL DISTRICT 10,928768,80,80,4
ANACORTES SCHOOL DISTRICT 103,982948,60,60,7
ANADARKO SCHOOL DISTRICT I 20,951084,90,90,5
ANAHEIM CITY SCHOOL DISTRICT,882631,90,90,25
ANAHEIM UNION HIGH SCHOOL DIST,882635,80,80,21
ANAHUAC INDEP SCHOOL DISTRICT,968986,80,80,5
ANAMOOSE SCHOOL DISTRICT 14,933634,70,70,1
ANAMOSA COMMUNITY SCHOOL DIST,894166,70,70,3
ANCHORAGE INDEPENDENT,904370,20,20,1
ANCHORAGE SCHOOL DISTRICT,882642,60,60,90
ANCHOR BAY SCHOOL DISTRICT,919489,50,50,11
ANDALUSIA CITY SCHOOL DISTRICT,881573,80,70,3
ANDERSON COMM SCHOOL CORP,901949,90,90,13
ANDERSON COUNTY SCHOOL DIST,967051,80,70,18
ANDERSON COUNTY SCHOOL DIST 1,962222,60,60,14
ANDERSON COUNTY SCHOOL DIST 2,962223,80,80,7
ANDERSON COUNTY SCHOOL DIST 3,962224,80,80,5
ANDERSON COUNTY SCHOOL DIST 4,962225,80,80,6
ANDERSON COUNTY SCHOOL DIST 5,962226,80,80,19
ANDERSON ELEMENTARY DIST 41,928769,50,50,2
ANDERSON SCHOOL DISTRICT 52,951087,80,80,1
ANDERSON-SHIRO CONS SCH DIST,968988,70,70,2
ANDERSON UNION HIGH SCH DIST,882645,80,80,6
ANDERSON VALLEY UNIF SCH DIST,882650,90,90,3
ANDES CENTRAL SCHOOL DISTRICT,946200,80,80,1
ANDES CENTRAL SCHOOL DISTRICT 11  1,965939,90,90,4
ANDOVER CENTRAL SCH DISTRICT,946201,80,80,1
ANDOVER PUBLIC SCHOOL DISTRICT,911009,50,40,10
ANDOVER REGIONAL SCHOOL DIST,941062,50,50,2
ANDOVER UNIF SCH DISTRICT 385,903414,40,40,11
ANDREW COMMUNITY SCHOOL DIST,894168,70,70,2
ANDREWS INDEP SCHOOL DISTRICT,968989,70,50,6
ANGLETON INDEP SCHOOL DISTRICT,968991,80,80,12
ANIMAS PUBLIC SCHOOL DISTRICT 30,942811,80,80,3
ANKENY COMMUNITY SCHOOL DIST,894169,40,40,13
ANNA COMM CONS SCH DISTRICT 37,900894,80,80,3
ANNA INDEP SCHOOL DISTRICT,968992,70,70,7
ANNA LOCAL SCHOOL DISTRICT,950368,50,50,3
ANNANDALE PUBLIC SCHOOLS,922512,60,50,3
ANN ARBOR PUBLIC SCHOOL DIST,919490,50,50,32
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,915444,50,50,119
ANNETTE ISLAND SCHOOL DISTRICT,882721,90,90,3
