esh_id,id,MEMBER,TOTET
909707,38558,408,408
909720,38841,408,408
909731,38977,408,408
909718,38785,407,407
909770,39738,407,407
909761,39604,406,406
909740,39236,406,406
909711,38590,406,406
909720,38826,405,405
909745,39321,405,405
909749,39394,402,402
909713,38695,400,400
909746,39362,400,400
909746,39368,400,400
909731,39014,400,400
909629,38361,400,400
909712,38650,400,400
909760,39558,399,399
909725,38911,398,398
909629,38337,398,398
909746,39336,397,397
909759,39505,397,397
909656,38476,397,397
909740,39234,395,395
909713,38700,395,395
909712,38623,395,395
909728,38955,394,394
909629,38356,393,393
909757,39453,393,393
909720,38808,393,393
909748,39381,392,392
909735,39143,392,392
909722,38886,392,392
909720,38866,391,391
909720,38856,391,391
909726,38940,391,391
909707,38563,391,391
909744,39317,390,390
909737,39170,389,389
909719,38792,389,389
909684,38535,389,389
909743,39288,388,388
909713,38714,388,388
909712,38653,387,387
909731,38982,386,386
909766,39689,386,386
909656,38472,385,385
909724,38902,385,385
909719,38791,385,385
909758,39487,385,385
909735,39138,385,385
909758,39495,384,384
909736,39156,383,383
909757,39461,383,383
909731,39000,383,383
909774,39756,383,383
909723,38890,382,382
909751,39419,382,382
909750,39405,382,382
909733,39090,381,381
909713,38702,381,381
909731,38997,380,380
909767,39713,380,380
909722,38883,380,380
909740,39231,380,380
909713,38729,379,379
909636,38376,379,379
909635,38368,379,379
909711,38593,379,379
909734,39117,378,378
909740,39235,378,378
909742,39255,378,378
909733,39077,378,378
909774,39755,377,377
909737,39201,377,377
909769,39716,376,376
909726,38922,376,376
909757,39458,375,375
909713,38739,375,375
909737,39172,375,375
909734,39113,374,374
909743,39291,374,374
909746,39340,373,373
909766,39687,372,372
909726,38935,372,372
909756,39441,371,371
909655,38463,371,371
909746,39343,370,370
909743,39282,370,370
909713,38722,370,370
909655,38458,370,370
909736,39152,370,370
909713,38707,369,369
909709,38585,369,369
909746,39355,368,368
909763,39639,368,368
909737,39195,368,368
909771,39744,367,367
909746,39346,367,367
909655,38452,366,366
909720,38838,364,364
909720,38804,364,364
909723,38897,363,363
909713,38706,363,363
909731,38980,363,363
909757,39476,363,363
909746,39354,363,363
909658,38495,362,362
909716,38763,362,362
909708,38578,362,362
909717,38771,360,360
909723,38896,360,360
909739,39214,360,360
909731,39004,358,358
909769,39723,358,358
909713,38710,358,358
909726,38938,358,358
909718,38779,357,357
909714,38750,356,356
909744,39313,356,356
909723,38892,355,355
909731,39048,353,353
909655,38459,353,353
909745,39319,353,353
909734,39111,353,353
909635,38370,353,353
909712,38632,351,351
909763,39630,351,351
909731,39058,351,351
909629,38357,351,351
909757,39475,350,350
909757,39464,350,350
909731,39057,350,350
909743,39293,348,348
909720,38814,346,346
909746,39366,346,346
909713,38743,345,345
909761,39593,344,344
909764,39661,343,343
909766,39690,343,343
909767,39714,342,342
909761,39609,342,342
909757,39482,342,342
909731,39041,342,342
909707,38564,341,341
909757,39459,341,341
909774,39753,341,341
909761,39591,341,341
909757,39483,340,340
909746,39338,339,339
909734,39121,339,339
909718,38777,339,339
909658,38494,337,337
909743,39295,337,337
909629,38344,336,336
909757,39460,335,335
909734,39122,335,335
909713,38701,335,335
909765,39670,334,334
909746,39358,333,333
909734,39124,333,333
909754,39438,333,333
909771,39741,332,332
909713,38697,331,331
909760,39539,330,330
909760,39556,329,329
909720,38803,329,329
909757,39455,329,329
909734,39106,328,328
909731,39053,328,328
909713,38747,328,328
909749,39398,328,328
909734,39108,325,325
909747,39374,325,325
909739,39212,324,324
909720,38822,323,323
909757,39467,323,323
909655,38455,323,323
909751,39416,323,323
909746,39360,322,322
909735,39137,322,322
909708,38574,321,321
909734,39119,319,319
909766,39698,319,319
909763,39654,319,319
909712,38624,319,319
909735,39140,318,318
909713,38727,317,317
909740,39232,317,317
909749,39390,317,317
909714,38753,316,316
909716,38762,316,316
909741,39253,316,316
909720,38850,316,316
909734,39114,316,316
909760,39541,314,314
909743,39309,314,314
909754,39437,314,314
909736,39145,313,313
909731,39031,313,313
909726,38934,312,312
909708,38571,311,311
909712,38648,311,311
909731,39009,311,311
909743,39298,310,310
909713,38699,309,309
909739,39208,308,308
909712,38666,307,307
909724,38903,307,307
909720,38823,307,307
909737,39181,307,307
909749,39393,306,306
909655,38460,306,306
909756,39447,305,305
909722,38885,305,305
909729,38968,305,305
909720,38846,305,305
909726,38924,305,305
909741,39242,304,304
909774,39752,304,304
909658,38493,304,304
909713,38692,304,304
909712,38678,304,304
909759,39515,303,303
909721,38881,302,302
909746,39350,302,302
909731,39026,301,301
909629,38358,301,301
909727,38948,301,301
909716,38767,301,301
909759,39524,300,300
909740,39227,300,300
909655,38461,299,299
909629,38360,299,299
909713,38718,299,299
909770,39735,298,298
909751,39421,298,298
909734,39132,298,298
909720,38839,297,297
909658,38498,297,297
909718,38776,297,297
909636,38379,297,297
909658,38496,296,296
909655,38457,295,295
909741,39244,295,295
909757,39456,294,294
909713,38748,293,293
909749,39396,293,293
909709,38582,293,293
909719,38788,292,292
909712,38677,291,291
909725,38910,291,291
909769,39715,290,290
909736,39151,290,290
909739,39225,289,289
909741,39238,288,288
909746,39353,287,287
909720,38868,287,287
909717,38775,287,287
909709,38586,287,287
909713,38698,287,287
909720,38871,287,287
909737,39178,287,287
909746,39345,286,286
909741,39251,286,286
909709,38584,283,283
909765,39683,282,282
909722,38884,282,282
909629,38352,281,281
909733,39084,281,281
909728,38954,281,281
909629,38359,281,281
909767,39705,281,281
909747,39376,280,280
909759,39512,280,280
909713,38704,279,279
909734,39109,279,279
909748,39379,279,279
909731,39037,277,277
909760,39540,277,277
909763,39637,275,275
909751,39411,275,275
909720,38873,274,274
909743,39286,274,274
909740,39233,274,274
909716,38759,271,271
909740,39228,271,271
909713,38733,270,270
909765,39677,270,270
909743,39279,270,270
909751,39424,269,269
909757,39471,268,268
909748,39380,268,268
