school_esh_id,campus_id
884819,campus_11021
884820,campus_11022
884821,campus_11023
884822,campus_12625
884823,campus_10593
884824,campus_389
884825,campus_11024
884826,campus_11025
884827,campus_389
884828,campus_23564
884829,campus_23565
884832,campus_23566
884833,campus_22505
884834,campus_21625
884835,campus_21626
884836,campus_13275
884837,campus_48
884838,campus_12626
884839,campus_10594
884840,campus_10595
884841,campus_10596
884842,campus_11026
884843,campus_1547
884844,campus_22506
884845,campus_21627
884846,campus_13276
884847,campus_9347
884848,campus_12627
884849,campus_10597
884850,campus_11027
884851,campus_23567
884852,campus_1547
884853,campus_23568
884854,campus_23569
884856,campus_1548
884857,campus_21628
884859,campus_1548
884860,campus_22507
884862,campus_22508
884863,campus_22509
884864,campus_22510
884865,campus_514
884866,campus_9348
884867,campus_12628
884868,campus_10598
884869,campus_11028
884870,campus_11029
884872,campus_11030
884873,campus_11031
884874,campus_21629
884877,campus_22511
884878,campus_9349
884879,campus_13277
884880,campus_204
884881,campus_10599
884882,campus_11032
884883,campus_11033
884884,campus_11034
884885,campus_11035
884886,campus_21630
884887,campus_23570
884888,campus_22512
884889,campus_9350
884890,campus_13278
884891,campus_12629
884892,campus_10600
884893,campus_11036
884895,campus_21631
884896,campus_11037
884898,campus_1549
884900,campus_9351
884901,campus_22513
884902,campus_13279
884903,campus_204
884904,campus_10601
884905,campus_10602
884906,campus_10603
884907,campus_10604
884908,campus_21632
884909,campus_1549
884910,campus_23571
884911,campus_23572
884912,campus_11038
884913,campus_23573
884914,campus_23574
884915,campus_23575
884916,campus_22514
884917,campus_1553
884918,campus_52
884919,campus_1553
884920,campus_1553
884921,campus_22515
884922,campus_23576
884924,campus_8803
884925,campus_22516
884927,campus_23577
884928,campus_1554
884929,campus_22518
884930,campus_1554
884931,campus_23578
884933,campus_23579
884934,campus_515
884935,campus_205
884936,campus_10605
884937,campus_21633
884938,campus_11039
884939,campus_9352
884940,campus_22519
884941,campus_23580
884942,campus_13280
884943,campus_205
884945,campus_1396
884946,campus_11040
884947,campus_9353
884948,campus_22520
884949,campus_23581
884952,campus_13281
884953,campus_12630
884956,campus_10606
884958,campus_9354
884959,campus_11041
884960,campus_22521
884961,campus_23582
884962,campus_514
884963,campus_12631
884964,campus_12632
884966,campus_12633
884967,campus_10607
884968,campus_21634
884969,campus_9355
884970,campus_11042
884971,campus_22522
884972,campus_23583
884973,campus_13282
884974,campus_12634
884975,campus_10608
884976,campus_10609
884977,campus_21635
884978,campus_9356
884979,campus_11043
884980,campus_11044
884981,campus_11045
884984,campus_22523
884986,campus_23584
884987,campus_515
884988,campus_12635
884989,campus_10610
884990,campus_10611
884991,campus_21636
884992,campus_9357
884993,campus_11046
884994,campus_22524
884996,campus_1555
884998,campus_13283
884999,campus_12636
885000,campus_10612
885001,campus_21637
885002,campus_11047
885003,campus_22525
885004,campus_11048
885005,campus_11049
885006,campus_11050
885007,campus_23585
885008,campus_11051
885009,campus_11052
885010,campus_11053
885011,campus_11054
885012,campus_11055
885013,campus_11056
885015,campus_13284
885016,campus_12637
885017,campus_390
885020,campus_390
885022,campus_79917
885023,campus_11057
885024,campus_11058
885025,campus_1396
885026,campus_11059
885027,campus_11060
885028,campus_11061
885029,campus_11062
885030,campus_11063
885031,campus_8703
885032,campus_11064
885033,campus_391
885034,campus_22526
885035,campus_391
885036,campus_11065
885037,campus_23586
885038,campus_11066
885039,campus_392
885040,campus_392
885042,campus_11067
885043,campus_13285
885044,campus_12638
885045,campus_11068
885046,campus_21638
885047,campus_9358
885048,campus_1495
885049,campus_1495
885051,campus_22527
885052,campus_23587
885053,campus_22528
885054,campus_22529
885055,campus_13286
885056,campus_11069
885057,campus_12639
885059,campus_11070
885060,campus_11071
885061,campus_11072
885062,campus_11073
885063,campus_79942
885065,campus_11075
885066,campus_21639
885067,campus_11076
885071,campus_9359
885074,campus_52
885080,campus_22530
885081,campus_23588
885087,campus_11077
885088,campus_11078
885089,campus_516
885090,campus_11079
885091,campus_12640
885092,campus_8704
885093,campus_393
885094,campus_393
885095,campus_11080
885096,campus_10613
885097,campus_11081
885098,campus_21640
885100,campus_11082
885101,campus_9360
885102,campus_22531
885103,campus_23589
885104,campus_8698
885105,campus_13287
885106,campus_10614
885107,campus_21641
885108,campus_11083
885109,campus_9361
885110,campus_22532
885111,campus_22533
885112,campus_23590
885113,campus_22534
885114,campus_22535
885115,campus_22536
885117,campus_22537
885118,campus_517
885119,campus_8698
885120,campus_206
885121,campus_10615
885122,campus_21642
885123,campus_11084
885124,campus_11085
885125,campus_9362
885126,campus_23591
885128,campus_22538
885129,campus_206
885130,campus_13288
885131,campus_10616
885132,campus_21643
885133,campus_9363
885134,campus_23592
885135,campus_22539
885136,campus_207
885137,campus_517
885138,campus_10617
885139,campus_21644
885140,campus_11086
885141,campus_9364
885142,campus_23593
885143,campus_22540
885144,campus_207
885145,campus_12641
885146,campus_13289
885147,campus_10618
885148,campus_21645
885149,campus_11087
885150,campus_11088
885151,campus_9365
885152,campus_394
885153,campus_394
885154,campus_11089
885155,campus_11090
