"esh_id","use_case_name"
884258,"'Monthly Cost per Mbps'"
884261,"'Cost Per Circuit'"
884265,"'Change in Total BW','% Change in Monthly Cost','Monthly Cost per Mbps','% Change in BW'"
884273,"'% Change in Monthly Cost'"
884281,"'Monthly Cost per Mbps'"
884284,"'% Change in Monthly Cost'"
884297,"'Change in Total BW','Change in Total BW','% Change in BW','BW per Student','BW per Student'"
884307,"'% Change in BW','Change in Total BW'"
884309,"'% Change in Monthly Cost'"
884310,"'Change in Total BW','Change in Total BW','% Change in BW','Monthly Cost per Mbps'"
884318,"'Change in Total BW','% Change in BW'"
884319,"'% Change in BW','Change in Total BW'"
884322,"'% Change in BW','Monthly Cost per Mbps'"
884323,"'Cost Per Circuit'"
884324,"'Monthly Cost per Mbps','% Change in Monthly Cost','Change in Total BW','Change in Total BW','% Change in BW'"
884332,"'Cost Per Circuit','Cost Per Circuit'"
884333,"'Cost Per Circuit'"
884339,"'% Change in BW','Change in Total BW'"
884346,"'Change in Total BW','% Change in BW'"
884351,"'Monthly Cost per Mbps'"
886854,"'% Change in Monthly Cost'"
886862,"'Change in Total BW'"
888977,"'Monthly Cost per Mbps'"
888980,"'Cost Per Circuit'"
888982,"'Cost Per Circuit'"
888992,"'% Change in Monthly Cost'"
889002,"'BW per Student'"
889003,"'BW per Student'"
889015,"'BW per Student'"
889020,"'Change in Total Monthly Cost','BW per Student'"
889021,"'BW per Student'"
889027,"'Cost Per Circuit','Cost Per Circuit'"
889033,"'BW per Student'"
889047,"'BW per Student'"
889835,"'% Change in BW','Change in Total Monthly Cost','% Change in Monthly Cost','BW per Student','BW per Student','% Change in BW','Change in Total BW','Change in Total BW'"
889839,"'Change in Total Monthly Cost','Monthly Cost per Mbps'"
889860,"'Change in Total BW','% Change in BW'"
889865,"'% Change in Monthly Cost'"
889872,"'% Change in BW','Change in Total BW','BW per Student','Change in Total BW'"
889873,"'% Change in BW','BW per Student','Change in Total BW'"
889874,"'% Change in Monthly Cost','Change in Total Monthly Cost'"
889885,"'BW per Student'"
889887,"'BW per Student'"
889903,"'Change in Total Monthly Cost','% Change in BW','BW per Student','% Change in Monthly Cost','Change in Total BW'"
889917,"'% Change in BW','Change in Total BW'"
889918,"'Cost Per Circuit'"
889928,"'Change in Total BW','% Change in BW','Change in Total Monthly Cost','BW per Student','% Change in Monthly Cost'"
889935,"'% Change in Monthly Cost','Change in Total Monthly Cost','Monthly Cost per Mbps','% Change in Monthly Cost'"
889954,"'% Change in Monthly Cost'"
889960,"'Change in Total BW'"
889970,"'Change in Total BW','Change in Total Monthly Cost'"
889974,"'Change in Total Monthly Cost'"
889975,"'Cost Per Circuit'"
890003,"'Monthly Cost per Mbps'"
890007,"'Monthly Cost per Mbps'"
890009,"'% Change in Monthly Cost','% Change in BW','Change in Total BW'"
890019,"'Change in Total BW','BW per Student'"
890026,"'BW per Student'"
894165,"'Cost Per Circuit'"
894360,"'Cost Per Circuit'"
894386,"'BW per Student'"
895366,"'BW per Student'"
895368,"'Change in Total Monthly Cost'"
895369,"'Cost Per Circuit'"
895419,"'Monthly Cost per Mbps'"
895433,"'Change in Total BW','% Change in BW'"
895449,"'Monthly Cost per Mbps'"
895457,"'Monthly Cost per Mbps'"
895469,"'BW per Student'"
895474,"'% Change in Monthly Cost','Monthly Cost per Mbps','% Change in Monthly Cost','Change in Total Monthly Cost','Cost Per Circuit'"
895477,"'% Change in Monthly Cost'"
895482,"'Monthly Cost per Mbps','% Change in Monthly Cost','Change in Total Monthly Cost'"
895486,"'Change in Total BW','% Change in BW','BW per Student'"
895492,"'Change in Total Monthly Cost','BW per Student'"
895496,"'BW per Student'"
900862,"'% Change in Monthly Cost'"
900872,"'Cost Per Circuit'"
900883,"'Cost Per Circuit'"
900891,"'Cost Per Circuit','Cost Per Circuit'"
900914,"'% Change in BW','BW per Student'"
900920,"'Cost Per Circuit'"
900925,"'Cost Per Circuit'"
900927,"'Cost Per Circuit'"
900931,"'Monthly Cost per Mbps'"
900933,"'% Change in BW','BW per Student'"
900938,"'Cost Per Circuit'"
900940,"'Cost Per Circuit'"
900960,"'Cost Per Circuit'"
900962,"'Cost Per Circuit'"
900965,"'Cost Per Circuit'"
900976,"'Cost Per Circuit'"
900992,"'BW per Student'"
901038,"'Cost Per Circuit'"
901054,"'BW per Student'"
901068,"'Cost Per Circuit'"
901079,"'Cost Per Circuit'"
901096,"'BW per Student'"
901116,"'Cost Per Circuit'"
901121,"'Cost Per Circuit','Cost Per Circuit'"
901140,"'% Change in Monthly Cost','Change in Total BW'"
901151,"'Cost Per Circuit'"
901181,"'Monthly Cost per Mbps'"
901185,"'Cost Per Circuit'"
901186,"'Cost Per Circuit'"
901227,"'Cost Per Circuit'"
901238,"'% Change in Monthly Cost'"
901281,"'Cost Per Circuit'"
901296,"'Cost Per Circuit'"
901339,"'Cost Per Circuit'"
901392,"'Cost Per Circuit'"
901394,"'Cost Per Circuit'"
901457,"'Change in Total BW'"
901479,"'Cost Per Circuit'"
901488,"'Cost Per Circuit'"
901490,"'Monthly Cost per Mbps'"
901503,"'Cost Per Circuit'"
901520,"'Cost Per Circuit'"
901560,"'Cost Per Circuit','Cost Per Circuit'"
901603,"'Cost Per Circuit'"
901637,"'Cost Per Circuit'"
901770,"'Cost Per Circuit'"
901842,"'Cost Per Circuit'"
901907,"'Cost Per Circuit'"
901936,"'BW per Student'"
901956,"'Cost Per Circuit'"
902000,"'Cost Per Circuit'"
902039,"'Cost Per Circuit','Cost Per Circuit'"
902054,"'Change in Total Monthly Cost','% Change in BW'"
902059,"'% Change in BW','BW per Student','Change in Total BW'"
902117,"'Change in Total BW'"
902122,"'Change in Total BW','BW per Student'"
902127,"'% Change in BW'"
902137,"'BW per Student'"
902142,"'BW per Student'"
902162,"'Cost Per Circuit'"
902172,"'Change in Total BW'"
902183,"'BW per Student'"
902187,"'BW per Student'"
902221,"'Cost Per Circuit'"
902266,"'BW per Student'"
903413,"'BW per Student'"
903417,"'% Change in BW','BW per Student','Change in Total BW'"
903437,"'Change in Total BW'"
903450,"'Monthly Cost per Mbps'"
903478,"'% Change in Monthly Cost'"
903482,"'BW per Student'"
903495,"'Cost Per Circuit'"
903532,"'Cost Per Circuit'"
903561,"'BW per Student','Change in Total BW'"
903657,"'Change in Total BW'"
904404,"'Cost Per Circuit'"
904410,"'Cost Per Circuit'"
904422,"'Cost Per Circuit'"
904440,"'Cost Per Circuit'"
904454,"'Cost Per Circuit'"
904471,"'Cost Per Circuit'"
904473,"'Cost Per Circuit'"
904487,"'Cost Per Circuit'"
904499,"'Cost Per Circuit'"
904507,"'Cost Per Circuit'"
904547,"'Cost Per Circuit'"
909712,"'Cost Per Circuit'"
909716,"'Monthly Cost per Mbps'"
909722,"'Cost Per Circuit','Cost Per Circuit'"
909735,"'Change in Total Monthly Cost'"
909747,"'Cost Per Circuit'"
909762,"'BW per Student'"
909774,"'Monthly Cost per Mbps'"
911092,"'BW per Student'"
911113,"'BW per Student'"
911120,"'BW per Student'"
911153,"'BW per Student','% Change in BW','Change in Total BW'"
911186,"'Cost Per Circuit'"
911207,"'Change in Total BW'"
911224,"'BW per Student'"
911228,"'BW per Student'"
911232,"'Cost Per Circuit'"
911252,"'BW per Student'"
911258,"'BW per Student'"
911259,"'Change in Total BW'"
911264,"'Change in Total BW'"
919145,"'Monthly Cost per Mbps','Change in Total Monthly Cost'"
919482,"'Monthly Cost per Mbps'"
919496,"'BW per Student'"
919508,"'Monthly Cost per Mbps'"
919516,"'BW per Student'"
919521,"'BW per Student'"
919522,"'BW per Student'"
919547,"'% Change in Monthly Cost'"
919554,"'Change in Total Monthly Cost','Monthly Cost per Mbps','% Change in Monthly Cost'"
919684,"'% Change in Monthly Cost','Change in Total BW'"
919687,"'BW per Student'"
919689,"'% Change in Monthly Cost'"
919720,"'% Change in Monthly Cost'"
919724,"'% Change in Monthly Cost'"
919752,"'BW per Student'"
919754,"'Change in Total Monthly Cost','Monthly Cost per Mbps'"
919799,"'% Change in Monthly Cost','Cost Per Circuit'"
919877,"'% Change in Monthly Cost'"
919924,"'Cost Per Circuit'"
919957,"'Monthly Cost per Mbps'"
919975,"'% Change in Monthly Cost'"
919978,"'% Change in Monthly Cost'"
919984,"'Change in Total Monthly Cost'"
920037,"'BW per Student'"
920043,"'BW per Student'"
920052,"'BW per Student'"
920055,"'% Change in Monthly Cost'"
920056,"'% Change in Monthly Cost'"
922216,"'BW per Student'"
922218,"'Monthly Cost per Mbps','Change in Total Monthly Cost','% Change in Monthly Cost','% Change in Monthly Cost'"
922582,"'BW per Student'"
922586,"'Monthly Cost per Mbps'"
922674,"'BW per Student'"
922705,"'Change in Total BW'"
922736,"'BW per Student'"
922740,"'Change in Total BW','BW per Student'"
922755,"'Monthly Cost per Mbps'"
922766,"'Change in Total BW','BW per Student'"
922809,"'Change in Total BW'"
924087,"'% Change in Monthly Cost'"
924156,"'Cost Per Circuit'"
924199,"'Monthly Cost per Mbps'"
924247,"'% Change in Monthly Cost'"
924271,"'BW per Student','Change in Total BW','% Change in BW'"
924320,"'Cost Per Circuit'"
924377,"'% Change in Monthly Cost'"
924469,"'% Change in Monthly Cost','Monthly Cost per Mbps'"
924487,"'BW per Student'"
924542,"'BW per Student'"
924546,"'Change in Total BW'"
924560,"'Cost Per Circuit'"
924562,"'Cost Per Circuit'"
924605,"'Cost Per Circuit'"
924619,"'Change in Total BW','BW per Student'"
924625,"'% Change in Monthly Cost'"
924637,"'% Change in Monthly Cost','Change in Total BW'"
926573,"'BW per Student'"
926606,"'% Change in Monthly Cost'"
926607,"'Change in Total Monthly Cost'"
926613,"'Change in Total Monthly Cost'"
926639,"'Change in Total BW'"
926682,"'Change in Total Monthly Cost'"
926688,"'Change in Total BW'"
926705,"'Change in Total Monthly Cost'"
926706,"'Change in Total Monthly Cost'"
926722,"'Change in Total Monthly Cost'"
928792,"'Change in Total Monthly Cost'"
928818,"'BW per Student'"
928881,"'% Change in Monthly Cost','Monthly Cost per Mbps','Change in Total Monthly Cost'"
928961,"'Change in Total BW'"
929075,"'Monthly Cost per Mbps'"
929133,"'Change in Total Monthly Cost'"
929523,"'Cost Per Circuit'"
929538,"'BW per Student'"
929578,"'Cost Per Circuit'"
929592,"'Cost Per Circuit'"
936175,"'BW per Student'"
936201,"'Monthly Cost per Mbps'"
937580,"'BW per Student'"
937610,"'BW per Student'"
937611,"'BW per Student'"
937633,"'BW per Student'"
937635,"'BW per Student'"
937645,"'Change in Total BW','% Change in BW'"
937654,"'BW per Student'"
937662,"'Cost Per Circuit'"
940940,"'BW per Student'"
941199,"'Cost Per Circuit'"
941316,"'Cost Per Circuit'"
941508,"'Cost Per Circuit'"
941518,"'Cost Per Circuit'"
941519,"'Cost Per Circuit','Cost Per Circuit'"
941626,"'% Change in Monthly Cost','Change in Total Monthly Cost'"
941629,"'Change in Total BW'"
941665,"'Cost Per Circuit'"
942877,"'Cost Per Circuit'"
942883,"'Cost Per Circuit'"
942889,"'Cost Per Circuit'"
942893,"'Cost Per Circuit'"
942900,"'BW per Student'"
942906,"'Cost Per Circuit','Cost Per Circuit'"
942912,"'Cost Per Circuit'"
942913,"'BW per Student'"
942951,"'BW per Student'"
942966,"'Cost Per Circuit','Cost Per Circuit'"
942967,"'% Change in BW'"
942970,"'% Change in BW','BW per Student'"
943386,"'Cost Per Circuit'"
946196,"'Change in Total Monthly Cost'"
946210,"'% Change in Monthly Cost'"
946263,"'BW per Student'"
946272,"'Change in Total Monthly Cost','% Change in Monthly Cost'"
946301,"'BW per Student'"
946326,"'Change in Total BW','% Change in Monthly Cost'"
946329,"'% Change in Monthly Cost'"
946363,"'% Change in Monthly Cost'"
946379,"'BW per Student'"
946419,"'% Change in Monthly Cost'"
946510,"'BW per Student'"
946543,"'BW per Student','Change in Total Monthly Cost','Change in Total BW'"
946581,"'% Change in Monthly Cost'"
946640,"'Cost Per Circuit'"
946666,"'% Change in Monthly Cost'"
946701,"'% Change in Monthly Cost'"
946718,"'Change in Total Monthly Cost'"
946740,"'Cost Per Circuit'"
946805,"'Cost Per Circuit'"
949485,"'Cost Per Circuit'"
949588,"'Cost Per Circuit'"
949593,"'Cost Per Circuit'"
949611,"'Cost Per Circuit'"
949651,"'Cost Per Circuit'"
949709,"'BW per Student','Change in Total BW'"
949852,"'Monthly Cost per Mbps','% Change in Monthly Cost','Change in Total Monthly Cost'"
949885,"'Cost Per Circuit'"
949914,"'Cost Per Circuit'"
949927,"'Cost Per Circuit'"
949950,"'Cost Per Circuit'"
950075,"'Cost Per Circuit'"
950131,"'% Change in BW'"
950402,"'% Change in Monthly Cost'"
951241,"'BW per Student'"
951243,"'Change in Total BW','BW per Student'"
951283,"'% Change in Monthly Cost','Monthly Cost per Mbps'"
951286,"'Change in Total BW'"
951349,"'Cost Per Circuit'"
951415,"'BW per Student'"
951597,"'Cost Per Circuit'"
951613,"'Change in Total BW'"
951648,"'Change in Total Monthly Cost'"
951674,"'BW per Student'"
952136,"'% Change in BW','Change in Total Monthly Cost','BW per Student'"
952151,"'Change in Total Monthly Cost'"
952171,"'Cost Per Circuit'"
952203,"'Monthly Cost per Mbps'"
952212,"'% Change in Monthly Cost'"
952216,"'Monthly Cost per Mbps'"
952225,"'Change in Total BW'"
952250,"'Cost Per Circuit'"
952251,"'% Change in BW'"
952268,"'% Change in Monthly Cost'"
952272,"'Monthly Cost per Mbps','Change in Total Monthly Cost'"
952273,"'Change in Total Monthly Cost'"
952291,"'BW per Student'"
952296,"'Monthly Cost per Mbps'"
952302,"'% Change in BW','Change in Total Monthly Cost','BW per Student'"
952320,"'Change in Total Monthly Cost'"
952326,"'BW per Student','Change in Total Monthly Cost','BW per Student','% Change in BW','Change in Total BW'"
952335,"'Monthly Cost per Mbps'"
953616,"'% Change in Monthly Cost'"
953632,"'Change in Total BW'"
953640,"'Change in Total BW','Cost Per Circuit'"
953651,"'% Change in Monthly Cost'"
953655,"'Cost Per Circuit'"
953656,"'Cost Per Circuit'"
953668,"'Change in Total BW'"
953681,"'% Change in Monthly Cost'"
953682,"'Cost Per Circuit'"
953694,"'% Change in Monthly Cost'"
953703,"'BW per Student'"
953705,"'BW per Student','BW per Student','Change in Total BW'"
953712,"'% Change in Monthly Cost'"
953714,"'% Change in Monthly Cost'"
953722,"'% Change in Monthly Cost'"
953726,"'Monthly Cost per Mbps'"
953745,"'Change in Total BW','BW per Student'"
953747,"'% Change in Monthly Cost'"
953748,"'% Change in Monthly Cost'"
953759,"'% Change in Monthly Cost'"
953764,"'% Change in Monthly Cost'"
953767,"'BW per Student'"
953768,"'% Change in Monthly Cost'"
953782,"'BW per Student'"
953787,"'Change in Total Monthly Cost'"
953806,"'Change in Total BW'"
953807,"'BW per Student'"
953823,"'% Change in Monthly Cost','BW per Student'"
953827,"'BW per Student','% Change in Monthly Cost'"
953838,"'Change in Total BW'"
953844,"'Change in Total BW'"
953849,"'BW per Student','BW per Student','Change in Total BW'"
953866,"'Cost Per Circuit'"
953877,"'% Change in Monthly Cost'"
953891,"'% Change in Monthly Cost'"
953901,"'BW per Student','Change in Total BW'"
953906,"'BW per Student'"
953935,"'BW per Student'"
953952,"'% Change in Monthly Cost'"
953955,"'BW per Student','Change in Total BW','BW per Student'"
953956,"'% Change in Monthly Cost','BW per Student'"
953964,"'Cost Per Circuit'"
953966,"'Cost Per Circuit'"
953979,"'BW per Student','% Change in Monthly Cost'"
953980,"'BW per Student'"
953988,"'% Change in BW'"
953997,"'% Change in Monthly Cost'"
954002,"'Change in Total BW','BW per Student'"
954008,"'BW per Student','% Change in BW','Change in Total BW','Change in Total BW'"
954012,"'Change in Total BW'"
954042,"'Change in Total BW'"
954044,"'Monthly Cost per Mbps','% Change in Monthly Cost','% Change in Monthly Cost'"
954063,"'Change in Total Monthly Cost'"
954082,"'% Change in Monthly Cost'"
954085,"'% Change in Monthly Cost'"
